t,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,ee_ax,ee_ay,ee_az,ee_awx,ee_awy,ee_awz,q_act_1,q_act_2,q_act_3,q_act_4,dq_act_1,dq_act_2,dq_act_3,dq_act_4,ddq_act_1,ddq_act_2,ddq_act_3,ddq_act_4,q_1,q_2,q_3,q_4,dq_1,dq_2,dq_3,dq_4,ddq_1,ddq_2,ddq_3,ddq_4,des_x,des_y,des_z,err_x,err_y,err_z,following_error,des_q_1,des_q_2,des_q_3,des_q_4,err_q_1,err_q_2,err_q_3,err_q_4,following_error_q,des_roll,des_pitch,des_yaw,err_roll,err_pitch,err_yaw,following_error_ori
0,-0.35,0.15,-4.32068e-09,-1.5708,2.4143e-07,-0.404892,0,0,0,0,0,0,0,0,0,0,0,0,-5.13131,0.163201,0.352471,-0.263605,0,-0,-0,0,0,0,0,0,-2.7367,1.08801,1.1749,-0.878683,0,-0,-0,0,0,0,0,0,-0.35,0.15,0,-3.56668e-09,6.94665e-09,4.32068e-09,8.92443e-09,-2.7367,1.08801,1.1749,-0.878683,0,0,0,0,0,-1.5708,0,nan,0,-2.4143e-07,nan,2.4143e-07
0.001,-0.35,0.15,-1.72827e-09,-1.5708,9.657e-08,-0.404892,2.39041e-05,-0.000102788,-1.64112e-12,-5.24483e-18,-1.21431e-17,0.00022338,0,0,0,0,0,0,-5.13131,0.163201,0.352471,-0.263605,-0.000418837,-3.39915e-05,0.000146192,7.82087e-05,0,0,0,0,-2.7367,1.08801,1.1749,-0.878684,-0.00022338,-0.00022661,0.000487306,0.000260696,0,0,0,0,-0.35,0.15,0,1.76374e-09,-1.09401e-08,1.72827e-09,1.12153e-08,-2.7367,1.08801,1.1749,-0.878684,0,0,0,0,0,-1.5708,0,nan,0,-9.657e-08,nan,9.657e-08
0.002,-0.35,0.15,-6.91304e-10,-1.5708,3.86271e-08,-0.404891,9.52338e-05,-0.000409504,2.23787e-11,-2.01662e-17,-4.68375e-17,0.000889941,0,0,0,0,0,0,-5.13131,0.163201,0.352471,-0.263605,-0.00166864,-0.000135422,0.000582426,0.000311582,0,0,0,0,-2.7367,1.08801,1.1749,-0.878683,-0.000889941,-0.000902812,0.00194142,0.00103861,0,0,0,0,-0.35,0.15,0,2.29617e-08,-1.00078e-07,6.91304e-10,1.02681e-07,-2.7367,1.08801,1.1749,-0.878683,0,0,0,0,0,-1.5708,0,nan,0,-3.86271e-08,nan,3.86271e-08
0.003,-0.35,0.149999,-2.7648e-10,-1.5708,1.54505e-08,-0.40489,0.000213418,-0.000917687,1.71505e-10,-4.92228e-17,-1.14925e-16,0.00199433,0,0,0,0,0,0,-5.13132,0.163201,0.352472,-0.263605,-0.00373938,-0.000303476,0.0013052,0.000698246,0,0,0,0,-2.7367,1.08801,1.17491,-0.878682,-0.00199433,-0.00202317,0.00435066,0.00232749,0,0,0,0,-0.35,0.149999,0,6.93618e-08,-2.98795e-07,2.7648e-10,3.0674e-07,-2.7367,1.08801,1.17491,-0.878682,0,0,0,0,0,-1.5708,0,nan,0,-1.54505e-08,nan,1.54505e-08
0.004,-0.35,0.149998,-1.10409e-10,-1.5708,6.18006e-09,-0.404888,0.000377888,-0.00162489,6.416e-10,-7.80626e-17,-1.81279e-16,0.00353124,0,0,0,0,0,0,-5.13132,0.1632,0.352473,-0.263604,-0.00662107,-0.000537343,0.00231102,0.00123633,0,0,0,0,-2.7367,1.088,1.17491,-0.87868,-0.00353124,-0.00358228,0.0077034,0.00412111,0,0,0,0,-0.349999,0.149998,0,1.44469e-07,-6.2144e-07,1.10409e-10,6.38012e-07,-2.7367,1.088,1.17491,-0.87868,0,0,0,0,0,-1.5708,0,nan,0,-6.18006e-09,nan,6.18006e-09
0.005,-0.349999,0.149997,-4.3614e-11,-1.5708,2.47197e-09,-0.404885,0.000588079,-0.00252865,1.72852e-09,-1.35742e-16,-3.14852e-16,0.00549535,0,0,0,0,0,0,-5.13133,0.1632,0.352475,-0.263603,-0.0103038,-0.00083621,0.0035964,0.00192398,0,0,0,0,-2.73671,1.088,1.17492,-0.878676,-0.00549535,-0.00557474,0.011988,0.00641326,0,0,0,0,-0.349999,0.149996,0,2.49455e-07,-1.07277e-06,4.3614e-11,1.1014e-06,-2.73671,1.088,1.17492,-0.878676,0,0,0,0,0,-1.5708,0,nan,0,-2.47197e-09,nan,2.47197e-09
0.006,-0.349999,0.149994,-1.61381e-11,-1.5708,9.88766e-10,-0.40488,0.00084343,-0.00362656,3.82391e-09,-1.86916e-16,-4.33681e-16,0.0078814,0,0,0,0,0,0,-5.13134,0.163199,0.352479,-0.263601,-0.0147776,-0.00119927,0.00515786,0.00275932,0,0,0,0,-2.73671,1.08799,1.17493,-0.87867,-0.0078814,-0.00799513,0.0171929,0.00919773,0,0,0,0,-0.349998,0.149993,0,3.84562e-07,-1.65373e-06,1.61381e-11,1.69785e-06,-2.73671,1.08799,1.17493,-0.87867,0,0,0,0,0,-1.5708,0,nan,0,-9.88766e-10,nan,9.88766e-10
0.007,-0.349998,0.149991,-3.78331e-12,-1.5708,3.95498e-10,-0.404872,0.00114338,-0.00491619,7.41019e-09,-2.56739e-16,-5.96745e-16,0.0106842,0,0,0,0,0,0,-5.13135,0.163198,0.352484,-0.263598,-0.0200328,-0.00162571,0.00699191,0.00374049,0,0,0,0,-2.73672,1.08799,1.17495,-0.878661,-0.0106842,-0.0108381,0.0233064,0.0124683,0,0,0,0,-0.349997,0.149988,0,5.49657e-07,-2.3637e-06,3.78331e-12,2.42677e-06,-2.73672,1.08799,1.17495,-0.878661,0,0,0,0,0,-1.5708,0,nan,0,-3.95497e-10,nan,3.95497e-10
0.008,-0.349997,0.149986,3.38862e-12,-1.5708,1.58196e-10,-0.404861,0.00148738,-0.00639511,1.30561e-08,-3.19189e-16,-7.37257e-16,0.0138984,0,0,0,0,0,0,-5.13137,0.163196,0.352491,-0.263595,-0.0260595,-0.00211472,0.00909507,0.00486564,0,0,0,0,-2.73673,1.08798,1.17497,-0.878648,-0.0138984,-0.0140981,0.0303169,0.0162188,0,0,0,0,-0.349996,0.149983,0,7.4446e-07,-3.20149e-06,-3.38862e-12,3.2869e-06,-2.73673,1.08798,1.17497,-0.878648,0,0,0,0,0,-1.5708,0,nan,0,-1.58196e-10,nan,1.58196e-10
0.009,-0.349995,0.14998,9.65436e-12,-1.5708,6.3277e-11,-0.404848,0.00187488,-0.00806093,2.14127e-08,-3.79904e-16,-8.8124e-16,0.017519,0,0,0,0,0,0,-5.1314,0.163194,0.352499,-0.26359,-0.0328482,-0.00266548,0.0114638,0.00613289,0,0,0,0,-2.73674,1.08796,1.175,-0.878633,-0.017519,-0.0177699,0.0382128,0.020443,0,0,0,0,-0.349994,0.149976,0,9.68631e-07,-4.16564e-06,-9.65436e-12,4.27678e-06,-2.73674,1.08796,1.175,-0.878633,0,0,0,0,0,-1.5708,0,nan,0,-6.32769e-11,nan,6.32769e-11
0.01,-0.349993,0.149972,1.70661e-11,-1.5708,2.53104e-11,-0.404831,0.00230532,-0.00991126,3.32088e-08,-5.04805e-16,-1.17267e-15,0.0215408,0,0,0,0,0,0,-5.13143,0.163192,0.352511,-0.263584,-0.0403891,-0.00327718,0.0140947,0.00754037,0,0,0,0,-2.73676,1.08794,1.17504,-0.878613,-0.0215408,-0.0218479,0.0469824,0.0251346,0,0,0,0,-0.349992,0.149967,0,1.22181e-06,-5.25464e-06,-1.70661e-11,5.39481e-06,-2.73676,1.08794,1.17504,-0.878613,0,0,0,0,0,-1.5708,0,nan,0,-2.53104e-11,nan,2.53104e-11
0.011,-0.349991,0.149962,2.68247e-11,-1.5708,1.01239e-11,-0.40481,0.00277817,-0.0119437,4.92479e-08,-6.26235e-16,-1.45023e-15,0.0259588,0,0,0,0,0,0,-5.13147,0.163188,0.352524,-0.263576,-0.0486727,-0.003949,0.0169842,0.00908621,0,0,0,0,-2.73678,1.08792,1.17508,-0.878588,-0.0259588,-0.0263267,0.056614,0.0302874,0,0,0,0,-0.34999,0.149956,0,1.50362e-06,-6.46689e-06,-2.68247e-11,6.63939e-06,-2.73678,1.08792,1.17508,-0.878588,0,0,0,0,0,-1.5708,0,nan,0,-1.01239e-11,nan,1.01239e-11
