joint,delta_torque,torque_sign,delta_q_target,delta_q,delta_ee,sign_ok
jnt1,1.0,1.0,-0.03201749070856308,"[-0.03201749070856308, -0.0001630026900514281, 0.0005276608343889322, 0.0004626860311743308]","[0.006219627889056056, 0.008148031233847636, -5.897859569614639e-07]",False
jnt1,1.0,-1.0,-0.03203236758179717,"[-0.03203236758179717, -0.0001630784267918628, 0.0005279060042402417, 0.00046290100791052113]","[0.006222456632303808, 0.008151862759132517, -5.900532899227873e-07]",True
jnt1,5.0,1.0,-0.031987736937184263,"[-0.031987736937184263, -0.00016285121643511147, 0.0005271704942539923, 0.00046225607730548957]","[0.006213970225956267, 0.00814036830197884, -5.892512725536037e-07]",False
jnt1,5.0,-1.0,-0.03206212130338881,"[-0.03206212130338881, -0.00016322990013994954, 0.0005283963435087635, 0.00046333096098571946]","[0.00622811394220002, 0.008159525928406658, -5.905879358891752e-07]",True
jnt1,10.0,1.0,-0.031950544676455195,"[-0.031950544676455195, -0.00016266187416413835, 0.0005265575682746881, 0.00046171863422778125]","[0.00620689781599304, 0.0081307898597677, -5.885828811280636e-07]",False
jnt1,10.0,-1.0,-0.03209931340888872,"[-0.03209931340888872, -0.00016341924157448062, 0.0005290092667837865, 0.0004638684015883521]","[0.006235185248469888, 0.008169105112600161, -5.912562076049177e-07]",True
jnt2,1.0,1.0,0.008935820576931652,"[-0.032025032332337666, 0.008935820576931652, -0.009600818093252528, -0.004317840512331361]","[0.006332598673638112, 0.008066482007937026, -0.0019007627741771393]",True
jnt2,1.0,-1.0,-0.009259862144983533,"[-0.03202482615153601, -0.009259862144983533, 0.01062212554383879, 0.005201118176574593]","[0.006098823355569216, 0.008241395149373248, 0.0018995445210546746]",True
jnt2,5.0,1.0,0.04535560673927197,"[-0.03202544710567179, 0.04535560673927197, -0.050463118124111306, -0.023864960767617238]","[0.006671594383302948, 0.007812906579219375, -0.00949849681094933]",True
jnt2,5.0,-1.0,-0.04563064492903779,"[-0.03202441596096495, -0.04563064492903779, 0.05066201050076513, 0.023732817373666837]","[0.005503958618568283, 0.008686543440099281, 0.009496404764114563]",True
jnt2,10.0,1.0,0.09095014720398331,"[-0.03202597050906408, 0.09095014720398331, -0.1023444431527043, -0.0492597138502428]","[0.006851931252813359, 0.00767817965305298, -0.018976274203142907]",True
jnt2,10.0,-1.0,-0.09107137871856597,"[-0.03202390671789879, -0.09107137871856597, 0.0999709396001136, 0.045954433217860524]","[0.00452441652455432, 0.009419646858580294, 0.01897204759609744]",True
jnt3,1.0,1.0,0.03190564920715411,"[-0.032024591953975334, -0.010214645205634865, 0.03190564920715411, 0.04386669999322912]","[0.005300094813759815, 0.008839396659201387, 0.00016462782833684408]",True
jnt3,1.0,-1.0,-0.031068056149071932,"[-0.03202526497862879, 0.010008458150766897, -0.031068056149071932, -0.04306999140396667]","[0.007105618078754206, 0.007487728630394874, -6.761746501687815e-06]",True
jnt3,5.0,1.0,0.15531920667269183,"[-0.03202323085945469, -0.04926004942626272, 0.15531920667269183, 0.2160680709435948]","[0.0012429825827319774, 0.011876699560044918, 0.0024016168375298463]",True
jnt3,5.0,-1.0,-0.15972000318541246,"[-0.032026593538943327, 0.05193218263738908, -0.15972000318541246, -0.21835873037066655]","[0.0102897407910586, 0.0051040297153057135, 0.0015640135799658283]",True
jnt3,10.0,1.0,0.22025469836113598,"[-0.03202324824958003, -0.07166896379654775, 0.22025469836113598, 0.29379014730385217]","[-0.0025898402501874085, 0.014746476198846697, 0.004931629117179648]",True
jnt3,10.0,-1.0,-0.326010543985797,"[-0.03202821725990834, 0.10727301140417289, -0.326010543985797, -0.4395628679354041]","[0.013503672845094683, 0.0026980792709221657, 0.007095348048427236]",True
jnt4,1.0,1.0,0.20811919113556387,"[-0.03202381713813873, -0.004414473054905388, 0.043875052457875485, 0.20811919113556387]","[0.023623265226606627, -0.004879389368260489, -0.00026282456131004883]",True
jnt4,1.0,-1.0,-0.20487832923737026,"[-0.032026034158422645, 0.005075484047685874, -0.04297191338744666, -0.20487832923737026]","[-0.011180796587325764, 0.021178902611090372, 0.005326990290919181]",True
jnt4,5.0,1.0,1.0219945144497595,"[-0.03201991236986468, -0.004250565785716365, 0.18761418609743208, 1.0219945144497595]","[0.08164005361870569, -0.04831844875912489, 0.045827567288233076]",True
jnt4,5.0,-1.0,-0.9986861165439979,"[-0.032030206258265026, 0.033980696377802655, -0.2139097178403946, -0.9986861165439979]","[-0.06886898725163773, 0.06437014290835194, 0.07077889695895219]",True
jnt4,10.0,1.0,1.9339387913544805,"[-0.03201662334116462, 0.048629879505408535, 0.23304930840852078, 1.9339387913544805]","[0.10304152046120357, -0.06434462707395824, 0.16420678189359372]",True
jnt4,10.0,-1.0,-1.5063305264606046,"[-0.032032199528032934, 0.0389416101192519, -0.3340006067353105, -1.5063305264606046]","[-0.0819237223118047, 0.0741439020692736, 0.14611373539520198]",True
