controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
pd_bias,0.0,1.0,20.0,0.3324627295430588,0.5109084422007895,0.5106551454248062,1.099983873005617,1.8419466556916406,20.0,462,0,True
pd_bias,0.1,1.0,20.0,0.3296928086847147,0.5033051939442862,0.5029855946784723,1.1000972349972253,1.8420839535173543,20.0,462,0,True
pd_bias,0.3,1.0,20.0,0.32485169619938814,0.48976765479030093,0.4890609911770615,1.100402243234191,1.842499139025919,20.0,462,0,True
computed_torque,0.0,1.0,20.0,0.3328539088463724,0.509583104879394,0.5093231235939962,1.0999717484984861,1.8417926465102445,20.0,470,0,True
computed_torque,0.1,1.0,20.0,0.3300589596105607,0.5020627097892336,0.5018480822175247,1.1000726427499277,1.8417507356542757,20.0,470,0,True
computed_torque,0.3,1.0,20.0,0.3253128432719195,0.48916224076100373,0.48837942478470087,1.1003771630417682,1.8426194585915818,20.0,470,0,True
pd_bias,0.0,1.0,50.0,0.3324830039477344,0.5128775980424418,0.5127534267582293,1.1012149208924944,1.8416790739108453,50.0,411,0,True
pd_bias,0.1,1.0,50.0,0.32979145979636715,0.5053737860557445,0.5053737860557445,1.1013438229795016,1.8419207207744217,50.0,412,0,True
pd_bias,0.3,1.0,50.0,0.3246959912138053,0.49158765162651885,0.49139576235140026,1.1019208166257672,1.8427150453722225,50.0,412,0,True
computed_torque,0.0,1.0,50.0,0.3328800378855544,0.5115140514820784,0.5115140514820784,1.1012955803961177,1.8416772374073183,50.0,415,0,True
computed_torque,0.1,1.0,50.0,0.3301443645904854,0.5040929355319993,0.5037446178031426,1.1014804832098222,1.8424660340595171,50.0,415,0,True
computed_torque,0.3,1.0,50.0,0.32504372359416484,0.49046912452080416,0.49031384111310766,1.101997662446351,1.8431452157158066,50.0,416,0,True
pd_bias,0.0,1.0,100.0,0.33993973832516805,0.5282979504449219,0.528085909056853,1.1058648855331905,1.8463903016472196,100.0,293,0,True
pd_bias,0.1,1.0,100.0,0.3367882326341096,0.520191152577009,0.5199642186201641,1.106081437320695,1.8457657324335872,100.0,296,0,True
pd_bias,0.3,1.0,100.0,0.3312065073709458,0.505758098372349,0.5056672329172601,1.106627993890396,1.84567565397473,100.0,296,0,True
computed_torque,0.0,1.0,100.0,0.3403583263834269,0.526817068102096,0.5267260519945852,1.1060834246440419,1.8451523345670786,100.0,294,0,True
computed_torque,0.1,1.0,100.0,0.3372165379239752,0.5189692790059273,0.5189692790059273,1.106217428397378,1.8449206887229628,100.0,299,0,True
computed_torque,0.3,1.0,100.0,0.3315564179563322,0.5047938799108052,0.5045475004126445,1.1066796348686534,1.8464293018166786,100.0,303,0,True
pd_bias,0.0,2.0,20.0,0.3328387162991682,0.5103769988802597,0.5096936439705781,1.0998374697536246,1.8416389649524756,20.0,885,0,True
pd_bias,0.1,2.0,20.0,0.3296224582415672,0.5021994937958292,0.5012470698956937,1.0999610844308252,1.8418197734842245,20.0,886,0,True
pd_bias,0.3,2.0,20.0,0.3240285900012414,0.48913992667696793,0.48889808910405796,1.1003721998014526,1.842471810401229,20.0,890,0,True
computed_torque,0.0,2.0,20.0,0.3328895677394054,0.5100156331279545,0.5091297606965912,1.0998468532116685,1.8417254639413094,20.0,888,0,True
computed_torque,0.1,2.0,20.0,0.32967055009826657,0.5018003014517761,0.5010907957397234,1.0999672188816119,1.8419132231996493,20.0,890,0,True
computed_torque,0.3,2.0,20.0,0.32406563979532915,0.4888307789035237,0.48882060932085303,1.1003787125091928,1.8424938058319142,20.0,901,0,True
pd_bias,0.0,2.0,50.0,0.33307580522461755,0.5126294553901839,0.5110427093290404,1.1014655764407941,1.8417823044668435,50.0,816,0,True
pd_bias,0.1,2.0,50.0,0.32984214735945006,0.5044508478694028,0.5027184028277029,1.1016290620960127,1.8418594523584588,50.0,818,0,True
pd_bias,0.3,2.0,50.0,0.3240120017219129,0.4895543978551608,0.489421842165455,1.1021981861322245,1.842708310196779,50.0,822,0,True
computed_torque,0.0,2.0,50.0,0.33312456309506355,0.512228608926233,0.5107351696979954,1.1014761419663979,1.8416527747055613,50.0,818,0,True
computed_torque,0.1,2.0,50.0,0.32988610375172267,0.5040807631890634,0.5023996852564723,1.101650964715638,1.8418922909264326,50.0,820,0,True
computed_torque,0.3,2.0,50.0,0.32404503815590263,0.48921176030839936,0.4891018856574664,1.1022636862297428,1.8426001602488464,50.0,845,0,True
pd_bias,0.0,2.0,100.0,0.3415091896075333,0.5279986525950449,0.5246747932641087,1.1073556320262765,1.8445719741356124,100.0,603,0,True
pd_bias,0.1,2.0,100.0,0.33789961870211027,0.5195884455721024,0.516393798414822,1.1074034676430942,1.8448823817481852,100.0,598,0,True
pd_bias,0.3,2.0,100.0,0.3313566277911411,0.504038707900328,0.5037765175622123,1.1078215833932206,1.8452130769289776,100.0,607,0,True
computed_torque,0.0,2.0,100.0,0.3415825027791312,0.5279497120496294,0.524405843034422,1.1074468815152587,1.8461830297103348,100.0,603,0,True
