controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
pd_bias,0.0,1.0,20.0,0.3324203095641403,0.5108543449059818,0.5104454995146197,1.0998157778037974,1.841131068075553,20.0,501,0,True
pd_bias,0.1,1.0,20.0,0.3296637077082807,0.5034276502457689,0.502917711998034,1.099930706709854,1.8427468467709824,20.0,501,0,True
pd_bias,0.3,1.0,20.0,0.3248225094746621,0.48981185883893025,0.4890330985667518,1.100267711857426,1.8421304578565403,20.0,501,0,True
computed_torque,0.0,1.0,20.0,0.33279372793104595,0.5095621214381506,0.5095621214381506,1.0998174043640485,1.8417035764895364,20.0,501,0,True
computed_torque,0.1,1.0,20.0,0.3300134406462402,0.501904092138993,0.5018725315948758,1.0999175797004488,1.8410334206228083,20.0,501,0,True
computed_torque,0.3,1.0,20.0,0.32521877466436916,0.48910727954769306,0.48817334421454567,1.1002271194707327,1.8417880142427898,20.0,501,0,True
pd_bias,0.0,1.0,50.0,0.3324484255295179,0.5128279035067288,0.5128279035067288,1.1009360582722896,1.8412576447495022,50.0,501,0,True
pd_bias,0.1,1.0,50.0,0.32963878950957143,0.5051883026536427,0.5051883026536427,1.1011253712395939,1.8413936001087692,50.0,501,0,True
pd_bias,0.3,1.0,50.0,0.3245854620451008,0.49141448605983173,0.49112184691752536,1.1016405775605556,1.842744917798708,50.0,501,0,True
computed_torque,0.0,1.0,50.0,0.3328171938269025,0.5115592422024395,0.5113512595064588,1.101030513586733,1.8415008994462665,50.0,501,0,True
computed_torque,0.1,1.0,50.0,0.3300240637454006,0.5040286950697738,0.5040018160663563,1.1013175741026329,1.841513596917895,50.0,501,0,True
computed_torque,0.3,1.0,50.0,0.3249322716534973,0.49052298734310795,0.4899278179954059,1.101709436255948,1.8426841203219584,50.0,501,0,True
pd_bias,0.0,1.0,100.0,0.339946171327689,0.5280889578527261,0.5279968692647001,1.1060317756211415,1.8454412241666587,100.0,501,0,True
pd_bias,0.1,1.0,100.0,0.3368432566981789,0.5202658936066441,0.5201650235512869,1.1062115291192165,1.8452316707712593,100.0,501,0,True
pd_bias,0.3,1.0,100.0,0.33123728854989576,0.5058334011070351,0.5055457048235696,1.1065467774858275,1.8461827322373228,100.0,501,0,True
computed_torque,0.0,1.0,100.0,0.34038146145072423,0.5268769043478662,0.5264900100701172,1.1062124113935243,1.8454277679639506,100.0,501,0,True
computed_torque,0.1,1.0,100.0,0.3372787861570494,0.5189760575793283,0.5189654908955063,1.106307981127384,1.8450820091696785,100.0,501,0,True
computed_torque,0.3,1.0,100.0,0.33163862807430905,0.5046132061866297,0.5045598706972217,1.1066754257101505,1.8455360433711026,100.0,501,0,True
pd_bias,0.0,2.0,20.0,0.3327828514833645,0.5102186592856939,0.509823533255237,1.0996740514536025,1.8410237418836326,20.0,1001,0,True
pd_bias,0.1,2.0,20.0,0.3295614999393807,0.5021840358654435,0.5018013995608751,1.0998079320732561,1.8426901323165101,20.0,1001,0,True
pd_bias,0.3,2.0,20.0,0.3239830335004649,0.4892892081261394,0.4892892081261394,1.1002220235793283,1.8425071547438052,20.0,1001,0,True
