t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.0,"[0.6747446831943159, 1.27497468573782, 1.416190933113277, -0.4505547168052535]","[1.2652253575741907, 8.499831238252133, 4.720636443710923, -1.5018490560175117]","[0.25000032037865044, -0.20000005427222964, -0.10000026715232341]",4.206641397447178e-07,0.15470906688672303,11.500168761747867
0.01,"[0.6748107257410993, 1.274982292028595, 1.4162028088652803, -0.4505608036678815]","[1.2653491950892544, 8.4998819468573, 4.720676029550934, -1.501869345559605]","[0.24998076615751905, -0.2000114876390772, -0.10000389164686807]",2.311718550923428e-07,0.1546971911347197,11.5001180531427
0.02,"[0.6752545951270754, 1.2750415851276047, 1.4162751350439422, -0.450594539256446]","[1.2661815022071543, 8.500277234184031, 4.7209171168131405, -1.5019817975214866]","[0.24985056079776985, -0.20008927041937233, -0.10003011305424844]",1.5392144095741396e-06,0.15462486495605776,11.499722765815969
0.03,"[0.6764156866244736, 1.27519659210972, 1.4164631325047277, -0.4506820509586808]","[1.2683586848386905, 8.5013106140648, 4.721543775015759, -1.5022735031956027]","[0.24951034947618808, -0.20029276171837093, -0.10009851531069525]",4.027443091331928e-06,0.1544368674952723,11.4986893859352
0.04,"[0.6785903370238959, 1.275487398364478, 1.4168113851853334, -0.4508434322082513]","[1.2724364091953795, 8.503249322429854, 4.722704617284445, -1.502811440694171]","[0.2488741490774186, -0.2006735833602611, -0.10022624994911275]",7.547081127037406e-06,0.1540886148146665,11.496750677570146
0.05,"[0.6820350936519604, 1.2759503073985667, 1.4173531218756086, -0.45109239348681285]","[1.2788957315806495, 8.506335382657111, 4.724510406252029, -1.5036413116227096]","[0.2478686616732628, -0.201275746204538, -0.10042793083439416]",1.1964719266297814e-05,0.15354687812439138,11.493664617342889
0.06,"[0.6869703390585253, 1.2766189622110515, 1.4181084480349624, -0.45143494325618233]","[1.288149895103179, 8.51079308140701, 4.727028160116541, -1.5047831441872745]","[0.24643269511761717, -0.20213599270733482, -0.10071574034357036]",1.7161971767043086e-05,0.15279155196503758,11.48920691859299
0.07,"[0.6935836739532417, 1.2775253488761282, 1.4190828231939476, -0.45186795002474694]","[1.3005506730793956, 8.51683565917419, 4.730276077313159, -1.50622650008249]","[0.24451658906723428, -0.20328414585601173, -0.10109955417461011]",2.3035030955468934e-05,0.15181717680605233,11.48316434082581
0.08,"[0.7020328243789132, 1.2787005048022773, 1.4202656625558656, -0.45237866310945385]","[1.3163938203242327, 8.524670032015182, 4.734218875186219, -1.507928877031513]","[0.24208163319717324, -0.2047434509380247, -0.10158703429232285]",2.94941848441737e-05,0.15063433744413435,11.475329967984818
0.09,"[0.7124479117597385, 1.2801749548490446, 1.4216297298539673, -0.45294383034915936]","[1.3359233297576196, 8.534499698993631, 4.738765766179891, -1.5098127678305313]","[0.23909949757682497, -0.20653093151142082, -0.10218377645615373]",3.6461682466878293e-05,0.14927027014603267,11.465500301006369
0.1,"[0.7249329507169316, 1.2819786415580785, 1.4231310551728036, -0.45352977629659413]","[1.3593342409843083, 8.546524277053857, 4.743770183909345, -1.5117659209886471]","[0.23555165237956366, -0.20865773487156594, -0.10289341400727736]",4.386956222181598e-05,0.14776894482719638,11.453475722946143
0.11,"[0.7395665156383341, 1.2841405228082068, 1.4247095102120069, -0.4540928608035781]","[1.3867738901900133, 8.560936818721379, 4.74903170070669, -1.5136428693452604]","[0.2314287909924533, -0.21112948222546962, -0.10371774027798664]",5.1656209378118265e-05,0.1461904897879931,11.439063181278621
0.12,"[0.7564015593614599, 1.286687816148416, 1.426290056878858, -0.45458044857835644]","[1.4183415701508717, 8.577918774322775, 4.754300189596194, -1.515268161927855]","[0.22673025155933715, -0.2139466179411187, -0.10465682794504996]",5.9762068752630326e-05,0.14460994312114206,11.422081225677225
0.13,"[0.7754644309327161, 1.289644990882328, 1.4277846294823928, -0.45493235023345047]","[1.4540866884168688, 8.597633272548853, 4.759282098274643, -1.516441167444835]","[0.2214634373786398, -0.21710475807682372, -0.10570914785353405]",6.812462780905802e-05,0.14311537051760714,11.402366727451147
0.14,"[0.7967532058940484, 1.2930326286768998, 1.4290945930369787, -0.4550826767979745]","[1.494005636403616, 8.620217524512666, 4.763648643456596, -1.5169422559932484]","[0.21564323622904807, -0.22059503775321337, -0.1068716871904268]",7.667308984273945e-05,0.14180540696302124,11.379782475487334
0.15,"[0.8202355166920915, 1.2968662915485267, 1.430113700301027, -0.45496202883006215]","[1.5380377211552438, 8.645775276990179, 4.76704566767009, -1.5165400961002071]","[0.20929143897186253, -0.22440445680676752, -0.10814006682422575]",8.532350050289848e-05,0.14078629969897305,11.354224723009821
