sample_index,t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,ik_success,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,j_margin_min,j_margin_1,j_margin_2,j_margin_3,j_margin_4,a_margin_min,a_margin_1,a_margin_2,a_margin_3,a_margin_4,active_limit_name,active_limit_margin
0,0.0,xyz_pitch,0.25,-0.2,-0.1,0.25000188973475396,-0.20000130974247626,-0.10000051820966993,2.4339153959586475e-06,True,0.6747446839732004,1.2749341283868505,1.416323109756672,-0.4503314335630393,1.2652253590346905,8.499560855912337,4.72107703252224,-1.5011047785434644,0.154576890243328,2.4668553160267996,0.29596587161314947,0.154576890243328,1.1205685664369607,0.5149229674777596,4.625674640965309,1.9724391440876623,0.5149229674777596,3.7348952214565356,jnt3,0.154576890243328
1,0.02,xyz_pitch,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.24985309639875927,-0.2000910133441926,-0.10003053006564427,3.845725191850249e-06,True,0.6752538956737966,1.2749380092713796,1.4166105032789502,-0.45004045841279067,1.2661801906502843,8.499586728475863,4.722035010929834,-1.5001348613759689,0.15428949672104975,2.4663461043262034,0.2959619907286204,0.15428949672104975,1.1208595415872094,0.5139649890701659,4.624719809349716,1.972413271524136,0.5139649890701659,3.735865138624031,jnt3,0.15428949672104975
2,0.04,xyz_pitch,0.2488686848,-0.20067878912,-0.10022626304,0.24889172075939006,-0.20068267205732945,-0.10022865053995644,2.4162243617266185e-05,True,0.6785779782872687,1.2750010749046214,1.4183920329697326,-0.4482006249720507,1.2724132351158237,8.50000716603081,4.727973443232442,-1.494002083240169,0.15250796703026737,2.463022021712731,0.2958989250953785,0.15250796703026737,1.1226993750279493,0.5080265567675575,4.618486764884176,1.971992833969189,0.5080265567675575,3.7419979167598307,jnt3,0.15250796703026737
3,0.06,xyz_pitch,0.2464202752,-0.20214783488000002,-0.10071594496000001,0.24647756706814805,-0.2021575356858303,-0.10072181339967307,6.0085766328863076e-05,True,0.6869333480588897,1.2751726341270047,1.4228105940269355,-0.4436188874172274,1.2880805326437086,8.501150894180032,4.742701980089786,-1.4787296247240913,0.14808940597306441,2.4546666519411104,0.2957273658729953,0.14808940597306441,1.1272811125827726,0.49329801991021416,4.602819467356292,1.9708491058199673,0.49329801991021416,3.7572703752759082,jnt3,0.14808940597306441
4,0.08,xyz_pitch,0.2420603136,-0.20476381184,-0.10158793728000001,0.24216009462285545,-0.2047799282825263,-0.10159742710698333,0.0001044050295061185,True,0.7019609426770568,1.27559099905808,1.4303952213457636,-0.43562606906112256,1.3162590337090883,8.503939993720534,4.767984071152545,-1.4520868968704086,0.14050477865423638,2.4396390573229434,0.2953090009419199,0.14050477865423638,1.1352739309388773,0.46801592884745435,4.574640966290912,1.9680600062794653,0.46801592884745435,3.783913103129591,jnt3,0.14050477865423638
5,0.1,xyz_pitch,0.23552,-0.208688,-0.102896,0.23566338006863313,-0.20870829177998057,-0.10290740078161559,0.00014926922418816415,True,0.724817937910096,1.276535527732562,1.4409459431671632,-0.4241406882738179,1.3591185784925857,8.510236851550415,4.803153143890544,-1.4138022942460597,0.12995405683283678,2.416782062089904,0.2943644722674379,0.12995405683283678,1.146759311726182,0.43284685610945584,4.531781421507414,1.9617631484495845,0.43284685610945584,3.82219770575394,jnt3,0.12995405683283678
6,0.12,xyz_pitch,0.2266872064,-0.21398767616,-0.10466255872,0.22686880143826324,-0.2140066372633235,-0.10467219231145172,0.0001876032157727763,True,0.7562368120402189,1.278431105029271,1.4535151221827245,-0.4096834077653857,1.4180326496160114,8.522874033528474,4.845050407275749,-1.3656113592179524,0.11738487781727547,2.385363187959781,0.29246889497072903,0.11738487781727547,1.1612165922346143,0.390949592724251,4.472867350383989,1.9491259664715255,0.390949592724251,3.870388640782047,jnt3,0.11738487781727547
7,0.14,xyz_pitch,0.2155880448,-0.22064717312,-0.10688239104000001,0.215797639152042,-0.22065607654072322,-0.10688488308002644,0.0002146770057739907,True,0.7965339548921571,1.281801347904995,1.4664967079675608,-0.3933348531614113,1.493594515079987,8.545342319366634,4.88832235989187,-1.3111161772047044,0.10440329203243914,2.345066045107843,0.28909865209500496,0.10440329203243914,1.1775651468385886,0.34767764010813007,4.397305484920013,1.9266576806333653,0.34767764010813007,3.9248838227952954,jnt3,0.10440329203243914
8,0.16,xyz_pitch,0.20236843519999997,-0.22857893888000003,-0.10952631296000001,0.2025932695551111,-0.22856634939077128,-0.10951516405913089,0.00022962455959552863,True,0.845570242625404,1.2871834055893725,1.477815400698428,-0.3766318715898378,1.5855433013789688,8.58122270392915,4.926051335661427,-1.255439571966126,0.09308459930157187,2.296029757374596,0.28371659441062747,0.09308459930157187,1.1942681284101622,0.30994866433857293,4.305356698621031,1.8907772960708495,0.30994866433857293,3.9805604280338738,jnt3,0.09308459930157187
9,0.18,xyz_pitch,0.1872756736,-0.23763459584000002,-0.11254486528,0.18750279251934338,-0.23758732248386855,-0.11251318706563632,0.00023680043196304726,True,0.9026832501603272,1.2950317547474508,1.485188362563655,-0.3614021694715373,1.6926368838558545,8.633545031649673,4.9506278752121835,-1.2046738982384577,0.08571163743634491,2.2389167498396727,0.27586824525254916,0.08571163743634491,1.2094978305284627,0.28537212478781626,4.198263116144146,1.8384549683503266,0.28537212478781626,4.031326101761542,jnt3,0.08571163743634491
10,0.2,xyz_pitch,0.17064,-0.247616,-0.115872,0.1708581727130357,-0.24752037672748306,-0.11581325225059422,0.0002462589827418342,True,0.9666290505492491,1.3056418685438442,1.4864235281884006,-0.3495424016789048,1.8125427537019485,8.704279123625629,4.9547450939613356,-1.1651413389296827,0.08447647181159934,2.174970949450751,0.26525813145615573,0.08447647181159934,1.2213575983210951,0.2812549060386642,4.078357246298052,1.767720876374371,0.2812549060386642,4.070858661070317,jnt3,0.08447647181159934
11,0.22,xyz_pitch,0.15285616640000002,-0.25828630016,-0.11942876672,0.15305713542589833,-0.25812966502973655,-0.11933738701443655,0.0002706956412666279,True,1.0355840179056568,1.3191155778617112,1.4797145933444582,-0.34275782652337394,1.9418413986605227,8.794103852411409,4.9323819778148605,-1.1425260884112465,0.09118540665554176,2.106015982094343,0.2517844221382888,0.09118540665554176,1.228142173476626,0.3036180221851392,3.9490586013394777,1.6778961475885907,0.3036180221851392,4.093473911588753,jnt3,0.09118540665554176
12,0.24,xyz_pitch,0.13436500480000002,-0.26938099711999997,-0.12312699903999999,0.134544037909572,-0.2691532266604124,-0.12299890373831965,0.00031751236626510407,True,1.1072502495794785,1.335369706211304,1.4638921503992803,-0.3423024667191979,2.0762239819603945,8.90246470807536,4.879640501330934,-1.1410082223973264,0.10700784960071963,2.0343497504205215,0.23553029378869605,0.10700784960071963,1.2285975332808021,0.35635949866906547,3.8146760180396058,1.5695352919246393,0.35635949866906547,4.094991777602673,jnt3,0.10700784960071963
13,0.26,xyz_pitch,0.11563499519999998,-0.28061900288,-0.12687300096,0.11579083586598134,-0.2803139623943844,-0.12670601606690574,0.00038398374983319707,True,1.1790735471293465,1.3541677472088924,1.4385951444458245,-0.3487758174447798,2.210901082185161,9.027784981392617,4.795317148152749,-1.1625860581492662,0.13230485555417548,1.9625264528706534,0.21673225279110753,0.13230485555417548,1.2221241825552203,0.4406828518472512,3.679998917814839,1.444215018607382,0.4406828518472512,4.073413941850734,jnt3,0.13230485555417548
14,0.28,xyz_pitch,0.09714383360000003,-0.29171369983999995,-0.13057123327999998,0.0972781439506105,-0.2913305271120313,-0.13036553948818186,0.0004608717246697846,True,1.2485312645390167,1.3751450182098175,1.4043405637018904,-0.3620277695307494,2.3411424424133074,9.167633454732117,4.681135212339635,-1.2067592317691647,0.16655943629810954,1.8930687354609832,0.19575498179018247,0.16655943629810954,1.2088722304692505,0.5548647876603647,3.549757557586693,1.3043665452678823,0.5548647876603647,4.029240768230835,jnt3,0.16655943629810954
15,0.3,xyz_pitch,0.0793600000000001,-0.30238399999999993,-0.13412799999999997,0.07947637915437815,-0.30192816954104,-0.133886627162633,0.0005372407273435467,True,1.3134097485259926,1.3978084621623188,1.3624904723306999,-0.38119152928826017,2.462797203311443,9.318723081082126,4.541634907769,-1.2706384309608674,0.17309153783768116,1.8281902514740074,0.17309153783768116,0.2084095276693001,1.1897084707117398,0.6943650922310001,3.4281027966885573,1.1532769189178733,0.6943650922310001,3.9653615690391324,jnt2,0.17309153783768116
16,0.32,xyz_pitch,0.06272432639999978,-0.31236540416000014,-0.13745513472000004,0.06282704293184697,-0.3118495161198923,-0.1371844521615931,0.0006023381161632034,True,1.3719953995639669,1.4215154315281229,1.3151345478376177,-0.4048221102630571,2.5726521649427467,9.47676954352082,4.383781826125393,-1.3494070342101903,0.1493845684718771,1.769604600436033,0.1493845684718771,0.2557654521623822,1.1660778897369428,0.8522181738746069,3.3182478350572535,0.9952304564791792,0.8522181738746069,3.8865929657898093,jnt2,0.1493845684718771
17,0.34,xyz_pitch,0.047631564800000165,-0.3214210611199999,-0.14047368703999996,0.047724248680994834,-0.32086523330000594,-0.14018375257184942,0.0006460029592452909,True,1.4231461541311028,1.4454545390011109,1.2649131038347248,-0.4310923530631597,2.66856582435984,9.63636359334074,4.2163770127824165,-1.4369745102105322,0.1254454609988891,1.7184538458688972,0.1254454609988891,0.3059868961652752,1.1398076469368403,0.8356364066592601,3.2223341756401602,0.8356364066592601,1.0196229872175833,3.7990254897894675,jnt2,0.1254454609988891
18,0.36,xyz_pitch,0.0344119551999999,-0.32935282688,-0.14311760896000003,0.034496561935102775,-0.32878441280810083,-0.14282216316657115,0.0006590731726336962,True,1.4662605080228603,1.468655912968874,1.2147975825465116,-0.45800209672898956,2.749410290686031,9.791039419792494,4.049325275155039,-1.5266736557632985,0.10224408703112586,1.6753394919771396,0.10224408703112586,0.35610241745348836,1.1128979032710105,0.6809605802075058,3.1414897093139693,0.6809605802075058,1.186674724844961,3.7093263442367013,jnt2,0.10224408703112586
19,0.38,xyz_pitch,0.023312793599999826,-0.3360123238400001,-0.14533744128000003,0.02338912811199239,-0.3354644144377469,-0.14505322425385753,0.0006344874039050049,True,1.5011903339494426,1.4900503812748043,1.1678304870040985,-0.4835789048106534,2.814907807893198,9.933669208498696,3.8927682900136618,-1.611929682702178,0.0808496187251957,1.6404096660505574,0.0808496187251957,0.40306951299590144,1.0873210951893466,0.5383307915013038,3.0759921921068023,0.5383307915013038,1.343231709986338,3.6240703172978215,jnt2,0.0808496187251957
20,0.4,xyz_pitch,0.014479999999999882,-0.34131200000000006,-0.147104,0.014546003681415658,-0.3408200941447899,-0.14684908286294407,0.0005692179492339211,True,1.5281456115171423,1.508585191360002,1.1268162251425091,-0.5060712098750292,2.865452112351664,10.057234609066679,3.756054083808364,-1.686904032916764,0.062314808639998054,1.6134543884828576,0.062314808639998054,0.44408377485749084,1.0648287901249707,0.41476539093332043,3.0254478876483364,0.41476539093332043,1.4799459161916357,3.549095967083236,jnt2,0.062314808639998054
