family,config_id,cable_seed,m_rms_ee_error,m_final_ee_error,m_max_ee_error,m_rms_roll_error,m_rms_pitch_error,m_max_abs_roll_error,m_max_abs_pitch_error,m_rms_ee_error_velocity,m_rms_ee_error_acceleration,m_rms_ee_error_highfreq,m_p2p_error_norm,m_saturation_fraction,m_limit_violation_fraction,m_rms_residual_wrench_norm,m_rms_residual_wrench_rate,m_rms_residual_tau_rate,m_rms_tau_total_rate,delta_rms_ee,delta_final_ee,delta_highfreq,delta_p2p,delta_roll_rms,delta_pitch_rms,delta_vel,delta_acc,delta_saturation,delta_limit
A,A_vsd_only,10000,0.03607758521571194,0.04097594543206758,0.0571641479558275,4.040606272511088e-06,0.12487824837490522,7.393776825903586e-06,0.26428500589213577,0.7614860248994707,51.71213179048522,0.010892629967591128,0.056732801897052175,0.846,0.032,0.0,0.0,0.0,3361.2535228575057,,,,,,,,,,
C,C_tw0.1_ld0.03_kp0.05_cable_joints_only_wren,10000,0.03607151263795105,0.04091960781890411,0.057153249292609475,4.0406671850615005e-06,0.12486369650397916,7.39372520142112e-06,0.2639336579323248,0.7615048965958315,51.712734743420555,0.010893274687194471,0.05672190323389835,0.844,0.032,0.005854294531905485,0.2568215170117347,0.04904343344987018,3361.2976962901485,-6.072577760883602e-06,-5.633761316347491e-05,6.447196033432245e-07,-1.089866315382576e-05,6.091255041290285e-11,-1.4551870926055033e-05,1.8871696360833745e-05,0.0006029529353313023,-0.0020000000000000018,0.0
C,C_tw0.1_ld0.1_kp0.05_cable_joints_only_wren,10000,0.03607151263795105,0.04091960781890411,0.057153249292609475,4.0406671850615005e-06,0.12486369650397916,7.39372520142112e-06,0.2639336579323248,0.7615048965958315,51.712734743420555,0.010893274687194471,0.05672190323389835,0.844,0.032,0.005854294531905485,0.2568215170117347,0.04904343344987018,3361.2976962901485,-6.072577760883602e-06,-5.633761316347491e-05,6.447196033432245e-07,-1.089866315382576e-05,6.091255041290285e-11,-1.4551870926055033e-05,1.8871696360833745e-05,0.0006029529353313023,-0.0020000000000000018,0.0
C,C_tw0.2_ld0.03_kp0.05_cable_joints_only_wren,10000,0.03606418282569937,0.04084444375434591,0.05714235087151597,4.040750040009284e-06,0.12484613383326992,7.393673671529655e-06,0.26391004870683554,0.7615259655151971,51.7132093578464,0.010894033128829512,0.05671100481286948,0.844,0.032,0.005853911479416288,0.25682317285674305,0.0980879412243645,3361.3088805801494,-1.3402390012566545e-05,-0.0001315016777216696,1.4031612383842706e-06,-2.179708418269255e-05,1.4376749819625145e-10,-3.211454163529193e-05,3.994061572643037e-05,0.0010775673611789216,-0.0020000000000000018,0.0
C,C_tw0.2_ld0.1_kp0.05_cable_joints_only_wren,10000,0.03606418282569937,0.04084444375434591,0.05714235087151597,4.040750040009284e-06,0.12484613383326992,7.393673671529655e-06,0.26391004870683554,0.7615259655151971,51.7132093578464,0.010894033128829512,0.05671100481286948,0.844,0.032,0.005853911479416288,0.25682317285674305,0.0980879412243645,3361.3088805801494,-1.3402390012566545e-05,-0.0001315016777216696,1.4031612383842706e-06,-2.179708418269255e-05,1.4376749819625145e-10,-3.211454163529193e-05,3.994061572643037e-05,0.0010775673611789216,-0.0020000000000000018,0.0
D,D_tw0.1_ld0.03_kp0.05_cable_joints_only_dls_,10000,0.03607385345220818,0.0409405881581095,0.05715679367831444,4.040641456943326e-06,0.12486903089720328,7.393741495498318e-06,0.2639409588900157,0.761500007698563,51.712637537672514,0.010893088612116185,0.05672544761958363,0.844,0.032,0.005854445518643586,0.25681251799587007,0.033653140054591274,3361.289094014931,-3.7317635037600883e-06,-3.5357273958085134e-05,4.586445250566451e-07,-7.354277468542281e-06,3.518443223809965e-11,-9.21747770193937e-06,1.39827990922603e-05,0.0005057471872902397,-0.0020000000000000018,0.0
D,D_tw0.1_ld0.1_kp0.05_cable_joints_only_dls_,10000,0.036076837498842294,0.0409675234404152,0.05716242497046464,4.040612512599294e-06,0.12487621416524472,7.393768406860346e-06,0.2642058511517007,0.7614901992717715,51.712295429040026,0.010892761229290957,0.0567310789117003,0.846,0.032,0.00585456816957983,0.2567682473653047,0.008140152266770697,3361.263147383284,-7.477168696423675e-07,-8.421991652379779e-06,1.3126169982891067e-07,-1.7229853518721527e-06,6.2400882063886665e-12,-2.0342096604952786e-06,4.174372300824736e-06,0.00016363855480250322,0.0,0.0
D,D_tw0.2_ld0.03_kp0.05_cable_joints_only_dls_,10000,0.03606630703232495,0.040865512855798536,0.05714546125017651,4.040727931451927e-06,0.12485097482048833,7.393687562640139e-06,0.26391708164832295,0.7615200809057915,51.713062810534375,0.010893829251431663,0.05671411519151317,0.844,0.032,0.00585402177025686,0.25682189471453293,0.08484472584643461,3361.307098593992,-1.1278183386989604e-05,-0.00011043257626904696,1.1992838405347483e-06,-1.8686705539006088e-05,1.2165894083910277e-10,-2.727355441688173e-05,3.405600632078176e-05,0.0009310200491512433,-0.0020000000000000018,0.0
D,D_tw0.2_ld0.1_kp0.05_cable_joints_only_dls_,10000,0.036073678085585724,0.04093844237559218,0.05715646804591007,4.040645013610767e-06,0.12486844871752473,7.393739078320749e-06,0.2639397482197037,0.7615004869675333,51.71264759500213,0.010893108858471225,0.05672512198718328,0.844,0.032,0.005854430094963142,0.2568164930497723,0.03620734865824438,3361.290244946273,-3.907130126212799e-06,-3.7503056475401975e-05,4.788908800970604e-07,-7.679909868892054e-06,3.874109967950365e-11,-9.799657380488158e-06,1.4462068062548461e-05,0.000515804516908247,-0.0020000000000000018,0.0
D,D_tw0.1_ld0.03_kp0.05_cable_joints_only_dls_,10000,0.03607385345220818,0.0409405881581095,0.05715679367831444,4.040641456943326e-06,0.12486903089720328,7.393741495498318e-06,0.2639409588900157,0.761500007698563,51.712637537672514,0.010893088612116185,0.05672544761958363,0.844,0.032,0.005854445518643586,0.25681251799587007,0.033653140054591274,3361.289094014931,-3.7317635037600883e-06,-3.5357273958085134e-05,4.586445250566451e-07,-7.354277468542281e-06,3.518443223809965e-11,-9.21747770193937e-06,1.39827990922603e-05,0.0005057471872902397,-0.0020000000000000018,0.0
