#{"t_start": 1778658180.2348993, "env_id": "None"}
r,l,t
-1256.663126,500,73.370309
-1345.815065,500,75.023497
-1159.338695,500,76.676143
-1132.233592,500,78.354928
-1011.25046,500,82.85998
-969.842126,500,87.432459
-1329.090737,500,91.974596
-1035.544767,500,96.696425
-1208.848554,500,101.304132
-949.681467,500,106.050182
-1237.238738,500,180.785218
-968.425704,500,185.252722
-987.074386,500,189.71687
-1523.484574,500,194.286181
-1127.60442,500,199.14548
-1083.383157,500,203.872227
-1395.80077,500,208.35332
-51.393402,63,208.996777
-1003.802052,500,213.602241
-854.430158,500,218.166713
-50.206962,61,218.765808
-919.16826,500,294.329498
-1081.807223,500,298.871499
-1175.806009,500,303.604517
-1021.977459,500,308.112046
-936.518873,500,312.597927
-1024.406252,500,317.062052
-1498.690393,500,321.483542
-1324.776171,500,326.077688
-1155.341436,500,330.622006
-54.730419,61,331.215758
-43.917633,52,331.731901
-1278.219835,500,336.232244
-2043.365418,500,411.785869
-1134.880659,472,416.079799
-1508.501933,500,420.79344
-1340.188423,500,425.473638
-881.755769,500,429.979534
-452.014366,500,434.520191
-963.520372,500,439.469409
-1293.211649,500,444.146043
-1355.37339,500,448.776609
-1028.285952,500,453.592094
-1182.872868,500,528.977948
-1371.039536,500,533.455638
-663.258587,500,537.862328
-1290.764794,500,542.533223
-1593.420118,500,547.290776
-1111.859604,500,551.945691
-1111.607255,500,556.574368
-1047.675183,500,561.034731
-1107.795156,500,565.54821
-1210.866717,500,570.295962
-1926.242238,500,646.091368
-932.496334,500,650.874847
-1036.955213,500,655.404206
-1324.136462,500,660.13156
-1485.265364,500,664.76518
-1246.842743,500,669.383236
-1266.379266,500,674.154464
-1247.226315,500,678.791276
-1130.064903,500,683.431129
-1134.38683,500,687.980185
