#{"t_start": 1778645703.0320368, "env_id": "None"}
r,l,t
-171.357731,500,24.651847
-202.742893,500,25.599697
-204.020576,500,29.244359
-110.510206,500,32.759653
-431.026055,500,36.258702
-77.868224,500,39.841598
-178.457352,500,43.33687
-237.485767,500,46.888308
-427.425187,500,50.425246
-82.007364,69,50.981066
-173.095636,500,77.138924
-207.284813,500,80.665593
-335.078328,500,84.118095
-106.722587,500,87.608001
-115.164798,500,91.124838
-175.794197,500,94.566673
-528.122119,500,98.136915
-520.786482,500,101.685104
-86.415939,62,102.181338
-136.900501,500,105.743072
-162.236091,500,109.286635
-127.210658,500,135.525074
-101.297934,500,139.041194
-202.073054,500,142.52487
-326.296696,500,146.032103
-227.892031,500,149.592392
-140.582179,500,153.172378
-401.282512,500,156.622997
-56.728355,61,157.093818
-194.051674,500,160.651128
-221.289871,500,164.132571
-499.745058,500,167.643678
-100.884375,500,193.998235
-52.745497,51,194.426255
-208.074705,500,198.058574
-109.836669,500,201.557364
-105.6204,500,205.11965
-145.131195,500,208.656723
-589.422766,500,212.173667
-175.597282,500,215.659258
-297.795302,500,219.13618
-154.098711,500,222.708575
-143.914829,500,226.247765
-297.17574,500,253.520618
-205.595154,500,257.037329
-175.312175,500,260.540395
-340.889879,500,264.152876
-209.679916,500,267.732527
-178.746728,500,271.338947
-243.87146,500,274.858675
-276.508935,500,278.450611
-155.363427,500,282.010931
-117.817524,500,285.658564
-235.114994,500,311.444577
-230.772456,500,315.02167
-170.406229,500,318.557766
-258.402186,500,322.176826
-119.472054,500,325.734464
-88.0463,500,329.370392
-80.06038,72,329.923893
-137.711606,500,333.508561
-407.883667,500,337.036552
-383.568781,500,340.560087
-150.393248,500,344.13152
-310.219358,500,370.754823
-119.629935,500,374.298999
-89.674455,500,377.808593
-98.943266,500,381.366399
-235.486805,500,385.033768
-158.483698,500,388.629257
-303.224786,500,392.256953
-175.661536,500,395.803587
-183.844971,500,399.318272
-159.184713,500,402.854805
-653.684347,500,430.095065
-279.076193,500,433.637272
-151.469037,500,437.182419
-139.62258,500,440.748671
-401.964479,500,444.190533
-207.828014,500,447.670702
-192.585495,500,451.128163
-564.023682,452,454.261832
-170.706319,500,457.920676
-108.068077,500,461.439296
-297.402141,500,487.454056
-172.385407,500,490.855016
-494.150037,443,493.949755
-179.527387,500,497.3993
-159.198057,500,500.871236
-210.348776,500,504.395014
-77.135657,68,504.940445
-183.333015,500,508.573487
-229.346476,500,512.156548
-110.92908,500,515.830693
-112.449785,500,519.479039
-217.417755,500,546.407809
-107.984773,500,549.954088
-217.327419,500,553.42716
-652.904507,500,556.980426
-165.416941,500,560.517211
-172.506882,500,564.086079
-146.359383,500,567.727057
-345.400791,500,571.292965
-199.078122,500,574.848136
-139.360628,500,578.925251
