#{"t_start": 1778653571.4038167, "env_id": "None"}
r,l,t
-42796.409174,500,38.972741
-16923.926162,500,39.977351
-44534.30348,500,40.979885
-37871.909832,500,42.027769
-33650.109954,500,45.933596
-22993.384566,500,50.032436
-31270.672078,500,53.954709
-80178.72712,500,57.953976
-1486.248354,53,58.457127
-54583.741403,500,62.475598
-48123.600757,500,102.822535
-18056.508564,500,106.688729
-27803.688181,500,110.837797
-58132.516052,500,114.739317
-42944.863302,500,118.844103
-32418.888901,500,122.834565
-30273.41064,500,126.705192
-26851.791109,500,130.445183
-38930.729179,500,134.318763
-53740.661787,500,138.22044
-52258.54162,500,179.523875
-86307.169514,500,183.537139
-57643.196535,500,187.52602
-73085.911935,500,191.397443
-73779.086697,500,195.468115
-1490.331449,58,195.999152
-53950.31491,500,200.012789
-37210.414606,500,204.022553
-91127.885606,500,207.856008
-83093.211535,500,211.759084
-31217.199395,405,214.904699
-24223.386456,500,256.169083
-24589.002297,500,259.9621
-43487.302206,500,263.879399
-84320.6993,500,267.976357
-123856.846626,500,271.835737
-80459.959543,500,275.642061
-46888.902952,500,279.522941
-68635.235297,500,283.385278
-27956.142927,500,287.506312
-32536.491229,500,291.47038
-119645.324903,500,332.080848
-23056.728347,500,335.975351
-75812.330475,500,339.893019
-32071.800263,500,343.969914
-47497.49952,500,347.927038
-28008.595004,500,351.850318
-32519.641992,500,355.640786
-33083.187704,500,359.591973
-33984.760646,500,363.380031
-53398.151673,500,367.31401
-69781.237119,500,407.667552
-58433.569309,500,411.397379
-32555.056027,500,415.160683
-94425.02943,500,419.078058
-50784.984825,500,423.151669
-30199.316249,500,427.20671
-73455.086918,500,431.216449
-63174.433281,500,435.239584
-37604.088109,500,439.085742
-36973.510856,500,442.89207
