#{"t_start": 1778648391.686494, "env_id": "None"}
r,l,t
-332.724165,500,36.87447
-652.239158,500,37.843721
-149.462206,500,41.874457
-409.486447,500,45.801504
-640.333215,500,49.616377
-131.528382,500,53.554981
-150.569257,500,57.699998
-469.886129,500,61.47595
-746.093008,500,65.389541
-169.825973,500,69.148529
-646.180172,500,73.163529
-164.103048,500,77.01634
-194.929226,500,80.909098
-367.530085,500,84.780799
-138.793761,500,88.622941
-305.429153,500,92.58608
-842.614567,500,96.390136
-120.172996,500,100.358103
-425.138052,500,104.32065
-192.683216,500,108.255515
-624.035118,483,147.884822
-156.654805,500,151.794867
-110.792473,500,155.681025
-641.015158,500,159.516443
-221.723423,500,163.378887
-274.977041,500,167.410979
-154.024842,500,171.386003
-174.924535,500,175.305626
-285.67585,500,179.198847
-93.517555,500,183.209526
-169.797364,500,187.092576
-218.887548,500,191.130662
-194.518948,500,195.157796
-181.786417,500,199.047268
-52.684426,58,199.573013
-530.543218,500,203.601751
-479.999702,500,207.472777
-120.274357,500,211.416008
-654.700238,448,215.048986
-673.200063,472,218.814524
-102.371239,500,222.72415
-277.784993,500,262.980651
-192.786933,500,266.963425
-542.055258,500,271.107331
-211.526627,500,275.164514
-215.901386,500,279.161504
-222.182284,500,283.159542
-349.872294,500,287.119779
-99.139492,500,291.244591
-324.349553,500,295.158713
-158.415231,500,299.031109
-70.130247,59,299.559522
-192.385506,500,303.40827
-251.525296,500,307.429708
-108.054265,500,311.251765
-232.149134,500,315.302891
-533.559776,500,319.238236
-56.306976,52,319.769508
-638.19968,500,323.822249
-114.521068,500,327.824496
-43.041209,55,328.349287
-303.081132,500,332.246069
-856.71118,500,336.098824
-157.222786,500,374.826563
-136.776812,500,378.788949
-115.709898,500,382.748865
-656.236356,478,386.516207
-214.694819,500,390.378197
-179.768733,500,394.226031
-311.68652,500,398.246865
-414.342821,500,402.078118
-194.854392,500,405.936426
-89.915606,500,410.127333
-78.383164,500,414.152489
-234.248366,500,418.055969
-750.408095,500,422.034691
-617.051836,500,425.820437
-194.210383,500,429.634421
-120.936351,500,433.414702
-289.192983,500,437.348969
-151.621543,500,441.316315
-645.795561,449,444.839005
-326.410526,500,448.78798
-626.262188,500,488.062264
-157.662037,500,491.953258
-139.08466,500,495.918186
-327.400371,500,499.92076
-856.254308,389,503.064374
-104.990956,500,507.035507
-146.244597,500,511.094058
-134.229619,500,515.086342
-415.022387,500,519.052811
-317.350435,500,523.024075
-85.626211,500,527.082067
-121.61751,500,530.821551
-385.189746,500,534.842083
-124.242513,500,538.720151
-734.418228,500,542.588092
-462.437003,500,546.424705
-289.041104,500,550.428799
-108.647591,500,554.414946
-55.576192,51,554.890332
-530.528294,500,558.715359
-201.79421,500,562.630369
-271.645768,500,566.624983
-149.286863,500,605.839174
-165.746651,500,609.683586
-207.813891,500,613.721806
-421.131492,500,617.796899
-224.812091,500,621.755762
-68.678083,61,622.319703
-418.770355,500,626.394224
-79.459348,60,626.937322
-486.967806,500,630.954971
-126.1345,500,634.865975
-664.524663,469,638.721693
-304.256567,500,642.8145
-314.25914,500,646.7096
-269.397664,500,650.750475
-572.763783,500,654.719644
-449.635778,500,658.640827
-139.883477,500,662.607824
-82.423994,62,663.141145
-646.648513,500,667.103225
-219.24379,500,671.064322
-182.358229,500,674.940244
-314.711032,500,679.00018
-294.28797,500,718.854324
-145.837836,500,722.738082
-121.968652,500,726.563206
-494.244941,500,730.475209
-413.63157,500,734.476444
-1080.767524,500,738.535805
-171.005724,500,742.404899
-44.26345,63,742.929492
-704.401885,500,746.749601
-338.321587,500,750.689139
-371.307423,500,754.656639
-332.910953,500,758.619754
-223.169525,500,762.580323
-150.179408,500,766.438049
-228.560969,500,770.579429
-223.930223,500,774.568023
-239.207253,500,778.545612
-235.014929,500,782.543904
-509.314349,500,786.505006
-167.713281,500,790.294966
-290.974106,500,794.17499
-163.899232,500,835.055549
-731.517258,500,839.16281
-146.92608,500,843.048944
-413.99474,500,846.969698
-376.482131,500,850.981762
-107.402828,500,854.875021
-609.674308,500,858.670534
-190.325414,500,862.409571
-115.899385,500,866.348381
-518.828691,500,870.336789
-64.831859,61,870.874831
-479.872333,458,874.579816
-342.783605,500,878.596739
-276.188994,500,882.4994
-243.17185,500,886.528858
-558.981002,500,890.484249
-188.524515,500,894.416163
-142.428902,500,898.444491
-99.663502,500,902.42428
-455.018168,500,906.601064
-253.319823,500,910.602953
