seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac
10000,0.014957145606075233,0.011618656311734695,-0.003338489294340538,0.015925013474510346,0.006794963768131295,-0.00913004970637905,0.024724701134249565,0.023978013587049197,-0.0007466875472003677,-128.2154533888679,-112.10749112581834,16.107962263049558,0.706,0.71,0.0040000000000000036,0.0,0.0,0.0,0,0,1.2126678992369244,2.425335798473849,0.8622987329287671
10001,0.023743212850428547,0.01760314147863404,-0.006140071371794505,0.007425983240498669,0.007527346305458057,0.00010136306495938784,0.06165461476374398,0.04709279075193465,-0.014561824011809332,-655.4023842057213,-128.93011963972822,526.4722645659931,0.8,0.475,-0.32500000000000007,0.07,0.125,0.05499999999999999,0,0,1.1404819779954842,2.2809639559909685,0.7073950424794391
10002,0.01775201825620872,0.014467905166662638,-0.0032841130895460806,0.022032274110411563,0.025546386788502306,0.003514112678090743,0.03635445337196357,0.03532510650804728,-0.001029346863916293,-159.49959090072662,-138.77428165217862,20.725309248548,0.706,0.706,0.0,0.0,0.0,0.0,0,0,1.1922809635049445,2.384561927009889,0.7952408367274477
10003,0.02605642974983528,0.022315396714484632,-0.0037410330353506473,0.01065214480992123,0.012693141647945091,0.002040996838023862,0.045882330675627886,0.04154085433242312,-0.004341476343204767,-448.4505689688958,-379.3129301634617,69.13763880543411,0.796,0.802,0.006000000000000005,0.03,0.024,-0.005999999999999998,0,0,1.3013541845815517,2.6027083691631034,0.8843739104009777
10004,0.014382771470389648,0.012333806532495219,-0.002048964937894429,0.02113179453281726,0.025173820999636814,0.004042026466819552,0.02728357368573106,0.025173820999636814,-0.002109752686094247,-120.02866323001217,-116.30777193116955,3.7208912988426164,0.762,0.76,-0.0020000000000000018,0.0,0.0,0.0,0,0,1.2233091249486987,2.4466182498973974,0.7722017212178147
10005,0.021801452049090977,0.018730993317708246,-0.0030704587313827303,0.010916994866899902,0.00957226459385967,-0.0013447302730402316,0.041967011229901895,0.03865574556080572,-0.003311265669096175,-210.19536886527203,-189.07241925783455,21.122949607437477,0.856,0.848,-0.008000000000000007,0.0,0.0,0.0,0,0,1.2977897650199324,2.5955795300398647,0.9383651300614956
10006,0.011406258838754374,0.0264216388902627,0.015015380051508327,0.00954194279289397,0.003858970983873996,-0.0056829718090199745,0.030884532434728787,0.05009068901641917,0.019206156581690385,-29.18477294757031,-538.783301634714,-509.5985286871437,0.32727272727272727,0.7707865168539326,0.44351378958120535,0.03636363636363636,0.051685393258426963,0.015321756894790602,0,0,1.263033574113429,2.526067148226858,0.8504659980212529
10007,0.03744878457729711,0.03597911419971286,-0.0014696703775842548,0.030859409712563714,0.01207807542089321,-0.018781334291670504,0.064832013693978,0.07076717172075267,0.005935158026774676,-657.5671970727853,-640.2558781243861,17.311318948399276,0.86,0.852,-0.008000000000000007,0.026,0.026,0.0,0,0,1.2819977979033395,2.563995595806679,0.8503356172676658
10008,0.015121568289675098,0.015295047044624683,0.00017347875494958497,0.016938858334861834,0.008784407872740981,-0.008154450462120853,0.030147400274016314,0.026852765476621458,-0.003294634797394856,-133.76175811048597,-154.34560467675328,-20.58384656626731,0.72,0.76,0.040000000000000036,0.0,0.0,0.0,0,0,1.1940116937262433,2.3880233874524865,0.8190912325006577
10009,0.014312313785957922,0.02904720527910255,0.014734891493144628,0.00944859542244147,0.020406964170290542,0.010958368747849072,0.037761047797615334,0.05698293583136039,0.019221888033745055,-85.09166586422361,-568.3300344413146,-483.238368577091,0.41935483870967744,0.7962962962962963,0.37694145758661884,0.11290322580645161,0.05324074074074074,-0.05966248506571087,0,0,1.3284234672552413,2.6568469345104826,0.8545787297265242
10010,0.014946966217029508,0.015501428336882452,0.0005544621198529439,0.012255649855443381,0.02075304210129782,0.008497392245854439,0.03349071950417623,0.035736347207393965,0.002245627703217734,-144.703644501511,-162.2020049742423,-17.498360472731292,0.726,0.722,-0.0040000000000000036,0.0,0.0,0.0,0,0,1.1348606282869727,2.2697212565739453,0.7283758868181324
10011,0.013742616420397473,0.013745580745253082,2.964324855608824e-06,0.006856262282513396,0.004092082752952904,-0.0027641795295604912,0.03338369044442459,0.032837178846680845,-0.0005465115977437429,-111.80280458461493,-123.86023243051022,-12.05742784589529,0.828,0.798,-0.029999999999999916,0.0,0.0,0.0,0,0,1.1733057654428616,2.346611530885723,0.7841923610056538
10012,0.014370471795567084,0.01158713994503888,-0.0027833318505282034,0.008758570823431596,0.016972286717574118,0.008213715894142522,0.026213466573051434,0.023537780069216148,-0.002675686503835286,-120.87553421477787,-111.09658445883542,9.778949755942449,0.73,0.73,0.0,0.0,0.0,0.0,0,0,1.2206050222403566,2.441210044480713,0.8852764053583295
10013,0.015380917048456497,0.01275315325029257,-0.0026277637981639273,0.025442684144860766,0.029404206508095467,0.003961522363234701,0.031873009052074734,0.02988331191706046,-0.0019896971350142727,-133.47198924189433,-122.48878782335669,10.983201418537647,0.714,0.708,-0.006000000000000005,0.0,0.0,0.0,0,0,1.1897620347757172,2.3795240695514344,0.8120837489303623
10014,0.0206633133242262,0.0190002266345368,-0.0016630866896894005,0.023920181683496924,0.01355354224545119,-0.010366639438045734,0.040202683437469994,0.039580893828620706,-0.000621789608849288,-209.15948472497985,-191.32895363681018,17.830531088169664,0.818,0.74,-0.07799999999999996,0.0,0.0,0.0,0,0,1.1960568589574285,2.392113717914857,0.7649497319174796
10015,0.03127786448640848,0.02889089289631665,-0.0023869715900918277,0.0016044644371662365,0.0021705943185642953,0.0005661298813980588,0.05894953703756901,0.053826749077935575,-0.005122787959633432,-742.9828084642068,-552.8976139626466,190.08519450156018,0.8016701461377871,0.8053691275167785,0.003698981378991384,0.0709812108559499,0.0447427293064877,-0.0262384815494622,0,0,1.355961961216978,2.711923922433956,0.9488010282621397
10016,0.019561493971876308,0.0198581253871163,0.00029663141523999376,0.03108717930148172,0.027786933310589807,-0.003300245990891914,0.054032930980120485,0.04826327390585941,-0.005769657074261074,-380.0931357401423,-428.24951156787574,-48.15637582773343,0.854,0.834,-0.020000000000000018,0.03,0.036,0.005999999999999998,0,0,1.22921622040667,2.45843244081334,0.7544889315955284
10017,0.03298001661164662,0.029377546442067363,-0.0036024701695792603,0.03318751614527527,0.04606600391959813,0.012878487774322857,0.057046763089771205,0.05379277832805612,-0.0032539847617150813,-520.5268399377819,-512.0743142426945,8.452525695087388,0.874,0.882,0.008000000000000007,0.022,0.03,0.008,0,0,1.3507523510612058,2.7015047021224117,0.8748305922534323
10018,0.029627831454222157,0.029551833326830645,-7.599812739151127e-05,0.04525935570777922,0.03700377195785973,-0.008255583749919491,0.048010728148580116,0.04986655932521433,0.0018558311766342164,-332.21452330914326,-345.77753027528524,-13.563006966141984,0.696,0.696,0.0,0.0,0.0,0.0,0,0,1.3120698641474537,2.6241397282949075,0.8504089710277671
10019,0.013859012438789745,0.013824696240095653,-3.431619869409194e-05,0.009636848965679547,0.02021188692981013,0.010575037964130583,0.028964617656620555,0.031758268104764516,0.002793650448143961,-120.36031824606471,-133.72019788017496,-13.359879634110257,0.7,0.712,0.01200000000000001,0.0,0.0,0.0,0,0,1.195276682091305,2.39055336418261,0.7776464451466185
10020,0.014258646376000373,0.014566247246020894,0.0003076008700205208,0.013824888421717973,0.015783485291408474,0.0019585968696905,0.0367679797684007,0.03690977799106845,0.0001417982226677439,-127.30449408432469,-145.3635960216634,-18.05910193733871,0.704,0.708,0.0040000000000000036,0.0,0.0,0.0,0,0,1.1844550744476858,2.3689101488953717,0.7487845405841439
10021,0.014590739497941057,0.014500202597205043,-9.053690073601399e-05,0.0061013866089694785,0.025732529046640182,0.019631142437670702,0.03280702583064627,0.03328610014193745,0.00047907431129117634,-117.92162756738253,-131.83374244859442,-13.912114881211892,0.688,0.684,-0.0039999999999998925,0.0,0.0,0.0,0,0,1.2074267447202731,2.4148534894405462,0.7817494272163242
10022,0.018765300115450943,0.019168000917698356,0.0004027008022474132,0.014131875661023063,0.02475538765537697,0.010623511994353909,0.034251663860597775,0.03686607976049334,0.0026144158998955627,-184.65658850828186,-204.22682095505297,-19.570232446771115,0.746,0.748,0.0020000000000000018,0.0,0.0,0.0,0,0,1.1951840353871026,2.390368070774205,0.7677486523919659
10023,0.03186616301617507,0.027818109561071565,-0.004048053455103506,0.038438561920956675,0.04155667747792509,0.0031181155569684135,0.054814879042297704,0.05373742638133167,-0.0010774526609660315,-614.6456525551621,-590.3834131541662,24.262239400995895,0.804,0.802,-0.0020000000000000018,0.042,0.048,0.005999999999999998,0,0,1.3248441658559063,2.6496883317118125,0.9314540251316646
10024,0.028343294052672205,0.010913798956055168,-0.017429495096617037,0.012405883153333795,0.014550596688056762,0.0021447135347229668,0.06168007917912299,0.03144024427208197,-0.030239834907041026,-783.8187854827847,-30.699988203123212,753.1187972796615,0.7931726907630522,0.3103448275862069,-0.4828278631768453,0.08032128514056225,0.034482758620689655,-0.045838526519872594,0,0,1.1337473682338257,2.2674947364676514,0.732065852178915
10025,0.021778255506029444,0.0197740587518844,-0.0020041967541450448,0.027683962039398376,0.00799590284822411,-0.019688059191174265,0.04337625312619009,0.042964600162927254,-0.000411652963262836,-331.80166652146727,-361.8396219694987,-30.037955448031425,0.762,0.76,-0.0020000000000000018,0.018,0.026,0.008,0,0,1.2305071569389665,2.461014313877933,0.7892805270096582
10026,0.02148999499536816,0.021444284099590587,-4.5710895777574534e-05,0.01760459680290502,0.028343332785721726,0.010738735982816706,0.03955878045237352,0.04521365940073307,0.005654878948359546,-222.19234996591695,-234.78365183947608,-12.591301873559132,0.912,0.896,-0.016000000000000014,0.0,0.0,0.0,0,0,1.2082983285111732,2.4165966570223465,0.7801482600659218
10027,0.029803745854775965,0.025893229246459707,-0.003910516608316258,0.02159067426989359,0.03085323341519215,0.009262559145298558,0.056676191514776396,0.0521884485779441,-0.004487742936832295,-660.1376590677537,-602.1346096615307,58.003049406223,0.784,0.786,0.0020000000000000018,0.056,0.054,-0.0020000000000000018,0,0,1.3082289643654306,2.616457928730861,0.8831081983279332
10028,0.012322381967387813,0.012054517284758441,-0.00026786468262937103,0.01123337306187841,0.023725061142276165,0.012491688080397755,0.029652106450848596,0.028824311439492142,-0.0008277950113564532,-97.02265248983167,-108.55760047910735,-11.534947989275679,0.684,0.658,-0.026000000000000023,0.0,0.0,0.0,0,0,1.1884319568092938,2.3768639136185876,0.8199169950339308
10029,0.02619720181248761,0.02258949576467655,-0.003607706047811063,0.030671507629831105,0.031009213687937735,0.00033770605810663074,0.05061929524484173,0.04623942046762263,-0.0043798747772191005,-588.9676567898132,-511.0921555538662,77.87550123594701,0.78,0.78,0.0,0.054,0.046,-0.008,0,0,1.2655596659523383,2.5311193319046765,0.8032663249760167
