t,qj1,qj2,qj3,qj4,qdj1,qdj2,qdj3,qdj4,qa1,qa2,qa3,qa4,qda1,qda2,qda3,qda4,jnt_margin,act_margin,y_des_0,y_des_1,y_des_2,y_des_3,y_des_4,y_act_0,y_act_1,y_act_2,y_act_3,y_act_4,yaw_actual,e_0,e_1,e_2,e_3,e_4,yd_des_0,yd_des_1,yd_des_2,yd_des_3,yd_des_4,yd_act_0,yd_act_1,yd_act_2,yd_act_3,yd_act_4,ed_0,ed_1,ed_2,ed_3,ed_4,K_0,K_1,K_2,K_3,K_4,D_0,D_1,D_2,D_3,D_4,F_raw_0,F_raw_1,F_raw_2,F_raw_3,F_raw_4,F_0,F_1,F_2,F_3,F_4,J_0_0,J_0_1,J_0_2,J_0_3,J_1_0,J_1_1,J_1_2,J_1_3,J_2_0,J_2_1,J_2_2,J_2_3,J_3_0,J_3_1,J_3_2,J_3_3,J_4_0,J_4_1,J_4_2,J_4_3,sv0,sv1,sv2,sv3,tau_j_raw_norm,tau_j1,tau_j2,tau_j3,tau_j4,tau_a1,tau_a2,tau_a3,tau_a4,tau_j_sat_any,tau_a_sat_any,torque_mode,ctrl_norm,qfrc_applied_dof0,qfrc_applied_dof1,qfrc_applied_dof2,qfrc_applied_dof3,qfrc_actuator_norm,qfrc_bias_norm,qacc_norm,ee_pos_err,e_task_norm,trans_err_norm
0.0,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,0.0,0.0,0.0,0.0,1.26513926,8.49979867,4.72038433,-1.5016941,0.0,0.0,0.0,0.0,0.15478470100000008,0.5156156699999999,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,-1.5707963267948966,0.0,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,-1.570803106772076,-5.264885037714606e-06,2.466954727496852,0.0,0.0,0.0,6.779977179682817e-06,5.264885037714606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,0.0,0.0,0.0,2.033993153904845e-05,1.579465511314382e-05,0.0,0.0,0.0,2.033993153904845e-05,1.579465511314382e-05,-0.20001379943956898,-0.2498775245052265,-0.30223871438916916,0.14056187075395243,-0.2500401181104728,0.19988882891952553,0.24177134760883234,-0.11243825051576728,-1.8369333831813606e-06,-0.3201946911640663,-0.10018523581567518,1.763508783447776e-05,4.589217894590547e-06,-6.6133765130871325e-06,-6.612932423877282e-06,0.0,-5.736744412843109e-06,-0.9999999999177334,-1.000000000139778,0.9999999999177334,1.823521357490544,0.3201961596931481,0.24017765436393895,0.11934077705867549,2.7357300464037652e-05,2.7344783206361563e-12,-1.5794789627469966e-05,-1.5794789621944336e-05,1.5794655111844446e-05,1.458297288395262e-12,-2.3692184441204948e-06,-4.7384368865833e-06,4.738396533553334e-06,False,False,joint_direct_debug,0.0,2.7344783206361563e-12,-1.5794789627469966e-05,-1.5794789621944336e-05,1.5794655111844446e-05,0.0,7.1195031674047256,6987.1276723721085,2.059214355187506e-05,8.58411935013551e-06,0.0
0.001,0.6746445392455437,1.275012943620262,1.416087865910927,-0.45048882897893006,-0.054228112456310526,0.043143120261921915,-0.027433089072776952,0.019401021069899427,1.2650375759338903,8.500086290801747,4.720292886369757,-1.501629429929767,-0.10168406610971409,0.2876208017461461,-0.09144363024258985,0.06467007023299809,0.1548121340890729,0.5157071136302429,0.249999980059952,-0.2000000119640288,-0.10000000398800961,-1.5707963267948966,0.0,0.2500512018480966,-0.19999969533088677,-0.10000219212306663,-1.5708031071248125,-1.5735840528385836e-06,2.4670576571982257,-5.1221788144595326e-05,-3.166331420390023e-07,2.188135057021312e-06,6.780329916189487e-06,1.5735840528385836e-06,-5.976024e-05,-3.585614399999999e-05,-1.1952047999999998e-05,0.0,0.0,0.011083206314826278,0.013369964824433889,-0.01106543705975543,-3.5271787552577036e-07,0.00369130097922166,-0.011142966554826278,-0.01340582096843389,0.01105348501175543,3.5271787552577036e-07,-0.00369130097922166,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.06890667085474148,-0.0804475911362849,0.06640843547281343,2.0517348686331345e-05,-0.0018409297374523143,-0.06890667085474148,-0.0804475911362849,0.06640843547281343,2.0517348686331345e-05,-0.0018409297374523143,-0.20000042999512857,-0.24989700495026135,-0.3022530534746437,0.14056796779349234,-0.2500512017999945,0.19988218992461615,0.2417559402806413,-0.11243062791876923,-1.8369888943325918e-06,-0.32019499560109743,-0.10018264767763796,1.8299500803564683e-05,4.588551760775772e-06,-6.612932423877282e-06,-6.612932423877282e-06,0.0,-5.736966457448034e-06,-0.9999999999177334,-0.9999999996956888,0.9999999999177334,1.8235233486122389,0.32019646402036234,0.2401800497293933,0.11933894571378383,0.03874589062143014,0.033897269309962334,-0.018283189125259634,-0.003433474660431055,-0.0024810119995437216,0.01807741372300291,-0.002742478368788945,-0.0010300423981293165,-0.0007443035998631165,False,False,joint_direct_debug,0.0,0.033897269309962334,-0.018283189125259634,-0.003433474660431055,-0.0024810119995437216,0.0,7.118402721210118,7000.935154566187,8.038715321938899e-05,5.1739818446221203e-05,0.0
0.002,0.6745416096016199,1.27509921178038,1.4160325906694702,-0.45045168625357784,-0.10292964392379217,0.08626816011812108,-0.05527524145685807,0.037142725352214606,1.2648445707887117,8.500661411869201,4.720108635564901,-1.5015056208452595,-0.19300514517868397,0.5751210674541406,-0.18425080485619358,0.12380908450738203,0.15486740933052978,0.5158913644350989,0.249999840958464,-0.20000009542492161,-0.1000000318083072,-1.5707963267948966,0.0,0.2500721558830921,-0.1999742516400066,-0.10002427641399125,-1.570803107802056,4.576813177781247e-06,2.4672044647175793,-7.231492462811406e-05,-2.5843784915019485e-05,2.424460568405118e-05,6.781007159339936e-06,-4.576813177781247e-06,-0.00023808383999999997,-0.00014285030399999995,-4.761676799999998e-05,0.0,0.0,0.02095206375771657,0.025445329615231986,-0.022084437493688835,-6.772046734777742e-07,0.006150397238704752,-0.02119014759771657,-0.025588179919231985,0.022036820725688834,6.772046734777742e-07,-0.006150397238704752,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.130033482571424,-0.1545628309119927,0.13319070858149507,2.0681623814758693e-05,-0.00308892905888572,-0.130033482571424,-0.1545628309119927,0.13319070858149507,2.0681623814758693e-05,-0.00308892905888572,-0.1999749864867173,-0.2499348250306621,-0.302280360020557,0.14057953939827783,-0.2500721559273167,0.19987025963452698,0.24172676688083428,-0.11241615861801169,-1.8370860388472465e-06,-0.320195468486717,-0.10017733799438933,1.940660132593308e-05,4.588329716170847e-06,-6.612932423877282e-06,-6.6133765130871325e-06,0.0,-5.737410546657884e-06,-0.9999999996956888,-0.9999999996956888,0.9999999996956888,1.8235272778723788,0.3201969369650318,0.24018489363836457,0.11933525212937104,0.07553482005557431,0.06465507740698966,-0.037950749840761036,-0.008309167179998472,-0.003991031648957246,0.03448055278114758,-0.005692612476114156,-0.0024927501539995416,-0.001197309494687174,False,False,joint_direct_debug,0.0,0.06465507740698966,-0.037950749840761036,-0.008309167179998472,-0.003991031648957246,0.0,7.11670777680458,7035.564192962338,0.00013258458920763043,8.094491784193783e-05,0.0
0.003,0.6743948021769719,1.2752285731089323,1.4159491327585148,-0.45039809622036187,-0.14680742464805854,0.12936132855225155,-0.08345791095532305,0.053590033215989444,1.2645692896624263,8.501523820726216,4.719830442528383,-1.5013269874012063,-0.2752811262855026,0.8624088570150104,-0.2781930365177435,0.17863344405329815,0.1549508672414852,0.516169557471617,0.249999464848336,-0.2000003210909984,-0.10000010703033281,-1.5707963267948966,0.0,0.25010193897946437,-0.19993787867182572,-0.10005733576137651,-1.5708031087791368,1.2264271161077644e-05,2.467390943273299,-0.00010247413112837722,-6.244241917269244e-05,5.7228731043704184e-05,6.781984239978556e-06,-1.2264271161299689e-05,-0.00053353944,-0.0003201236639999999,-0.00010670788799999997,0.0,0.0,0.029778931145285664,0.036376401169382705,-0.03305968453638819,-9.770589610644861e-07,0.007687457993863875,-0.030312470585285665,-0.036696524833382704,0.03295297664838819,9.770589610644861e-07,-0.007687457993863875,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.18597378875684908,-0.22267684576720392,0.2000070091320773,2.083448220046791e-05,-0.0038805218104158365,-0.18597378875684908,-0.22267684576720392,0.2000070091320773,2.083448220046791e-05,-0.0038805218104158365,-0.199938613720807,-0.2499899868224631,-0.30231943484726465,0.14059604130922665,-0.2501019389505865,0.19985420859902625,0.24168525777912286,-0.11239551916952806,-1.8374052279668263e-06,-0.3201960163956574,-0.10016921758726482,2.0790341670462453e-05,4.587441537751147e-06,-6.6133765130871325e-06,-6.6133765130871325e-06,-2.220446049250313e-10,-5.738076680472659e-06,-1.000000000139778,-0.9999999999177334,1.000000000139778,1.8235331054697617,0.3201974846477273,0.24019222961640602,0.11932967090095105,0.11056097605642135,0.09287490726661349,-0.058172245685612786,-0.013748244101732261,-0.0049956623963600625,0.04953018804528497,-0.008725836852841918,-0.004124473230519678,-0.0014986987189080187,False,False,joint_direct_debug,0.0,0.09287490726661349,-0.058172245685612786,-0.013748244101732261,-0.0049956623963600625,0.0,7.114503704875821,7090.399881811353,0.00020426000350750846,0.00013368447395593818,5.551115123125783e-17
0.004,0.6742083237571456,1.2754009866030163,1.4158371952918898,-0.4503291393930758,-0.1864784198263599,0.17241349408394255,-0.11193746662492952,0.06895682728610622,1.2642196207709462,8.502673244020109,4.719457317639633,-1.5010971313102526,-0.34966889148014235,1.1494232938929503,-0.37312488874976507,0.22985609095368742,0.15506280470811018,0.5165426823603667,0.249998735310848,-0.20000075881349122,-0.10000025293783041,-1.5707963267948966,0.0,0.2501396505157225,-0.1998915808559093,-0.1001013280210662,-1.57080311003442,2.0746141122351958e-05,2.4676134277500195,-0.0001409152048744977,-0.0001091779575819185,0.0001010750832357854,6.783239523411311e-06,-2.0746141122351958e-05,-0.0009447014399999999,-0.0005668208639999998,-0.00018894028799999995,0.0,0.0,0.037704553620754484,0.04630352818843588,-0.04399286991513399,-1.2551516058264638e-06,0.008481870099183844,-0.038649255060754485,-0.04687034905243588,0.043803929627133996,1.2551516058264638e-06,-0.008481870099183844,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.23753213855950683,-0.28558921261789205,0.2668665810922354,2.0977294373147165e-05,-0.004303173472958978,-0.23753213855950683,-0.28558921261789205,0.2668665810922354,2.0977294373147165e-05,-0.004303173472958978,-0.19989231619943482,-0.2500616176348558,-0.3023692295711644,0.1406169980733285,-0.25013965047893105,0.19983505093745801,0.24163265809062917,-0.11236929896296655,-1.8375995169961357e-06,-0.3201965687871233,-0.10015822274334063,2.2317078740563545e-05,4.586109270121597e-06,-6.6133765130871325e-06,-6.6135985576920575e-06,-2.220446049250313e-10,-5.739186903497284e-06,-0.9999999996956888,-0.9999999999177334,0.9999999999177334,1.8235407961578054,0.32019803695305116,0.24020209457293137,0.11932217963273153,0.14411784469809388,0.11891756957227803,-0.07881965429899364,-0.01961097997016227,-0.005606814447023809,0.06341873985289587,-0.011822948144849046,-0.005883293991048681,-0.0016820443341071427,False,False,joint_direct_debug,0.0,0.11891756957227803,-0.07881965429899364,-0.01961097997016227,-0.005606814447023809,0.0,7.111853390756506,7164.642336365189,0.0002930926641547064,0.00020608131537721297,2.2887833992611187e-16
0.005,0.6739858394605587,1.275616403612782,1.4156965165935715,-0.45024572634022425,-0.22248429658686808,0.2154170097655787,-0.14067869831819055,0.08341305285154006,1.2638024366408376,8.504109357418546,4.718988388645239,-1.5008190878007475,-0.4171841301085094,1.4361133984371914,-0.4689289943939685,0.27804350950513357,0.15520348340642842,0.5170116113547607,0.24999753735,-0.20000147759,-0.10000049253000001,-1.5707963267948966,0.0,0.25018451176580714,-0.19983623808025333,-0.10015621237774666,-1.570803111548931,2.9422159495196e-05,2.467868728662306,-0.00018697441580714513,-0.000165239509746673,0.00015571984774664926,6.784754034150353e-06,-2.9422159495418043e-05,-0.00147015,-0.0008820899999999998,-0.0002940299999999999,0.0,0.0,0.044850920819050476,0.05535117073831637,-0.05488532435040631,-1.5142880489057936e-06,0.00867601854600189,-0.04632107081905047,-0.056233260738316374,0.05459129435040631,1.5142880489057936e-06,-0.00867601854600189,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.28540540154658867,-0.3440091448197652,0.3337765600123038,2.1111406126903956e-05,-0.004426275751487199,-0.28540540154658867,-0.3440091448197652,0.3337765600123038,2.1111406126903956e-05,-0.004426275751487199,-0.19983697388537003,-0.25014895466135556,-0.3024288283692833,0.14064199488350582,-0.2501845117047763,0.1998136651137905,0.24157004988034636,-0.1123380109491201,-1.8379603394791388e-06,-0.3201970736332882,-0.10014430926186257,2.3878746202576906e-05,4.5847770024920464e-06,-6.6133765130871325e-06,-6.6138206022969825e-06,-4.440892098500626e-10,-5.740297126521909e-06,-0.9999999996956888,-0.9999999996956888,0.9999999999177334,1.8235503235449544,0.3201985416580051,0.2402145206745269,0.11931275883243982,0.17645362617578386,0.14309972373116933,-0.09979186736031716,-0.02578703251312591,-0.005912987532047551,0.0763150826658326,-0.014968780104047574,-0.007736109753937773,-0.001773896259614265,False,False,joint_direct_debug,0.0,0.14309972373116933,-0.09979186736031716,-0.02578703251312591,-0.005912987532047551,0.0,7.108802701345082,7257.302625904792,0.00039775828854511175,0.0002956753203881944,0.0
0.006,0.6737305387750042,1.2758747691025827,1.4155268632125353,-0.4501486329549511,-0.25530068555442703,0.2583654898007152,-0.16965338103622868,0.09709338527312214,1.263323717935504,8.505831794017219,4.718422877375118,-1.5004954431831705,-0.47871870533363403,1.722436598671435,-0.5655112701207623,0.3236446175770738,0.15537313678746467,0.517577122624882,0.249995757386752,-0.2000025455679488,-0.10000084852264961,-1.5707963267948966,0.0,0.2502358497719201,-0.1997726198756791,-0.10022194905453863,-1.5708031133060156,3.7804901604987506e-05,2.4681540742423143,-0.00024009238516808917,-0.00022992569226970572,0.0002211005318890208,6.786511119294403e-06,-3.780490160476546e-05,-0.00210847104,-0.0012650826239999997,-0.0004216942079999999,0.0,0.0,0.051323870443131636,0.06362962769271266,-0.06573808750105765,-1.756825867491135e-06,0.008382742334435561,-0.05343234148313163,-0.06489471031671266,0.06531639329305765,1.756825867491135e-06,-0.008382742334435561,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.33019774430551335,-0.3985652895910642,0.4007423810339067,2.1237946291628776e-05,-0.004304785872032077,-0.33019774430551335,-0.3985652895910642,0.4007423810339067,2.1237946291628776e-05,-0.004304785872032077,-0.1997733561909243,-0.25025133207345895,-0.30249743182553246,0.14067067014011947,-0.2502358497497026,0.19979080920218273,0.2414983724663422,-0.1123021011323333,-1.8384599398402202e-06,-0.32019749281186893,-0.10012744881826574,2.5387678070920572e-05,4.583222690257571e-06,-6.6138206022969825e-06,-6.6138206022969825e-06,0.0,-5.7414073495465345e-06,-0.9999999996956888,-0.9999999996956888,1.000000000139778,1.823561664589754,0.3201989606401578,0.2402295359641729,0.11930139088407041,0.20777741534074531,0.16569932357219505,-0.12100917630745234,-0.032189425626841066,-0.005984030464793706,0.08836744926105163,-0.01815137644611785,-0.00965682768805232,-0.0017952091394381115,False,False,joint_direct_debug,0.0,0.16569932357219505,-0.12100917630745234,-0.032189425626841066,-0.005984030464793706,0.0,7.105384667883866,7367.199331145728,0.000517386190393431,0.00040108713504864713,0.0
0.007,0.6734451934701325,1.27617602272157,1.4153280241296522,-0.4500385287484418,-0.28534530487167437,0.3012536189872273,-0.19883908288309174,0.11010420650930373,1.2627886620478765,8.507840151477133,4.717760080432174,-1.5001284291614727,-0.5350558876273661,2.0083574599148486,-0.6627969429436391,0.3670140216976791,0.15557197587034777,0.5182399195678258,0.249993283253264,-0.2000040300480416,-0.10000134334934721,-1.5707963267948966,0.0,0.25029308343777973,-0.1997013980367372,-0.10029849907923441,-1.570803115291047,4.549621044147578e-05,2.4684670596536216,-0.000299800184515725,-0.000302632011304399,0.0002971557298871996,6.788496150544887e-06,-4.5496210441697826e-05,-0.0028582562400000003,-0.0017149537439999998,-0.0005716512479999999,0.0,0.0,0.05721531466014805,0.07123659421828256,-0.0765519648408653,-1.9847508778432226e-06,0.0076913090474067525,-0.06007357090014805,-0.07295154796228256,0.07598031359286529,1.9847508778432226e-06,-0.0076913090474067525,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.3724334327815173,-0.44981456822587135,0.46776811075267977,2.135786389055627e-05,-0.00398214315502847,-0.3724334327815173,-0.44981456822587135,0.46776811075267977,2.135786389055627e-05,-0.00398214315502847,-0.19970213485653865,-0.250368168447368,-0.3025743426088301,0.14070270912269756,-0.2502930834813455,0.19976713623581777,0.24141843939229357,-0.11226195667513039,-1.838765251171992e-06,-0.32019779896974576,-0.10010762573064991,2.677207067147691e-05,4.581890422628021e-06,-6.6140426469019076e-06,-6.614264691506833e-06,0.0,-5.74251757257116e-06,-0.9999999996956888,-0.9999999999177334,0.9999999996956888,1.8235747992901967,0.32019926663901327,0.24024716497128693,0.11928805969713019,0.2382656723055292,0.18696038974414037,-0.1424088681762483,-0.038749741934118884,-0.005874949423108036,0.09970597585055005,-0.021361330226437242,-0.011624922580235664,-0.001762484826932411,False,False,joint_direct_debug,0.0,0.18696038974414037,-0.1424088681762483,-0.038749741934118884,-0.005874949423108036,0.0,7.101622678971384,7492.956515402608,0.0006513396478637289,0.0005214247803385875,0.0
0.008,0.6731322083837395,1.2765200997121353,1.4150998059535111,-0.449915999530428,-0.31298508639303413,0.34407699056544955,-0.22821817614104734,0.12252921801379613,1.2622017783306574,8.510133998080903,4.7169993531783705,-1.49971999843476,-0.5868837172192652,2.293846603769664,-0.7607272538034912,0.4084307267126538,0.15580019404648882,0.5190006468216293,0.249990004187136,-0.2000059974877184,-0.10000199916257281,-1.5707963267948966,0.0,0.25035571152370983,-0.1996231578375621,-0.10038582409651844,-1.5708031174911674,5.216841159660923e-05,2.468805602455954,-0.000365707336573845,-0.0003828396501563136,0.000383824933945634,6.790696271075092e-06,-5.216841159683128e-05,-0.0037181030399999994,-0.002230861823999999,-0.0007436206079999997,0.0,0.0,0.06260514636764042,0.07825856224427047,-0.08732757361968878,-2.1999341275709313e-06,0.0066722015012876945,-0.06632324940764042,-0.08048942406827046,0.08658395301168878,2.1999341275709313e-06,-0.0066722015012876945,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.41256778990879633,-0.4982501304158753,0.5348567154279581,2.1472055877010742e-05,-0.003492605985434341,-0.41256778990879633,-0.4982501304158753,0.5348567154279581,2.1472055877010742e-05,-0.003492605985434341,-0.1996238954138363,-0.2504989570495386,-0.3026589528165591,0.14073783846657584,-0.2503557114952315,0.19974320711324545,0.24133095408163108,-0.11221791318405394,-1.8391815848062265e-06,-0.32019797334414957,-0.10008483400381074,2.7973096061728597e-05,4.580114065788621e-06,-6.614708780716683e-06,-6.614708780716683e-06,-4.440892098500626e-10,-5.744071884805635e-06,-0.9999999996956888,-0.9999999999177334,1.000000000139778,1.823589711573358,0.3201994408954948,0.2402674299683777,0.11927275069475642,0.2680676646878362,0.20709719170823226,-0.1639417083766737,-0.04541428382123687,-0.005628953481396266,0.11044493233800026,-0.024591256256501055,-0.013624285146371061,-0.0016886860444188796,False,False,joint_direct_debug,0.0,0.20709719170823226,-0.1639417083766737,-0.04541428382123687,-0.005628953481396266,0.0,7.097532912373527,8103.245518944871,0.0007991259634297823,0.0006560467135795262,3.1401849173675503e-16
0.009000000000000001,0.6727936659571258,1.276906931680661,1.414842028936043,-0.44978156557625426,-0.33854242661378187,0.3868319685257295,-0.2577770174681802,0.13443395417374207,1.2615669716053362,8.512712877871074,4.716140096453477,-1.4992718852541809,-0.6348067253211735,2.57887979017153,-0.8592567248939341,0.44811318057914024,0.1560579710639569,0.5198599035465223,0.249985810825648,-0.2000085135046112,-0.1000028378348704,-1.5707963267948966,0.0,0.2504233022730344,-0.19953840798769631,-0.10048388621744506,-1.5708031198950676,5.754935956847618e-05,2.4691679035530854,-0.00043749144738639,-0.0004701055169148982,0.0004810483825746503,6.7931001712651096e-06,-5.754935956847618e-05,-0.004686614640000001,-0.002811968784,-0.0009373229280000001,0.0,0.0,0.06756287374912982,0.08477207717225303,-0.09806538053965763,-2.403721480941508e-06,0.005380948110853545,-0.07224948838912983,-0.08758404595625303,0.09712805761165763,2.403721480941508e-06,-0.005380948110853545,40.0,40.0,40.0,3.0,3.0,6.0,6.0,6.0,0.5,0.5,-0.4509965882302346,-0.5443084964141142,0.6020102809729317,2.1581161254266083e-05,-0.002863122134132201,-0.4509965882302346,-0.5443084964141142,0.6020102809729317,2.1581161254266083e-05,-0.002863122134132201,-0.1995391462339402,-0.2506432567883632,-0.3027507336217372,0.1407758208615828,-0.2504233023170599,0.19971950118713444,0.24123652284102626,-0.11217026087140258,-1.8396534295916922e-06,-0.3201980036948715,-0.10005907531696057,2.8941654628411584e-05,4.5781156643442955e-06,-6.614708780716683e-06,-6.614264691506833e-06,-4.440892098500626e-10,-5.74562619704011e-06,-1.000000000139778,-0.9999999996956888,0.9999999999177334,1.8236063864251222,0.3201994710714986,0.24029035082014866,0.11925545021221283,0.29730996032678864,0.22629791438008948,-0.18556913590082177,-0.05214101113510181,-0.005279887836864028,0.12068467773890172,-0.027835370385123265,-0.015642303340530544,-0.0015839663510592084,False,False,joint_direct_debug,0.0,0.22629791438008948,-0.18556913590082177,-0.05214101113510181,-0.005279887836864028,0.0,7.093126182529726,7939.995485149554,0.0009603535225701305,0.0008044647816681771,5.551115123125783e-17
