t,pos_err_norm,sv1,sv2,sv3,lambda,xdot_cmd_x,xdot_cmd_y,xdot_cmd_z,qdot_cmd_1,qdot_cmd_2,qdot_cmd_3,qdot_cmd_4,tau_1,tau_2,tau_3,tau_4,joint_margin_min,act_margin_min
0.0,9.352534782539343e-05,0.6032818022754048,0.3201961596192922,0.1822326396329636,0.08,-0.00012035434464324757,3.919455939446759e-05,-2.6619835118452118e-05,0.00013102935561780594,2.9267481815435486e-05,0.0002112742600292794,-0.00012678791114191602,0.0010139226011549828,-6.981062525784948,-1.395747754046329,0.038433987481016,0.15478068885747165,0.515602296191572
0.002,0.00021367195242186985,0.6032817081380359,0.32019570720831364,0.182232544547862,0.08,-0.000488398441753121,-0.0002680196065826061,-7.432761231642155e-05,0.0015119286970772749,0.0001386545321571084,0.0003361829944663694,-0.00018368307745454386,0.8868482479408238,-6.9744092812680485,-1.4095976534621273,0.030171928101704465,0.15477659669976518,0.5155886556658835
0.004,0.00038400112714154867,0.603280807384955,0.320194275760131,0.18223277686897313,0.08,-0.0014299367150017442,-0.0009906356382778862,-0.00021643742408349297,0.004898869530643102,0.00046452447313217847,0.0007081507540097242,-0.00035308576683795696,1.6187720479218979,-6.969453686547519,-1.4041626790920638,0.04007955258884811,0.15477113762693162,0.5155704587564385
0.006,0.0005949687868723368,0.6032799802742128,0.3201927424244684,0.1822329336908214,0.08,-0.0029187940591535694,-0.0020975689658445183,-0.0004508582547636882,0.010171463325419744,0.0009999371379900005,0.0013312909366503193,-0.00063893659169201,2.238849378758333,-6.962334346080431,-1.4012017877538363,0.03416688774947177,0.1547658457104928,0.5155528190349754
0.008,0.0008412201069471249,0.6032788162839119,0.3201907414731427,0.18223323378822134,0.08,-0.004930862151742261,-0.003566297985353536,-0.0007759439488947435,0.017232447387462317,0.001741070479677246,0.0022015656838609635,-0.0010394520832335689,2.7789912230003915,-6.955044244528815,-1.3898739557977378,0.03697936475919038,0.15475982945510758,0.5155327648503585
0.01,0.001119296248448094,0.603277663345261,0.32018857293209735,0.1822335053265215,0.08,-0.007447393171670479,-0.005377790057207975,-0.001189791455542324,0.02600214484616494,0.0026821715202476272,0.0033202275056516467,-0.00155654558393065,3.2634578602342095,-6.945795360608776,-1.3800822627777556,0.03242895135659872,0.15475355083401476,0.5155118361133821
0.012,0.0014270227876683884,0.6032762668893406,0.32018595265699734,0.18223386762045238,0.08,-0.010451169811076643,-0.0075177076324208,-0.0016906887616239975,0.036414322346036546,0.0038188979725280268,0.004684748242215519,-0.002189482554597084,3.7106665230789444,-6.935578630739561,-1.3664860325113442,0.03203317111266729,0.1547463459641285,0.5154878198804278
0.014,0.0017631264566548464,0.603274733451964,0.3201829106285717,0.18223425526303014,0.08,-0.013927927431764566,-0.009973874333015269,-0.002276787461528385,0.0484129683452121,0.005145934062148643,0.006295182870317748,-0.00293933919520778,4.134646658840076,-6.92361034797149,-1.3535946589184094,0.02817779627313035,0.15473820043443776,0.515460668114792
0.016,0.002127015259271755,0.6032728883391122,0.3201792008538302,0.18223473902117415,0.08,-0.017864449130783652,-0.012736730837825366,-0.0029463165274360207,0.06194992752590643,0.006658580637777366,0.008149909414085891,-0.0038060189521044764,4.546075364685063,-6.910416540279774,-1.3387837986060847,0.026266463565340837,0.1547285769970388,0.5154285899901287
0.018000000000000002,0.00251860171860376,0.6032707288949747,0.3201747237266973,0.18223530225836254,0.08,-0.022249163139295047,-0.01579805867249698,-0.0036974302181620217,0.07698302809703712,0.008351628033857418,0.010248646916596355,-0.004790365886241154,4.9531161862492805,-6.895684068905715,-1.3241028605900158,0.022694504242193242,0.15471724904635575,0.5153908301545185
