key,value
time_peak,0.996
desired_xyz,"[-0.2499987353108477, -0.20000075881349139, -0.10000025293783046]"
actual_xyz,"[0.20905130649079573, -0.14828570388331674, -0.12369859796707258]"
position_error_vector,"[-0.45905004180164344, -0.05171505493017464, 0.02369834502924212]"
position_error_norm,0.46256134657107545
q_jnt,"[0.6169620654343687, 1.5711603336584767, 0.996029948687705, -1.1547644207801497]"
qdot_jnt,"[0.13948950181971792, 0.0016659145771017584, 0.2293554560876114, 1.1641090295474046]"
q_act,"[1.156876177450532, 10.474402224389845, 3.320099828959017, -3.8492147359338325]"
tau_bias_jnt,"[0.006786096954465097, -7.250125664183851, -1.4031741502893187, -0.2896164130218277]"
tau_task_jnt,"[7.7588396967734585, 3.2444560814698695, 5.047784246340987, -3.0764953815150813]"
tau_total_jnt,"[7.765625793727923, -4.005669582713981, 3.644610096051668, -3.3661117945369092]"
F_task,"[-30.0, -15.867636544784402, 7.845830008850137, 0.0, 0.0]"
J_task,"[[-0.14811750151388914, -0.28019001249712794, -0.2801229018190021, 0.12265897147978322], [-0.2089363898005736, 0.1986336638365449, 0.19858320243759664, -0.08695269346215007], [-1.534952720483318e-06, -0.256110253199493, -0.026110268488976907, -0.09896466947323379], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
J_task_singular_values,"[0.5384675927196968, 0.25611171242972863, 0.21116998701590883, 0.0]"
joint_limit_margins_min,-0.0002603336584767746
actuator_limit_margins_min,-0.0024022243898453866
desired_velocity,"[-0.0009447014399981413, 0.0005668208639988846, 0.0001889402879996282, 0.0, 0.0]"
actual_task_velocity,"[0.09289495984593635, 0.03836523112039107, -0.10096285787045484, 0.0, 0.0]"
edot_task,"[-0.09383966128593449, -0.03779841025639219, 0.10115179815845446, 0.0, 0.0]"
