K_xyz,D_xyz,rms_pos,max_pos,final_pos_err,max_tau,joint_limit_steps,torque_saturation_steps,stable
10,2,0.29716066084872844,0.466036572678879,0.049500574929550005,7.418496709256939,0,0,True
10,4,0.2997763859022771,0.46265408539332586,0.046587418137622884,7.8814205197282226,0,0,True
10,8,0.30935557706960026,0.45851157764455464,0.10594020596629111,8.336685243961526,0,0,True
10,12,0.31661657065804183,0.45829456678789177,0.14524535701705818,8.407212635683788,0,0,True
10,16,0.32171280937004176,0.45828513424228356,0.17041646924850504,9.226331981693937,0,0,True
10,24,0.32758083385863157,0.45809504975147913,0.1966085053799157,10.0,78,54,True
20,2,0.2947627829828026,0.4590818482584891,0.038689745314769416,7.644124158770835,0,0,True
20,4,0.29466850796251387,0.45837358166993325,0.031840996154655334,7.742226033967429,0,0,True
20,8,0.29896581565459074,0.4583702130522818,0.043656452876536064,8.13509156205645,0,0,True
20,12,0.3046846266310779,0.45831738541272454,0.0766250135147298,8.333297146612772,0,0,True
20,16,0.3100519905342264,0.4583127716902458,0.10527535260282188,8.392368701572215,19,0,True
20,24,0.31734263827268566,0.4581697922161021,0.14504705866115658,10.0,98,30,True
30,2,0.2940431140176493,0.4582072476966573,0.03305519019596877,7.826491349116826,0,0,True
30,4,0.2937352518480186,0.4585996075590087,0.027109017678265207,7.838094767448112,0,0,True
30,8,0.2951900585688885,0.45818448141110674,0.025299605710847127,8.06441450125725,0,0,True
30,12,0.29883874513021946,0.458390627286284,0.04220962556168054,8.285725437174936,2,0,True
30,16,0.3027749218638391,0.45838345805712327,0.06417071005663663,8.766840513347788,55,0,True
30,24,0.3100352182293592,0.45818522444397203,0.10384733555664072,10.0,110,29,True
50,2,0.29338924005596095,0.4582714314832547,0.02566859602938786,8.170637918210131,0,0,True
50,4,0.29311213036518796,0.4582478956647418,0.022202985645793087,8.088735729105917,0,0,True
50,8,0.29309082091736455,0.458254671461075,0.020169745565909752,8.119725799363298,12,0,True
50,12,0.2942549524249085,0.45820799931283007,0.021191723478528542,8.284935697065984,87,0,True
50,16,0.2962367106465134,0.4583160280656131,0.028722873206402807,9.258414827292013,115,0,True
50,24,0.30129858694683215,0.45824544029931996,0.053867223096627906,10.0,143,9,True
80,2,0.29290256038233986,0.45838804139289424,0.024902791408787005,8.561242288923468,96,0,True
80,4,0.2927810354088516,0.45858490063098906,0.021767275883619,8.397400850824107,108,0,True
80,8,0.2926104597012938,0.4581540876360409,0.020494093988880295,8.31302336023537,143,0,True
80,12,0.2926548158945846,0.4580390317407677,0.020769457990501648,8.307090622488241,167,0,True
80,16,0.2931965658276374,0.45820605264333697,0.020907687972376746,9.149784137649448,168,0,True
80,24,0.2955085097077115,0.4581788883583207,0.02633548137940124,10.0,176,28,True
120,2,0.29265125003743075,0.4586334382493184,0.030047227292894718,9.137493038299922,0,0,True
120,4,0.2926057587332097,0.45836742054761703,0.026476258084360268,9.331350027597408,0,0,True
120,8,0.2924936778766815,0.4582828682715083,0.023916936185084024,9.878183292825813,0,0,True
120,12,0.2924499249545449,0.4584219195577765,0.022173028582688232,10.0,0,20,True
120,16,0.29245072101808517,0.4584061825452428,0.02072740079236663,10.0,11,61,True
120,24,0.29317289375747846,0.45847561947162796,0.02046034526303967,10.0,56,118,True
