episode,seed,cable_seed,zero_rms_ee_error,sac_rms_ee_error,delta_rms_ee_error,zero_final_ee_error,sac_final_ee_error,delta_final_ee_error,zero_max_ee_error,sac_max_ee_error,delta_max_ee_error,zero_rms_roll_error,sac_rms_roll_error,delta_rms_roll_error,zero_rms_pitch_error,sac_rms_pitch_error,delta_rms_pitch_error,zero_rms_highfreq,sac_rms_highfreq,delta_rms_highfreq,zero_p2p_error_norm,sac_p2p_error_norm,delta_p2p_error_norm,zero_saturation_fraction,sac_saturation_fraction,delta_saturation_fraction,zero_limit_fraction,sac_limit_fraction,delta_limit_fraction,zero_ncon_max,sac_ncon_max,delta_ncon_max,zero_mean_residual_wrench_norm,sac_mean_residual_wrench_norm,delta_mean_residual_wrench_norm,zero_mean_tau_res_norm,sac_mean_tau_res_norm,delta_mean_tau_res_norm,zero_mean_reward,sac_mean_reward,delta_mean_reward,delta_smooth_score,zero_smooth_score,sac_smooth_score
0,0,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
1,1,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
2,2,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
3,3,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
4,4,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
5,5,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
6,6,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
7,7,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
8,8,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
9,9,-1,0.006140130555392374,0.005596376784737925,-0.0005437537706544492,0.0014587039527353283,0.0014415112736510325,-1.7192679084295816e-05,0.011442123700097345,0.011069000013799988,-0.000373123686297357,6.7526647267763505e-06,6.753777837033038e-06,1.1131102566876107e-09,0.040308511643556894,0.041553540904153884,0.00124502926059699,0.0005836432881462491,0.0005496673945222598,-3.397589362398926e-05,0.011410751441265903,0.011051684276014126,-0.0003590671652517769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18975456508182634,0.18975456508182634,0.0,0.07114082611912996,0.07114082611912996,-0.1869214942581781,-0.16879670312203665,0.01812479113614146,-0.000525244792230371,0.014204332871282376,0.013679088079052005
