episode,seed,cable_seed,zero_rms_ee_error,sac_rms_ee_error,delta_rms_ee_error,zero_final_ee_error,sac_final_ee_error,delta_final_ee_error,zero_max_ee_error,sac_max_ee_error,delta_max_ee_error,zero_rms_roll_error,sac_rms_roll_error,delta_rms_roll_error,zero_rms_pitch_error,sac_rms_pitch_error,delta_rms_pitch_error,zero_rms_highfreq,sac_rms_highfreq,delta_rms_highfreq,zero_p2p_error_norm,sac_p2p_error_norm,delta_p2p_error_norm,zero_saturation_fraction,sac_saturation_fraction,delta_saturation_fraction,zero_limit_fraction,sac_limit_fraction,delta_limit_fraction,zero_ncon_max,sac_ncon_max,delta_ncon_max,zero_mean_residual_wrench_norm,sac_mean_residual_wrench_norm,delta_mean_residual_wrench_norm,zero_mean_tau_res_norm,sac_mean_tau_res_norm,delta_mean_tau_res_norm,zero_mean_reward,sac_mean_reward,delta_mean_reward,delta_smooth_score,zero_smooth_score,sac_smooth_score
0,0,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
1,1,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
2,2,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
3,3,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
4,4,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
5,5,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
6,6,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
7,7,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
8,8,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
9,9,-1,0.006140130555392374,0.0032151142835181324,-0.0029250162718742418,0.0014587039527353283,0.000791822461409823,-0.0006668814913255054,0.011442123700097345,0.007498384408297576,-0.003943739291799769,6.7526647267763505e-06,6.763730996210793e-06,1.1066269434442482e-08,0.040308511643556894,0.04202644123836305,0.0017179295948061557,0.0005836432881462491,0.0004171495325084363,-0.00016649375563781277,0.011410751441265903,0.007484905317490025,-0.003925846123775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657948825762471,0.5657948825762471,0.0,0.1744495904315843,0.1744495904315843,-0.1869214942581781,-0.10716682729448473,0.07975466696369338,-0.004288519799666272,0.014204332871282376,0.009915813071616104
