episode,seed,cable_seed,zero_rms_ee_error,sac_rms_ee_error,delta_rms_ee_error,zero_final_ee_error,sac_final_ee_error,delta_final_ee_error,zero_max_ee_error,sac_max_ee_error,delta_max_ee_error,zero_rms_roll_error,sac_rms_roll_error,delta_rms_roll_error,zero_rms_pitch_error,sac_rms_pitch_error,delta_rms_pitch_error,zero_rms_highfreq,sac_rms_highfreq,delta_rms_highfreq,zero_p2p_error_norm,sac_p2p_error_norm,delta_p2p_error_norm,zero_saturation_fraction,sac_saturation_fraction,delta_saturation_fraction,zero_limit_fraction,sac_limit_fraction,delta_limit_fraction,zero_ncon_max,sac_ncon_max,delta_ncon_max,zero_mean_residual_wrench_norm,sac_mean_residual_wrench_norm,delta_mean_residual_wrench_norm,zero_mean_tau_res_norm,sac_mean_tau_res_norm,delta_mean_tau_res_norm,zero_mean_reward,sac_mean_reward,delta_mean_reward,delta_smooth_score,zero_smooth_score,sac_smooth_score
0,10000,200000,0.0065399897293917505,0.0036489002868954974,-0.002891089442496253,0.0011644493498259246,0.0005165259396600757,-0.000647923410165849,0.01194144696984391,0.007497843748652072,-0.004443603221191837,6.76657433531636e-06,6.784181560578438e-06,1.760722526207782e-08,0.04535475499976724,0.04798563216480915,0.0026308771650419144,0.000635715158308087,0.0005542390494641912,-8.147610884389584e-05,0.011915048520799247,0.00746746450936804,-0.004447584011431207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095580922984071,0.6095580922984071,0.0,0.18314781883878672,0.18314781883878672,-0.2106324121523276,-0.1334746906438119,0.07715772150851571,-0.004206178232143571,0.014941458519941822,0.01073528028779825
1,10001,200001,0.006344048209348663,0.003268086814944486,-0.003075961394404177,0.001135905463774077,0.0005650569481669549,-0.0005708485156071222,0.011383145528009734,0.00673715357040338,-0.004645991957606354,6.771860020041661e-06,6.776235003102412e-06,4.3749830607507935e-09,0.04305737256637958,0.0450390948339209,0.0019817222675413207,0.0006095722808909112,0.0005244073197290929,-8.516496116181831e-05,0.011356346625672606,0.006706750902680621,-0.004649595722991984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256119487730238,0.6256119487730238,0.0,0.18742320947235738,0.18742320947235738,-0.1999238248219409,-0.11859281118867893,0.08133101363326198,-0.004421138870938169,0.01436242358134268,0.009941284710404511
2,10002,200002,0.006558386548859111,0.003475030039690941,-0.00308335650916817,0.0011669421609387218,0.0005989383404840342,-0.0005680038204546876,0.012118566936701674,0.007297159187338464,-0.004821407749363209,6.782642170928483e-06,6.788003354452823e-06,5.361183524339963e-09,0.04360073768891136,0.0455548738250765,0.001954136136165144,0.0006329947419352553,0.0005126060964986909,-0.00012038864543656446,0.012098309382076962,0.007273019750835349,-0.004825289631241613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248098664998963,0.6248098664998963,0.0,0.18351213703259686,0.18351213703259686,-0.20700796105955344,-0.12298908080553156,0.08401888025402188,-0.004481198428854598,0.014822239990289084,0.010341041561434486
3,10003,200003,0.00674324888049078,0.003725907591941104,-0.0030173412885496765,0.001279200771596471,0.0006582552660506767,-0.0006209455055457944,0.011896651970115524,0.007314492493698312,-0.004582159476417212,6.767391322009642e-06,6.783759600204474e-06,1.6368278194831852e-08,0.04545348644254216,0.049079811833470696,0.0036263253909285392,0.000639079435667135,0.0005787438945010118,-6.033554116612321e-05,0.011871703965802947,0.007285835763534415,-0.0045858682022685325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6330154615737114,0.6330154615737114,0.0,0.1916484688177424,0.1916484688177424,-0.2180380760493926,-0.1381618538894204,0.0798762221599722,-0.004222994029211568,0.015262355546467828,0.01103936151725626
4,10004,200004,0.0064788233459416615,0.0034066281502480645,-0.003072195195693597,0.001244152608228578,0.0010272734822583827,-0.00021687912597019533,0.011565762723481199,0.007328734116267065,-0.0042370286072141335,6.7585756041181865e-06,6.770013028853837e-06,1.1437424735650472e-08,0.04264339293966775,0.04474577312903021,0.002102380189362464,0.0006161907561295665,0.0005413798305276221,-7.48109256019444e-05,0.011543585004321783,0.00730215871349493,-0.004241426290826853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6235029148460555,0.6235029148460555,0.0,0.18541120139196146,0.18541120139196146,-0.20274592275885095,-0.12067897589094148,0.08206694686790947,-0.003964525879951417,0.014604803484626568,0.01064027760467515
5,10005,200005,0.006712965187499998,0.0036874607169013847,-0.003025504470598613,0.0012466833311341639,0.0006366080288766266,-0.0006100753022575373,0.012087082539879456,0.007568508602181348,-0.004518573937698108,6.782273641268497e-06,6.79059043486003e-06,8.316793591532895e-09,0.04513403846700677,0.04811665897135605,0.002982620504349283,0.000639827166032537,0.0005871887941376222,-5.2638371894914854e-05,0.012064607987230257,0.0075417529960199545,-0.004522854991210303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6320171593673254,0.6320171593673254,0.0,0.18864591064275782,0.18864591064275782,-0.21584412136573428,-0.1352322662951148,0.08061185507061946,-0.00426820707493138,0.015206565773161283,0.010938358698229903
6,10006,200006,0.006599427655052939,0.0035031546811347615,-0.003096272973918177,0.0011346050736659064,0.00048545675324810115,-0.0006491483204178052,0.011350285071705386,0.00664938228072619,-0.004700902790979196,6.7455840985588986e-06,6.758807730800083e-06,1.322363224118448e-08,0.04395476541586338,0.04692998709577561,0.002975221679912231,0.0006141164627443212,0.0005591460545522973,-5.497040819202391e-05,0.011327982564013114,0.006622949410920728,-0.004705033153092386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6314853770220868,0.6314853770220868,0.0,0.19284835111103404,0.19284835111103404,-0.21025287948342702,-0.1282502184817171,0.08200266100170991,-0.004416389638696023,0.014702838572889822,0.010286448934193799
7,10007,200007,0.006862846284336725,0.003886934701376851,-0.002975911582959874,0.0015628797555640892,0.0007036614379351276,-0.0008592183176289617,0.012621051816260723,0.008411613722038639,-0.004209438094222084,6.798747554326116e-06,6.808308101471233e-06,9.560547145117086e-09,0.0470501942365941,0.04986382669669185,0.002813632460097748,0.0006505710990577115,0.0005711714640952146,-7.939963496249693e-05,0.012593499034410255,0.008380236601886044,-0.0042132624325242115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6295211330968402,0.6295211330968402,0.0,0.18834013919277204,0.18834013919277204,-0.22434922115218472,-0.14306501105601993,0.0812842100961648,-0.004436118002510436,0.015975410694726563,0.011539292692216128
8,10008,200008,0.006752931541934304,0.003730389275800975,-0.003022542266133329,0.001376804378946361,0.0003839896213459496,-0.0009928147576004113,0.012341149173004743,0.008162399214219828,-0.004178749958784915,6.758799529392516e-06,6.773167431513573e-06,1.4367902121057157e-08,0.04403299786850215,0.04663695751504347,0.0026039596465413234,0.0006337358358507693,0.0005531516389464671,-8.058419690430219e-05,0.012319371575303587,0.008136192511929572,-0.004183179063374015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6193985227656262,0.6193985227656262,0.0,0.1817498235067917,0.1817498235067917,-0.21367452961800476,-0.1309830563641701,0.08269147325383466,-0.004631887533416352,0.015314453820669923,0.01068256628725357
9,10009,200009,0.006541866432746757,0.003490516067618785,-0.003051350365127972,0.0011902574311865016,0.000524266440408926,-0.0006659909907775755,0.011642359358312409,0.006930433675291058,-0.004711925683021351,6.767423854255973e-06,6.778141360533723e-06,1.0717506277750082e-08,0.04435792411630079,0.046868028777309056,0.002510104661008268,0.0006259007302184684,0.0005377624132444929,-8.813831697397547e-05,0.011614828021343391,0.006899383010635884,-0.004715445010707507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6228161902671202,0.6228161902671202,0.0,0.18748354468789757,0.18748354468789757,-0.20895119224036224,-0.1273169742146096,0.08163421802575263,-0.004453487978682584,0.014804508987326676,0.010351021008644093
10,10010,200010,0.006977417112239651,0.003932693075778104,-0.003044724036461547,0.0013904644042063478,0.0002685260818825487,-0.001121938322323799,0.012631696771045265,0.008339561412081298,-0.004292135358963967,6.770939336378273e-06,6.78236293677356e-06,1.1423600395287051e-08,0.04513575527215938,0.04765866118975397,0.0025229059175945895,0.0006444076019107914,0.0005533070763595321,-9.11005255512593e-05,0.012609557133660928,0.008312832394756515,-0.004296724738904413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290530762964902,0.6290530762964902,0.0,0.1860449453533433,0.1860449453533433,-0.22318995866777858,-0.137706566938385,0.08548339172939357,-0.00481926583522236,0.015726249365283156,0.010906983530060796
11,10011,200011,0.0065026958398426375,0.003471039019661953,-0.0030316568201806844,0.001151093612659911,0.0006970862410035586,-0.0004540073716563525,0.011678706594370935,0.007350379631246537,-0.004328326963124398,6.762110386701954e-06,6.772563185894745e-06,1.045279919279119e-08,0.044264394343053175,0.0463079498191551,0.0020435554761019242,0.000616421955605445,0.000549298631271187,-6.7123324334258e-05,0.011651593155323707,0.0073194070959148715,-0.0043321860594088355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6239593804211985,0.6239593804211985,0.0,0.18669413808774854,0.18669413808774854,-0.20699912423349912,-0.12572875985425494,0.08127036437924418,-0.0041813064729958205,0.014719434706714,0.01053812823371818
12,10012,200012,0.006335779450171567,0.003319429477766453,-0.003016349972405114,0.0013746417571723606,0.0008356846245036553,-0.0005389571326687053,0.01094516000587277,0.006214589658560421,-0.004730570347312349,6.735298739041194e-06,6.745658390641625e-06,1.0359651600430527e-08,0.04367355187855589,0.0459388087446679,0.0022652568661120087,0.0006173568886944053,0.0005483754988636218,-6.898138983078351e-05,0.01092136004232226,0.00618709317635158,-0.00473426686597068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141246602721463,0.6141246602721463,0.0,0.18674352099714595,0.18674352099714595,-0.20180962675181585,-0.12317023267891977,0.07863939407289608,-0.004310124450606984,0.014571400377885076,0.010261275927278091
13,10013,200013,0.007169948804416334,0.004190639422282217,-0.0029793093821341163,0.0014805533150175965,0.0002695245475611497,-0.0012110287674564468,0.012903783724516999,0.009022966557032814,-0.0038808171674841845,6.765984961896697e-06,6.782793442217126e-06,1.6808480320429012e-08,0.04639605654195249,0.049390903694839915,0.002994847152887427,0.0006531376512972698,0.0005589287644218344,-9.420888687543543e-05,0.012880824777063062,0.00899536305453234,-0.0038854617225307225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6274031465048489,0.6274031465048489,0.0,0.18605568768459332,0.18605568768459332,-0.2321804494469617,-0.14762018881333916,0.08456026063362254,-0.00471504854139765,0.016193518153186617,0.011478469611788967
14,10014,200014,0.006859807502052211,0.003960148594249967,-0.0028996589078022442,0.0012872900233796148,0.0008701582058069414,-0.00041713181757267346,0.012358555111580282,0.007915487461126088,-0.004443067650454194,6.786884705582714e-06,6.788821766181756e-06,1.9370605990421403e-09,0.04548748160688961,0.047206981604249756,0.0017194999973601452,0.0006480905958641102,0.0005122960298982835,-0.00013579456596582668,0.012337674375250315,0.007892004415373832,-0.004445669959876483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62296432519053,0.62296432519053,0.0,0.17532908962587032,0.17532908962587032,-0.22109867254711962,-0.13958867392699206,0.08150999862012756,-0.0041018718068910505,0.015488104547573461,0.01138623274068241
15,10015,200015,0.0069262450956779275,0.004166735617170449,-0.0027595094785074787,0.0013993788250517094,0.001134021124498539,-0.0002653577005531705,0.01250238403541373,0.0081275472375226,-0.00437483679789113,6.752053240137891e-06,6.761729208923264e-06,9.675968785373346e-09,0.04632574650797232,0.04723821232810505,0.0009124658201327338,0.0006590400535513819,0.0005729534958367222,-8.60865577146597e-05,0.012480321701440394,0.0081007993421104,-0.004379522359329995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6144880169968341,0.6144880169968341,0.0,0.17823477917378677,0.17823477917378677,-0.22432160938362436,-0.14561825694386402,0.07870335243976034,-0.003852567380173824,0.015784458143914652,0.011931890763740828
16,10016,200016,0.006831477049050577,0.003825343959844985,-0.003006133089205592,0.001509489347836045,0.0006940206534739746,-0.0008154686943620704,0.012333055976263692,0.00804628588671896,-0.0042867700895447315,6.79394347594286e-06,6.8098602401621725e-06,1.591676421931246e-08,0.04527599998669549,0.04928840369863356,0.004012403711938076,0.0006443041918368785,0.0005585565226507089,-8.574766918616953e-05,0.012312007715556001,0.008020635952390547,-0.004291371763165455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6323360261555877,0.6323360261555877,0.0,0.18731573528130846,0.18731573528130846,-0.21981951664008034,-0.1396555409871089,0.08016397565297145,-0.00432150800792361,0.015653799428933406,0.011332291421009796
17,10017,200017,0.00705997853289169,0.003989193339021954,-0.0030707851938697357,0.0018457776960433064,0.0006383100488636134,-0.001207467647179693,0.01290528613751119,0.008547701348648089,-0.004357584788863101,6.79585746319269e-06,6.81003947879133e-06,1.4182015598639995e-08,0.04636360387950287,0.04962657406448988,0.003262970184987009,0.0006459432456172274,0.0005268976662222176,-0.00011904557939500975,0.012878981437062096,0.008517421924360285,-0.004361559512701811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6429430497082201,0.6429430497082201,0.0,0.19219037460578983,0.19219037460578983,-0.22894227823081076,-0.1434430815098868,0.08549919672092396,-0.0048837890965870365,0.016441564112852636,0.0115577750162656
18,10018,200018,0.0066766919132226574,0.0036274077030079704,-0.003049284210214687,0.0014040939041237816,0.0006393318763231549,-0.0007647620278006267,0.012317592075318915,0.007753064676745088,-0.004564527398573826,6.80233069973866e-06,6.809517101635846e-06,7.186401897186424e-09,0.04451080474942782,0.04742949776288795,0.002918693013460129,0.0006416661989587,0.0005028202151769443,-0.00013884598378175578,0.012296165688955136,0.00772712487459308,-0.004569040814362055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6303649120685201,0.6303649120685201,0.0,0.18316100038597027,0.18316100038597027,-0.21285584682084768,-0.13042683630502466,0.08242901051582302,-0.004505407372792397,0.01531261276262957,0.010807205389837173
19,10019,200019,0.0072847713647423784,0.004346519560304735,-0.0029382518044376435,0.001316364728978985,0.00038809465461345563,-0.0009282700743655294,0.012888875018965,0.008843037513314722,-0.004045837505650279,6.765191575135567e-06,6.784082679759369e-06,1.8891104623801504e-08,0.046427822161517356,0.04983182200042099,0.003403999838903632,0.0006612717100488583,0.0005445372758140832,-0.00011673443423477516,0.01286861983581393,0.008818174271694852,-0.004050445564119078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6160462721855331,0.6160462721855331,0.0,0.1804910910152194,0.1804910910152194,-0.2359863045813807,-0.1526258697271717,0.08336043485420899,-0.004394576335743548,0.016148954651217826,0.011754378315474278
20,10020,200020,0.006623032662917149,0.0035611866051452677,-0.0030618460577718815,0.0012715868583314867,0.0008348699848853856,-0.0004367168734461011,0.011993881996739765,0.007435169772183049,-0.004558712224556716,6.759413461461697e-06,6.768855983504766e-06,9.442522043069243e-09,0.04355512689709634,0.04576469651985323,0.0022095696227568892,0.00062921851980274,0.0005033947054646372,-0.00012582381433810276,0.011972584320203176,0.007410538790885306,-0.00456204552931787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6203274344854882,0.6203274344854882,0.0,0.18161604783234206,0.18161604783234206,-0.20901831546122654,-0.12535301289200082,0.08366530256922572,-0.0042529260377227145,0.014959934276246423,0.010707008238523708
21,10021,200021,0.006846472700915327,0.0039037543585615916,-0.002942718342353735,0.0011848550355086371,0.0007799777891868438,-0.00040487724632179336,0.01254604745536208,0.00823100254688171,-0.004315044908480371,6.775762967766874e-06,6.7856325033936956e-06,9.869535626821139e-09,0.0457478425367275,0.04776738111454329,0.0020195385778157895,0.0006498498030420458,0.000562257257229084,-8.759254581296183e-05,0.01252356855679577,0.008203929226090962,-0.004319639330704807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625458676111648,0.625458676111648,0.0,0.18421531911325378,0.18421531911325378,-0.2200453876923432,-0.13806580423526352,0.08197958345707967,-0.004053364882987832,0.01543642817927367,0.011383063296285838
22,10022,200022,0.006648982591121373,0.003619819114297474,-0.0030291634768238986,0.0011580440145175601,0.0005876233883497659,-0.0005704206261677942,0.012363724134899143,0.007748984046780925,-0.0046147400881182184,6.792713330210544e-06,6.794498960460335e-06,1.7856302497911756e-09,0.044336159216760415,0.046301529188796674,0.0019653699720362586,0.0006399097914743356,0.0005181126084651622,-0.00012179718300917345,0.012343264461735773,0.007725666206662985,-0.004617598255072787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298452578110271,0.6298452578110271,0.0,0.1834876594347219,0.1834876594347219,-0.2109379481122412,-0.12737602140432566,0.08356192670791554,-0.004387465169744184,0.015029929586732316,0.010642464416988132
23,10023,200023,0.006475825572620429,0.0034083001920034973,-0.0030675253806169314,0.0012016871391287798,0.0009291254879222475,-0.0002725616512065323,0.011364951853013155,0.006777931106042834,-0.0045870207469703205,6.7474666908778415e-06,6.7593321898496244e-06,1.1865498971782941e-08,0.042861774430436664,0.04529669119456229,0.002434916764125626,0.0006109280246806638,0.000526731838931761,-8.419618574890284e-05,0.011341363052671203,0.00675019445512175,-0.004591168597549452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6228623341706163,0.6228623341706163,0.0,0.18581106325922672,0.18581106325922672,-0.20348502867007376,-0.12217999775380875,0.08130503091626501,-0.0040569259812453465,0.014538101524336535,0.010481175543091189
24,10024,200024,0.006780471661334811,0.003713279924236346,-0.003067191737098465,0.0013240692154526524,0.0002833551304378437,-0.0010407140850148089,0.012269280370287714,0.008055141960905284,-0.00421413840938243,6.766332954478726e-06,6.781738219971841e-06,1.5405265493115298e-08,0.044429180022349225,0.04716273973181273,0.0027335597094635053,0.0006311603695547297,0.0005181112870818407,-0.00011304908247288892,0.01224536653895846,0.008026878508261157,-0.0042184880306973035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6294423477890295,0.6294423477890295,0.0,0.18766018047869876,0.18766018047869876,-0.21587771525667368,-0.1314390932762805,0.08443862198039317,-0.004734770458016279,0.015312789004886892,0.010578018546870613
