episode,seed,cable_seed,zero_rms_ee_error,sac_rms_ee_error,delta_rms_ee_error,zero_final_ee_error,sac_final_ee_error,delta_final_ee_error,zero_max_ee_error,sac_max_ee_error,delta_max_ee_error,zero_rms_roll_error,sac_rms_roll_error,delta_rms_roll_error,zero_rms_pitch_error,sac_rms_pitch_error,delta_rms_pitch_error,zero_rms_highfreq,sac_rms_highfreq,delta_rms_highfreq,zero_p2p_error_norm,sac_p2p_error_norm,delta_p2p_error_norm,zero_saturation_fraction,sac_saturation_fraction,delta_saturation_fraction,zero_limit_fraction,sac_limit_fraction,delta_limit_fraction,zero_ncon_max,sac_ncon_max,delta_ncon_max,zero_mean_residual_wrench_norm,sac_mean_residual_wrench_norm,delta_mean_residual_wrench_norm,zero_mean_tau_res_norm,sac_mean_tau_res_norm,delta_mean_tau_res_norm,zero_mean_reward,sac_mean_reward,delta_mean_reward,delta_smooth_score,zero_smooth_score,sac_smooth_score
0,10000,200000,0.0065951894562553525,0.0035882969906314774,-0.003006892465623875,0.0011374436422019866,0.00037040069557424914,-0.0007670429466277375,0.011982162994826354,0.007620373331886272,-0.004361789662940083,6.765742053839562e-06,6.775147621677353e-06,9.405567837790801e-09,0.04587710459422047,0.04786719332114045,0.0019900887269199766,0.0006414266406676792,0.000475645082191521,-0.0001657815584761582,0.011954399576980515,0.007597149499579248,-0.004357250077401267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6268034992115169,0.6268034992115169,0.0,0.17679169967942776,0.17679169967942776,-0.21384829346516535,-0.13139348446837393,0.08245480899679142,-0.004529266393721164,0.015032613367814713,0.010503346974093549
1,10001,200001,0.006369279714907917,0.0031916217935151273,-0.0031776579213927897,0.0011524707160782324,0.00023416068025081926,-0.0009183100358274131,0.011353629698668172,0.0068372139300691675,-0.004516415768599005,6.7719098253676604e-06,6.776107213155592e-06,4.197387787931907e-09,0.04347701987407726,0.045277765039487314,0.0018007451654100531,0.0006095019294669493,0.0004325828377617471,-0.00017691909170520218,0.011325068936152224,0.006816325306958846,-0.004508743629193378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624468895162893,0.624468895162893,0.0,0.1817347447874857,0.1817347447874857,-0.20191073310296714,-0.11633675055967543,0.08557398254329171,-0.0049061012926316944,0.014439894361340331,0.009533793068708636
2,10002,200002,0.0066511897845586134,0.003648726651897484,-0.0030024631326611294,0.0011676859612447204,0.0007905952865351232,-0.0003770906747095973,0.012206919745603218,0.007830298675151877,-0.004376621070451342,6.78413349719952e-06,6.784076658264293e-06,-5.6838935227426996e-11,0.04413382046847845,0.04598539385129015,0.0018515733828117012,0.0006392590073474459,0.0005673267289109781,-7.193227843646781e-05,0.012187465040811616,0.00781286364899315,-0.004374601391818465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298228272698434,0.6298228272698434,0.0,0.1788708463904623,0.1788708463904623,-0.21127131319697437,-0.12904626465049177,0.0822250485464826,-0.004105282892355375,0.014990058717836943,0.010884775825481568
3,10003,200003,0.006866759226509629,0.003813899129178354,-0.0030528600973312747,0.001474780482208119,0.0006051625541125783,-0.0008696179280955406,0.0119669319932468,0.007661945266474073,-0.004304986726772726,6.76443746964445e-06,6.779816235379034e-06,1.5378765734584072e-08,0.046282525059084825,0.04997281925723922,0.0036902941981543924,0.0006475770351794492,0.000491653106219239,-0.00015592392896021017,0.011940751573139759,0.007641541694869624,-0.0042992098782701355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6214790131619758,0.6214790131619758,0.0,0.18979975475421174,0.18979975475421174,-0.22418549764422005,-0.1415735421150983,0.08261195552912176,-0.004491251007868936,0.015682407490590872,0.011191156482721936
4,10004,200004,0.006537483850253347,0.0035347938036439965,-0.0030026900466093506,0.0011884136990638757,0.00042029170531739747,-0.0007681219937464782,0.011592404268811564,0.007811524670771882,-0.003780879598039682,6.758499962994244e-06,6.763663284454107e-06,5.16332145986245e-09,0.0430320534760561,0.04497766754816197,0.0019456140721058751,0.0006192754847011162,0.0005707298406492898,-4.85456440518264e-05,0.011568630011265568,0.007791856397369714,-0.003776773613895854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233654920955103,0.6233654920955103,0.0,0.17876850780488138,0.17876850780488138,-0.20556848823090323,-0.12358903547096094,0.0819794527599423,-0.004355877661618178,0.014653142491522803,0.010297264829904625
5,10005,200005,0.006805585532711178,0.003821762388542937,-0.0029838231441682416,0.0013990082310557548,0.0004973515312358261,-0.0009016566998199287,0.012154765865991058,0.008427713747776159,-0.0037270521182148995,6.7799815556430865e-06,6.79626229284812e-06,1.6280737205033706e-08,0.04577098202882968,0.04981074949616433,0.00403976746733465,0.0006441070234028568,0.0005718984984876709,-7.22085249151859e-05,0.0121314514290864,0.008405402795246274,-0.0037260486338401254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180650939444438,0.6180650939444438,0.0,0.1852134942545689,0.1852134942545689,-0.22054876862993292,-0.14063065674855693,0.07991811188137599,-0.004262815458406602,0.015530713762324174,0.011267898303917572
6,10006,200006,0.006669012587703538,0.0035290127707451094,-0.0031399998169584285,0.0011661525449925116,0.00031086229799657573,-0.0008552902469959358,0.01131793739257824,0.006868626392327216,-0.004449311000251023,6.738289118197029e-06,6.7570491159283695e-06,1.8759997731340297e-08,0.044286085139363475,0.04768031336909684,0.0033942282297333634,0.0006150275864041822,0.00046011325846389856,-0.00015491432794028368,0.011294867989174855,0.006848058406900908,-0.004446809582273947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6151597390909866,0.6151597390909866,0.0,0.19006054609158465,0.19006054609158465,-0.21341804611100007,-0.12910157158969418,0.08431647452130589,-0.004622684445406186,0.01483093486658128,0.010208250421175093
7,10007,200007,0.006982134214990245,0.004064038297321943,-0.0029180959176683023,0.001858239013749162,0.0011307108173664098,-0.0007275281963827521,0.012818547850631301,0.009040448959341814,-0.0037780988912894872,6.8003529792613655e-06,6.815668303983857e-06,1.5315324722491773e-08,0.048032783297649546,0.05147356465520236,0.0034407813575528107,0.0006555789739579561,0.0005900015947149715,-6.55773792429846e-05,0.012790231876865494,0.009015185683984276,-0.0037750461928812186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190424628643221,0.6190424628643221,0.0,0.1845722655618998,0.1845722655618998,-0.23078848838317734,-0.15052342974701344,0.0802650586361639,-0.004089342374961037,0.016530167456154366,0.012440825081193329
8,10008,200008,0.006864807508996364,0.003854398524116185,-0.0030104089848801787,0.0014270642905485245,0.00044393839811610286,-0.0009831258924324216,0.012468726591879914,0.008349677595786484,-0.00411904899609343,6.7577412770557875e-06,6.768714187946444e-06,1.0972910890656593e-08,0.044533793243882694,0.04661184364245834,0.0020780503985756427,0.0006390628376529164,0.0005430938698774903,-9.596896777542608e-05,0.012447174821539099,0.008329775768556952,-0.004117399052982147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211251399478154,0.6211251399478154,0.0,0.17900352545521517,0.17900352545521517,-0.21840583730985014,-0.1344792496060313,0.08392658770381883,-0.004657193034648089,0.01555489328119514,0.010897700246547052
9,10009,200009,0.0066093485436175955,0.003446721425186189,-0.0031626271184314065,0.0012848961720517504,0.00043475128593541677,-0.0008501448861163337,0.011671638064568257,0.007189049465847221,-0.0044825885987210354,6.766863372755949e-06,6.7803092497492465e-06,1.3445876993297459e-08,0.04502610223278352,0.04779942858895215,0.002773326356168629,0.0006286507020682807,0.0004506601185609319,-0.00017799058350734883,0.011642500033060986,0.007168503378391821,-0.004473996654669165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6282110361768776,0.6282110361768776,0.0,0.18362407891460647,0.18362407891460647,-0.21283090480157585,-0.1265206602954162,0.08631024450615965,-0.0047192326470306845,0.01504035698293131,0.010321124335900626
