episode,seed,cable_seed,zero_rms_ee_error,sac_rms_ee_error,delta_rms_ee_error,zero_final_ee_error,sac_final_ee_error,delta_final_ee_error,zero_max_ee_error,sac_max_ee_error,delta_max_ee_error,zero_rms_roll_error,sac_rms_roll_error,delta_rms_roll_error,zero_rms_pitch_error,sac_rms_pitch_error,delta_rms_pitch_error,zero_rms_highfreq,sac_rms_highfreq,delta_rms_highfreq,zero_p2p_error_norm,sac_p2p_error_norm,delta_p2p_error_norm,zero_saturation_fraction,sac_saturation_fraction,delta_saturation_fraction,zero_limit_fraction,sac_limit_fraction,delta_limit_fraction,zero_ncon_max,sac_ncon_max,delta_ncon_max,zero_mean_residual_wrench_norm,sac_mean_residual_wrench_norm,delta_mean_residual_wrench_norm,zero_mean_tau_res_norm,sac_mean_tau_res_norm,delta_mean_tau_res_norm,zero_mean_reward,sac_mean_reward,delta_mean_reward,delta_smooth_score,zero_smooth_score,sac_smooth_score
0,10000,200000,0.0061674670497510065,0.0029782320655910542,-0.0031892349841599523,0.0014751992936002235,0.0005131703449781474,-0.0009620289486220762,0.011509660713541136,0.0073942571000619505,-0.004115403613479185,6.7503049001236354e-06,6.760650630028755e-06,1.0345729905119822e-08,0.04155268269894634,0.043289042565072065,0.0017363598661257265,0.0005917027457428035,0.00040555288647069367,-0.00018614985927210983,0.011474199244252624,0.007380082480060161,-0.004094116764192463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120759107030322,0.6120759107030322,0.0,0.18194325773300243,0.18194325773300243,-0.19042340112365064,-0.10359615707234736,0.08682724405130328,-0.004889525194071013,0.014389300865457803,0.00949977567138679
1,10001,200001,0.006094729571974765,0.0028903108370037693,-0.003204418734970996,0.0014139709916578043,0.0004558732802934158,-0.0009580977113643886,0.011261444294056412,0.007152306783873903,-0.004109137510182509,6.752669762927493e-06,6.763246250405637e-06,1.0576487478143635e-08,0.04052526809930514,0.04233900725639139,0.0018137391570862554,0.0005816329595324582,0.0004013278586736693,-0.00018030510085878884,0.011226012463100508,0.007140971474329384,-0.004085040988771124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608130763479025,0.608130763479025,0.0,0.1858171538346725,0.1858171538346725,-0.1862694709216445,-0.0998052026795858,0.0864642682420587,-0.0048883022211616296,0.014097921612925706,0.009209619391764077
2,10002,200002,0.006162568411944409,0.0029792715136324173,-0.003183296898311992,0.0014447599882157517,0.0003393692414579288,-0.001105390746757823,0.011494801917657076,0.00742363592821508,-0.004071165989441996,6.759527467858303e-06,6.772061891111908e-06,1.2534423253605394e-08,0.040843596231148076,0.04296974546991547,0.0021261492387673955,0.0005880040895641178,0.0004131547667905613,-0.00017484932277355645,0.011466910158751833,0.0074123569049856985,-0.004054553253766135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133944640035017,0.6133944640035017,0.0,0.18396492176920287,0.18396492176920287,-0.18861301655176563,-0.10267790165727587,0.08593511489448975,-0.004974406779890757,0.014279748052554182,0.009305341272663425
3,10003,200003,0.00623817571401731,0.003023649328123166,-0.003214526385894144,0.0013081207217632241,0.0003725589920449183,-0.0009355617297183059,0.01125143332068754,0.007304893449863196,-0.003946539870824345,6.7533523487381815e-06,6.764009510617527e-06,1.0657161879345232e-08,0.041659851121742565,0.043752188314096,0.0020923371923534315,0.0005932016735094883,0.0004131879977350429,-0.00018001367577444543,0.01121749728443993,0.007294093296761559,-0.003923403987678371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112921156651248,0.6112921156651248,0.0,0.18451531214010342,0.18451531214010342,-0.1931825242658159,-0.1054682530497741,0.08771427121604179,-0.0048155409660838155,0.014253057176832395,0.00943751621074858
4,10004,200004,0.006147209617359992,0.0029391592545299663,-0.0032080503628300256,0.0015111121795513072,0.0004243200422359119,-0.0010867921373153952,0.011412517152021025,0.007228679254267203,-0.004183837897753822,6.74864750391225e-06,6.759913870198893e-06,1.126636628664227e-08,0.040368254271313506,0.04215160955845227,0.0017833552871387645,0.0005838465789319478,0.00040628132490671154,-0.00017756525402523626,0.011379283952963276,0.0072203181242278015,-0.004158965828735475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6130491431121021,0.6130491431121021,0.0,0.18632007900690095,0.18632007900690095,-0.18738627454439058,-0.10042753180319641,0.08695874274119417,-0.005037081637554629,0.014263602168851672,0.009226520531297043
5,10005,200005,0.006255966756922772,0.0030604677980321272,-0.0031954989588906446,0.0013225553552487356,0.0003631638682997197,-0.0009593914869490159,0.011410107716095111,0.007474293223721334,-0.003935814492373777,6.759878721448697e-06,6.770355148255643e-06,1.0476426806946244e-08,0.04178040903376879,0.04389681729181814,0.002116408258049346,0.0005962534029248722,0.0004210168403316045,-0.0001752365625932677,0.011378790548063062,0.007461998237635756,-0.003916792310427306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120487383158647,0.6120487383158647,0.0,0.18368870987117605,0.18368870987117605,-0.19368727882926273,-0.10634427691413699,0.08734300191512574,-0.00481422531577414,0.01433112381449558,0.00951689849872144
6,10006,200006,0.006189080972998988,0.0029657382696948436,-0.0032233427033041447,0.001404332691530667,0.0006038971365387209,-0.0008004355549919461,0.011145737766707433,0.007065783932988139,-0.004079953833719294,6.742678507045136e-06,6.7530460906155715e-06,1.0367583570435794e-08,0.04088633508065504,0.04283060431719353,0.0019442692365384887,0.0005836055401986121,0.00040572054843127005,-0.00017788499176734209,0.011112869334785476,0.007057752015806974,-0.004055117318978502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6101543389035468,0.6101543389035468,0.0,0.18843566043459697,0.18843566043459697,-0.1902381390428797,-0.10267838872328024,0.08755975031959946,-0.004729316257563256,0.014197098077502265,0.009467781819939009
7,10007,200007,0.006309090773002731,0.0031439083770616353,-0.0031651823959410958,0.0012592045343902856,0.0003383532850603943,-0.0009208512493298912,0.011652286212493949,0.007720364344217959,-0.00393192186827599,6.764880139875636e-06,6.775556681288015e-06,1.067654141237893e-08,0.04230194840143814,0.04417893606567939,0.001876987664241249,0.0006007546553097019,0.00041999632036901935,-0.00018075833494068255,0.011617087651593966,0.007704431895152201,-0.003912655756441765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6093902552452822,0.6093902552452822,0.0,0.1828962169084957,0.1828962169084957,-0.19602511628973746,-0.10893522660186435,0.08708988968787311,-0.004771244129951415,0.014422961493524462,0.009651717363573047
8,10008,200008,0.006273994784265959,0.003089884787179561,-0.0031841099970863983,0.0014590353254113092,0.0003905886968421423,-0.001068446628569167,0.011686613690854024,0.007579852680895592,-0.004106761009958431,6.749233793379887e-06,6.760684276729645e-06,1.1450483349757551e-08,0.04117784973350339,0.043101430471447946,0.0019235807379445538,0.0005940679931507886,0.0004117321567907293,-0.00018233583636005927,0.011657992124071759,0.007566515281030915,-0.004091476843040844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145097415478804,0.6145097415478804,0.0,0.18543454547988336,0.18543454547988336,-0.19254928263179732,-0.10535859841146447,0.08719068422033285,-0.0049696606936009725,0.014480122427796692,0.00951046173419572
9,10009,200009,0.006170397891670746,0.002956187458477817,-0.0032142104331929293,0.0013508153700034667,0.0004614241151281781,-0.0008893912548752886,0.011276411119529877,0.007231852137780015,-0.004044558981749862,6.7511520822337644e-06,6.762412173235488e-06,1.1260091001723258e-08,0.041064180636954425,0.04296283872220621,0.0018986580852517823,0.0005883792402229904,0.00040451723514833544,-0.0001838620050746549,0.011240263239470865,0.0072213124237108075,-0.004018950815760058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116755791378984,0.6116755791378984,0.0,0.1846547762778993,0.1846547762778993,-0.18969099177453055,-0.10231115276927531,0.08737983900525524,-0.004809455919223278,0.014170548708583548,0.00936109278936027
