episode,seed,zero_rms_ee,sac_rms_ee,delta_rms_ee,zero_final_ee,sac_final_ee,delta_final_ee,zero_rms_hf,sac_rms_hf,delta_rms_hf,zero_smooth,sac_smooth,delta_smooth,zero_saturation,sac_saturation,zero_limit,sac_limit,zero_ncon,sac_ncon
0,10000,0.006415858183774605,0.0033363573497550685,-0.0030795008340195364,0.0011520765241550014,0.0004567740970674802,-0.0006953024270875212,0.0006158202286267513,0.0005430758689533986,-7.274435967335275e-05,0.014535297659577527,0.010036429656048534,-0.004498868003528993,0.0,0.0,0.0,0.0,0.0,0.0
1,10001,0.006655724485323938,0.00395851011165357,-0.002697214373670368,0.0011425815264198434,0.0008719945678611151,-0.00027058695855872834,0.0006534333049349435,0.00055554633180318,-9.788697313176358e-05,0.015116547791993052,0.011192130191343203,-0.003924417600649849,0.0,0.0,0.0,0.0,0.0,0.0
2,10002,0.0063846235086349335,0.0033857457230081875,-0.002998877785626746,0.0011813675012572141,0.00033426144251361975,-0.0008471060587435944,0.0006213057438781184,0.000525303028198881,-9.600271567923742e-05,0.014553854925980773,0.009928122102260482,-0.00462573282372029,0.0,0.0,0.0,0.0,0.0,0.0
3,10003,0.006587734412866547,0.003525809769644027,-0.00306192464322252,0.0012001029138890504,0.00041147638017973673,-0.0007886265337093137,0.0006301520343186839,0.0005396638309147566,-9.048820340392728e-05,0.014929349313519375,0.010386995682155762,-0.004542353631363613,0.0,0.0,0.0,0.0,0.0,0.0
4,10004,0.006576800238203617,0.0036025674354024464,-0.002974232802801171,0.0012392707182096233,0.0007665614719529813,-0.000472709246256642,0.0006271601629827787,0.0005249681822507372,-0.00010219198073204154,0.014828679545753998,0.010728553915376577,-0.004100125630377422,0.0,0.0,0.0,0.0,0.0,0.0
5,10005,0.007098522030894734,0.004116190209177294,-0.00298233182171744,0.001374608300940132,0.0006987743609310004,-0.0006758339400091317,0.0006585341659185404,0.0005282523490209962,-0.00013028181689754418,0.01600838952895735,0.011719274644520397,-0.004289114884436954,0.0,0.0,0.0,0.0,0.0,0.0
6,10006,0.006679378817487645,0.0036204524882424245,-0.0030589263292452205,0.0011580435187758824,0.0005246448631391752,-0.0006333986556367072,0.0006309715762164436,0.0005517207469970555,-7.925082921938814e-05,0.01483453798715206,0.010512770126776084,-0.004321767860375976,0.0,0.0,0.0,0.0,0.0,0.0
7,10007,0.006419632975537652,0.003310010401128573,-0.003109622574409079,0.0012428386829428045,0.0006805072167416378,-0.0005623314662011668,0.0006009890128016346,0.0005325629832275453,-6.842602957408928e-05,0.014564919679257972,0.010145020587379695,-0.004419899091878277,0.0,0.0,0.0,0.0,0.0,0.0
8,10008,0.006898917304324491,0.0038591240277041404,-0.0030397932766203506,0.0011654060445052414,0.0005856140079808577,-0.0005797920365243838,0.0006435518337619224,0.0005059783443575735,-0.00013757348940434885,0.015401243416772136,0.011082098270882784,-0.004319145145889353,0.0,0.0,0.0,0.0,0.0,0.0
9,10009,0.0067750370885220354,0.0036946876381873674,-0.003080349450334668,0.0012689662861439478,0.0007067302236467868,-0.000562236062497161,0.0006281007677985333,0.0005474417294739507,-8.065903832458262e-05,0.015088328254883158,0.010905218885988752,-0.004183109368894405,0.0,0.0,0.0,0.0,0.0,0.0
