step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
0,0.01,sac,0.249999840958464,-0.20000009542492161,-0.1000000318083072,0.25004044813799303,-0.2000102125163473,-0.09999515033493023,4.213226021172338e-05,0.0009405280239284359,-1.570803106772076,-1.570803106994685,-5.264885037714606e-06,1.6922268859742573e-05,1.853635209758234e-05,0,0,0,0,0.008435765236825746,-7.041981431836263,-1.4334094495239882,0.049573560825997495,0.019688622561047444,0.018736594735652843,-0.0192979084481099,-0.0007152709434698481,0.0006988472489949096
1,0.02,sac,0.249998735310848,-0.20000075881349122,-0.10000025293783041,0.25004090579799004,-0.2000065811325415,-0.09999696212112968,4.2697527556955885e-05,0.00042596335532493925,-1.570803106772076,-1.5708031073305564,-5.264885037714606e-06,6.133691084797555e-05,1.3086364745876324e-05,0,0,0,0,0.0030410107537202063,-7.024686528460198,-1.419760256275202,0.044458839361127565,0.008157483059543585,0.049930265848586244,-0.04454709963607267,-0.0022106848033228467,0.0008735982274025606
2,0.03,sac,0.249995757386752,-0.2000025455679488,-0.10000084852264961,0.25004724269841,-0.20000294194452128,-0.0999965108048563,5.1669238687660494e-05,0.00035998973196697305,-1.570803106772076,-1.5708031076378839,-5.264885037714606e-06,0.00011883905030707353,1.5395725339845692e-05,0,0,0,0,-0.01955803873625292,-6.971898700019986,-1.3798254264251455,0.029823629730988722,0.017514949205498807,0.04942727833321707,-0.042224079443863895,-0.002772601432718444,0.0002404059345692055
3,0.04,sac,0.249990004187136,-0.2000059974877184,-0.10000199916257281,0.25004510482218145,-0.19998398685804755,-0.09999352260412236,5.9936631904744835e-05,0.0003953087710161881,-1.570803106772076,-1.57080310782325,-5.264885037714606e-06,4.7336510207385274e-05,2.159331619246564e-05,0,0,0,0,-0.007904945358188935,-6.931669913431114,-1.3653015845063114,0.028068157550120272,0.00399293750271288,0.028653877720253882,-0.058080163973097926,-0.0039023139288926322,-0.0009991937822147363
4,0.05,sac,0.2499805952,-0.20001164288,-0.10000388096,0.25003582448707456,-0.1999543800428972,-0.09999400808002759,8.016720291227613e-05,0.000428615412678643,-1.570803106772076,-1.570803108105704,-5.264885037714606e-06,-8.966512150232475e-05,3.616602257513435e-05,0,0,0,0,-0.007256193695174298,-6.94453118575968,-1.3698931028711974,0.028944158785667282,-0.026105163044843407,-0.006817057901461119,-0.08276078743850221,-0.005445094765654406,-0.002760071284830843
5,0.060000000000000005,sac,0.249966672216064,-0.2000199966703616,-0.10000666555678721,0.25001793754126456,-0.1999155908973579,-0.10000122692984811,0.00011644001746566925,0.0005584354749127731,-1.570803106772076,-1.570803108603889,-5.264885037714606e-06,-0.0002694016723006065,5.4798863792606175e-05,0,0,0,0,0.017520042108900104,-6.965657984650522,-1.389127520907121,0.03727245338174334,-0.06825030796611939,-0.052261722968104427,-0.11139938149920753,-0.0074977296269523545,-0.004743407742741495
6,0.07,sac,0.249947399144448,-0.2000315605133312,-0.10001052017111041,0.2499827978198107,-0.19986175148966734,-0.10000955612766965,0.0001734620999379006,0.00013533879736083658,-1.570803106772076,-1.570803109252857,-5.264885037714606e-06,-0.0005509482297445523,8.048438850058157e-05,0,0,0,0,0.0452766926289893,-6.956183490820409,-1.3714273134986708,0.027658775823057622,-0.11856500313168203,-0.10482712278108619,-0.11946598082634657,-0.009668978828456564,-0.007178610627576193
7,0.08,sac,0.249921961828352,-0.2000468229029888,-0.10001560763432961,0.2499277279854311,-0.1998025682742449,-0.10002116599045588,0.0002443858988426216,0.0006650927494573122,-1.570803106772076,-1.5708031100040931,-5.264885037714606e-06,-0.0008992378384522492,0.00010606538091064875,0,0,0,0,0.07662516833166833,-6.9530210751333135,-1.3866164287853744,0.03919918482510942,-0.17071193205759444,-0.15956505366495968,-0.10542354103247871,-0.011442774613817541,-0.008127450153171269
8,0.09,sac,0.249889567860736,-0.20006625928355842,-0.1000220864278528,0.2498576372435946,-0.199746191679018,-0.10003727855825156,0.0003220149633376189,0.0011169201193462436,-1.570803106772076,-1.570803110861557,-5.264885037714606e-06,-0.001256522273594518,0.00012651255854755677,0,0,0,0,0.11789884357517302,-6.995214486441679,-1.4072476969775243,0.04332015755918034,-0.18013118233533476,-0.20409507884113504,-0.0759593576615587,-0.011863744722342914,-0.008824366949801108
9,0.09999999999999999,sac,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.2497826946359477,-0.1997109249042129,-0.10005767469178656,0.0003862194146966854,0.0007032422781976138,-1.570803106772076,-1.5708031116629486,-5.264885037714606e-06,-0.001524188504827384,0.00013005430837785531,0,0,0,0,0.13761145797047467,-7.017961958627718,-1.4162262972837596,0.04553223513254474,-0.19065775686488748,-0.22292784277021735,-0.08754581628322754,-0.011433138979220821,-0.008740709988647337
