step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
0,0.01,zero,0.249999840958464,-0.20000009542492161,-0.1000000318083072,0.2500398155097736,-0.20001072970143097,-0.09999479765925912,4.16947107621503e-05,0.0009405280239284359,-1.570803106772076,-1.5708031069781694,-5.264885037714606e-06,1.555902612770943e-05,1.8219302866035585e-05,0,0,0,0,0.017053112295626296,-7.046909717116024,-1.433845095324808,0.04883982747088611,0.0,0.0,0.0,0.0,0.0
1,0.02,zero,0.249998735310848,-0.20000075881349122,-0.10000025293783041,0.25003873433414403,-0.20000923785195734,-0.09999589020275479,4.1119939388152766e-05,0.0004257114881484738,-1.570803106772076,-1.5708031072632394,-5.264885037714606e-06,5.9329998848944854e-05,1.186020334568493e-05,0,0,0,0,0.01714994035298495,-7.046797832926724,-1.433730418699889,0.04883171158730599,0.0,0.0,0.0,0.0,0.0
2,0.03,zero,0.249995757386752,-0.2000025455679488,-0.10000084852264961,0.2500436253414742,-0.20001075880924338,-0.09999405304069339,4.9040564809796086e-05,0.0003595001414199421,-1.570803106772076,-1.570803107471397,-5.264885037714606e-06,0.00012512740076897622,1.323070990121462e-05,0,0,0,0,-0.0038548616751293598,-6.99086530752277,-1.3907084544154515,0.03291517845209237,0.0,0.0,0.0,0.0,0.0
3,0.04,zero,0.249990004187136,-0.2000059974877184,-0.10000199916257281,0.250040194557211,-0.19999915018564077,-0.09998859304561872,5.239926302721427e-05,0.00039935473988004334,-1.570803106772076,-1.570803107494752,-5.264885037714606e-06,6.407747152437082e-05,1.510665665683902e-05,0,0,0,0,-0.0004308523206390339,-6.954893840468652,-1.376848876497439,0.03080050508004409,0.0,0.0,0.0,0.0,0.0
4,0.05,zero,0.2499805952,-0.20001164288,-0.10000388096,0.25003171299433774,-0.1999781228688809,-0.09998598142485568,6.36946889604226e-05,0.0004316687260420216,-1.570803106772076,-1.5708031075888786,-5.264885037714606e-06,-5.428926711181781e-05,2.611473985157822e-05,0,0,0,0,-0.015175116821772966,-6.975716975959748,-1.3841244521372493,0.031848809901443176,0.0,0.0,0.0,0.0,0.0
5,0.060000000000000005,zero,0.249966672216064,-0.2000199966703616,-0.10000666555678721,0.25001763427370227,-0.19994625620588116,-0.09998926903594313,9.130950858479292e-05,0.0005626153541703678,-1.570803106772076,-1.5708031079075515,-5.264885037714606e-06,-0.00021397683275936608,4.328110776691114e-05,0,0,0,0,-0.010683075814257807,-7.006983706567532,-1.4076295177813158,0.04093516512239609,0.0,0.0,0.0,0.0,0.0
6,0.07,zero,0.249947399144448,-0.2000315605133312,-0.10001052017111041,0.2499931845242433,-0.1998964353348607,-0.09999254607786973,0.00014379910600386073,0.00012329335138309549,-1.570803106772076,-1.5708031084292227,-5.264885037714606e-06,-0.00046211199100798517,6.941056939520757e-05,0,0,0,0,-0.0063890988316884405,-7.001587961761088,-1.3927700032414603,0.032375062232180216,0.0,0.0,0.0,0.0,0.0
7,0.08,zero,0.249921961828352,-0.2000468229029888,-0.10001560763432961,0.24995852355701717,-0.19983605547905778,-0.0999981062249124,0.0002146298355893167,0.0006400646602679075,-1.570803106772076,-1.5708031091247638,-5.264885037714606e-06,-0.000765879760932453,9.670402284228307e-05,0,0,0,0,0.001087732817912191,-6.995130580080096,-1.4083856890591926,0.04481051300855437,0.0,0.0,0.0,0.0,0.0
8,0.09,zero,0.249889567860736,-0.20006625928355842,-0.1000220864278528,0.24992075043307305,-0.199771853050625,-0.10000676343838036,0.0002964492820264125,0.001094611661849534,-1.570803106772076,-1.5708031100156534,-5.264885037714606e-06,-0.001065813611470512,0.00012012044285930113,0,0,0,0,0.030257944006932096,-7.019925903223683,-1.4168663713018181,0.04463022462231968,0.0,0.0,0.0,0.0,0.0
9,0.09999999999999999,zero,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.249890683496527,-0.19972129019460805,-0.1000183348232199,0.00037152542590692663,0.0007166482061927213,-1.570803106772076,-1.5708031109634701,-5.264885037714606e-06,-0.0012617911899190926,0.00012947457774754647,0,0,0,0,0.04498468988102566,-7.043432807027952,-1.4239879280188263,0.0453762282906533,0.0,0.0,0.0,0.0,0.0
