A_curriculum_stage,zero_rms_ee,sac_rms_ee,rms_improvement_pct,zero_final_ee,sac_final_ee,final_improvement_pct,zero_rms_hf,sac_rms_hf,hf_improvement_pct,delta_saturation,delta_limit,zero_ncon_max,sac_ncon_max
deterministic,0.006140130555392373,0.003215114283518132,47.63768857171024,0.0014587039527353283,0.0007918224614098231,45.71739797338482,0.0005836432881462491,0.0004171495325084363,28.52662902483217,0.0,0.0,0.0,0.0
mild,0.0062508248165651075,0.003063897319369249,50.98411154877171,0.001396435921622576,0.00041926289123332526,69.97621697197773,0.0005929281143302726,0.0004130827847655377,30.33172575530084,0.0,0.0,0.0,0.0
medium_v2,0.006860213427138209,0.0038194993374947505,44.32389927716747,0.0014223653335704344,0.0006106650506591981,57.066933772471714,0.0006426572393601665,0.000499675220131342,22.248565871782336,0.0,0.0,0.0,0.0
medium_train,0.006743868562519157,0.0037398611557831114,44.54427572078756,0.0012970633801863563,0.0006829137818215552,47.34923580037876,0.0006380806988064748,0.0005429598960713816,14.907331143696394,0.0,0.0,0.0,0.0

B_final_medium_train_aggregate_50ep,metric,zero,sac,delta,improvement_pct
,RMS EE,0.006769700228420739,0.003757984065321207,-0.003011716163099532,44.48817615964239
,Final EE,0.0012869661857541305,0.0006055412981578978,-0.0006814248875962327,52.94815785676097
,RMS HF,0.0006387250857876747,0.0005377119808781816,-0.00010101310490949315,15.814801572248246

C_stress_eval_only,metric,zero,sac,delta,improvement_pct
,RMS EE,0.053114,0.039678,-0.013436000000000003,25.29653198779983
,Final EE,0.145339,0.116655,-0.028684,19.735927727588603
,RMS HF,0.030338,0.022304,-0.008034,26.48164018722394
,Saturation frac.,0.010841,0.004613,-0.006228,57.4485748547182
,Limit frac.,0.012889,0.007834,-0.005054999999999999,39.219489487159585
,ncon max,0.0,0.0,0.0,nan
