#{"t_start": 1778690697.9969413, "env_id": "None"}
r,l,t
-98.500304,500,2.626901
-92.606351,500,4.423674
-91.543287,500,6.228319
-96.747065,500,8.051738
-98.58737,500,12.964267
-94.387159,500,17.538362
-93.574279,500,22.057177
-93.696898,500,26.800087
-96.911463,500,31.44681
-94.454634,500,36.031863
-92.959111,500,38.007472
-92.959111,500,39.966695
-92.959111,500,41.932065
-92.959111,500,43.931533
-92.959111,500,45.897691
-92.959111,500,47.941449
-92.959111,500,49.936986
-92.959111,500,51.915345
-92.959111,500,53.876499
-92.959111,500,55.829779
-96.066645,500,60.705365
-96.870181,500,65.470347
-96.51608,500,70.549337
-95.055952,500,75.261405
-96.993404,500,80.013863
-92.513756,500,84.828401
-94.721025,500,89.606506
-89.494825,500,94.516626
-97.210085,500,99.145957
-95.774269,500,103.760316
-90.85775,500,105.754628
-90.85775,500,107.74694
-90.85775,500,109.706037
-90.85775,500,111.677804
-90.85775,500,113.684546
-90.85775,500,115.623763
-90.85775,500,117.57817
-90.85775,500,119.508981
-90.85775,500,121.476761
-90.85775,500,123.432534
-93.793167,500,128.504898
-91.94434,500,133.483909
-96.338258,500,138.46566
-92.003964,500,143.462807
-95.467234,500,148.272572
-93.292304,500,153.068551
-96.255578,500,157.918604
-93.431558,500,162.49516
-96.381771,500,167.326706
-91.166005,500,172.174463
-88.821635,500,174.135298
-88.821635,500,176.192744
-88.821635,500,178.160196
-88.821635,500,180.130005
-88.821635,500,182.108328
-88.821635,500,184.12437
-88.821635,500,186.094299
-88.821635,500,188.07397
-88.821635,500,190.03391
-88.821635,500,191.990134
-87.80064,500,197.089576
-92.677923,500,201.775769
-89.510065,500,206.684721
-94.126351,500,211.660617
-88.712216,500,216.44735
-95.812449,500,221.242006
-92.910373,500,226.180387
-94.020454,500,231.032894
-94.945884,500,235.964175
-94.118216,500,240.969088
-91.784168,500,242.948401
-91.784168,500,244.939633
-91.784168,500,246.963789
-91.784168,500,248.89761
-91.784168,500,250.861719
-91.784168,500,252.810873
-91.784168,500,254.784824
-91.784168,500,256.747853
-91.784168,500,258.732701
-91.784168,500,260.670529
-94.75876,500,265.334399
-94.076603,500,270.174585
-91.348296,500,275.095447
-91.395579,500,279.936657
-94.50844,500,284.750961
-93.60892,500,289.668081
-92.408702,500,294.41177
-94.857942,500,299.403309
-91.536036,500,304.076777
-89.868338,500,308.77713
-90.978633,500,310.749206
-90.978633,500,312.720121
-90.978633,500,314.711004
-90.978633,500,316.667446
-90.978633,500,318.625393
-90.978633,500,320.676368
-90.978633,500,322.700541
-90.978633,500,324.663684
-90.978633,500,326.606242
-90.978633,500,328.575403
-90.904308,500,333.562682
-90.738899,500,338.441676
-88.789267,500,343.16646
-88.600399,500,348.059205
-88.291374,500,352.996946
-90.32901,500,357.763548
-88.89912,500,362.53816
-88.093332,500,367.303779
-85.931617,500,371.938902
-87.139534,500,376.801919
-84.398352,500,378.785953
-84.398352,500,380.741672
-84.398352,500,382.695062
-84.398352,500,384.657224
-84.398352,500,386.628798
-84.398352,500,388.597075
-84.398352,500,390.579476
-84.398352,500,392.604012
-84.398352,500,394.604082
-84.398352,500,396.571116
