#{"t_start": 1778691853.9822953, "env_id": "None"}
r,l,t
-98.500304,500,2.644727
-92.606351,500,4.477633
-91.543287,500,6.299323
-96.747065,500,8.134059
-90.07007,500,13.210334
-86.398201,500,18.136769
-83.764047,500,23.086619
-84.93954,500,28.120609
-85.661126,500,33.191503
-83.147812,500,37.991755
-78.711022,500,39.966122
-78.711022,500,41.921041
-78.711022,500,43.874372
-78.711022,500,45.856692
-78.711022,500,47.812005
-78.711022,500,49.780911
-78.711022,500,51.748756
-78.711022,500,53.70666
-78.711022,500,55.695494
-78.711022,500,57.704683
-84.105137,500,62.574143
-85.320253,500,67.574004
-84.298326,500,72.712802
-83.845923,500,77.62273
-87.353525,500,82.586022
-82.413251,500,87.691913
-83.595334,500,92.501302
-78.728585,500,97.514217
-82.691474,500,102.565465
-81.427812,500,107.634532
-77.949087,500,109.633388
-77.949087,500,111.610923
-77.949087,500,113.579163
-77.949087,500,115.541423
-77.949087,500,117.569566
-77.949087,500,119.541876
-77.949087,500,121.517666
-77.949087,500,123.504234
-77.949087,500,125.476394
-77.949087,500,127.489849
-79.622544,500,132.488273
-77.663169,500,137.396269
-78.745329,500,142.251645
-76.055418,500,147.404895
-76.945834,500,152.475161
-74.93759,500,157.514385
-75.982764,500,162.636859
-74.472057,500,167.49394
-74.112208,500,172.348697
-70.894276,500,177.526258
-68.041797,500,179.55363
-68.041797,500,181.53968
-68.041797,500,183.500463
-68.041797,500,185.431093
-68.041797,500,187.386043
-68.041797,500,189.342163
-68.041797,500,191.287971
-68.041797,500,193.253277
-68.041797,500,195.223332
-68.041797,500,197.203317
-67.707514,500,202.205462
-70.008942,500,207.277259
-68.745303,500,212.017688
-69.411104,500,216.96311
-65.868284,500,222.085752
-68.445152,500,227.266955
-65.324211,500,232.093754
-63.766621,500,237.000888
-63.20937,500,241.973296
-62.608265,500,246.729219
-59.15719,500,248.689246
-59.15719,500,250.7465
-59.15719,500,252.725025
-59.15719,500,254.682285
-59.15719,500,256.63333
-59.15719,500,258.582572
-59.15719,500,260.545902
-59.15719,500,262.48479
-59.15719,500,264.4728
-59.15719,500,266.462829
-61.635189,500,271.557752
-60.42627,500,276.394124
-59.048656,500,281.315194
-60.208334,500,286.186939
-58.96492,500,291.169338
-58.68852,500,296.107489
-58.897879,500,301.273352
-58.04411,500,306.136377
-56.490004,500,311.206878
-56.946999,500,316.092613
-55.228778,500,318.09176
-55.228778,500,320.054159
-55.228778,500,322.035916
-55.228778,500,324.089887
-55.228778,500,326.052491
-55.228778,500,328.032628
-55.228778,500,329.992208
-55.228778,500,332.020835
-55.228778,500,333.987679
-55.228778,500,335.945402
-55.991453,500,340.913834
-55.942646,500,346.123807
-55.567569,500,351.058307
-55.865815,500,356.041155
-55.249133,500,360.909207
-55.733872,500,365.932214
-55.007803,500,370.683669
-55.338847,500,375.542809
-54.840688,500,380.550553
-54.359375,500,385.720241
-53.583414,500,387.72699
-53.583414,500,389.707791
-53.583414,500,391.678549
-53.583414,500,393.65471
-53.583414,500,395.63654
-53.583414,500,397.597753
-53.583414,500,399.575867
-53.583414,500,401.528455
-53.583414,500,403.491074
-53.583414,500,405.469814
