#{"t_start": 1778695518.0711658, "env_id": "None"}
r,l,t
-117.245533,500,2.613682
-112.510559,500,4.416857
-107.05144,500,6.235677
-110.339518,500,8.035919
-68.289688,500,13.282013
-78.970642,500,18.175545
-77.553885,500,23.139758
-73.264978,500,27.804646
-75.064163,500,32.54237
-61.940816,500,37.453614
-79.881815,500,39.401273
-66.473761,500,41.333747
-74.546718,500,43.25176
-67.464058,500,45.190812
-79.195079,500,47.175575
-59.310837,500,49.130084
-70.507841,500,51.100933
-73.152883,500,53.06517
-64.672059,500,55.013302
-65.080753,500,56.973871
-78.237615,500,58.87969
-72.054717,500,60.823376
-69.69823,500,62.757877
-66.297009,500,64.662396
-78.344017,500,66.598265
-70.473341,500,68.519762
-75.617313,500,70.516215
-65.839214,500,72.462803
-56.592392,500,74.399188
-69.211219,500,76.36145
-76.014163,500,78.285709
-79.540719,500,80.181086
-64.381716,500,82.135986
-70.566941,500,84.089585
-81.314156,500,86.046615
-70.916781,500,87.972741
-67.46198,500,89.909783
-78.419431,500,91.833782
-77.624181,500,93.765481
-64.136807,500,95.721269
-68.9208,500,100.556884
-86.248105,500,105.27718
-76.372719,500,109.958161
-69.406358,500,114.662828
-77.811041,500,119.386301
-75.208482,500,124.280899
-68.230332,500,129.36419
-68.977122,500,134.199097
-74.394211,500,139.036572
-76.92539,500,143.880158
-80.245934,500,145.865657
-67.705938,500,147.784388
-75.90648,500,149.719969
-68.056438,500,151.708643
-80.309515,500,153.679715
-61.015581,500,155.640492
-73.134089,500,157.598757
-75.143418,500,159.573669
-66.756569,500,161.575258
-65.736369,500,163.536914
-78.726706,500,165.457428
-73.340496,500,167.395279
-69.560537,500,169.35589
-65.473816,500,171.29754
-80.017866,500,173.251893
-71.463995,500,175.195404
-74.622355,500,177.150009
-68.27006,500,179.151383
-58.752235,500,181.111763
-69.507551,500,183.066725
-76.059862,500,185.053486
-79.038854,500,187.052681
-67.050371,500,189.007247
-71.410056,500,190.959359
-80.278957,500,192.894314
-71.215403,500,194.842662
-68.025453,500,196.784343
-76.57585,500,198.75671
-79.48003,500,200.732314
-66.013167,500,202.721298
-68.465366,500,207.504997
-79.13529,500,212.560397
-73.364627,500,217.515657
-63.035797,500,222.519306
-78.361692,500,227.591914
-70.493759,500,232.496715
-63.437126,500,237.506268
-66.374825,500,242.525197
-70.879024,500,247.467643
-71.137076,500,252.283842
-77.201142,500,254.259042
-64.754734,500,256.175445
-72.767295,500,258.093345
-65.787021,500,260.01415
-76.295078,500,261.938808
-57.262006,500,263.87016
-70.294158,500,265.840852
-70.571251,500,267.801996
-61.637914,500,269.77155
-64.169894,500,271.713122
-75.426248,500,273.681086
-70.445309,500,275.647007
-67.540749,500,277.611553
-63.553611,500,279.57742
-76.419437,500,281.52424
-68.576438,500,283.482071
-72.257553,500,285.499275
-63.049137,500,287.496809
-53.824289,500,289.438793
-67.593752,500,291.382437
-72.984829,500,293.37019
-75.310275,500,295.326776
-61.647274,500,297.279035
-67.474423,500,299.256529
-75.55818,500,301.21065
-70.218022,500,303.181162
-64.725521,500,305.173781
-74.828179,500,307.282148
-75.111336,500,309.255243
-60.636129,500,311.243382
-65.278072,500,316.196051
-79.125968,500,321.282174
-74.931672,500,326.236262
-67.087008,500,331.319598
-77.143314,500,336.353966
-72.290216,500,341.507151
-66.334778,500,346.454773
-66.35101,500,351.504292
-70.816107,500,356.331645
-73.712494,500,361.154187
-75.908467,500,363.114833
-63.211829,500,365.095512
-72.219624,500,367.049536
-62.628388,500,369.015624
-75.445592,500,370.95863
-57.105709,500,372.934906
-66.702498,500,374.858877
-69.356687,500,376.866991
-62.336427,500,378.807355
-61.385473,500,380.767663
-74.263026,500,382.723098
-69.810122,500,384.671426
-66.73029,500,386.607404
-64.550045,500,388.670222
-76.840109,500,390.596366
-65.79968,500,392.535657
-70.86889,500,394.505127
-62.241959,500,396.451917
-53.948104,500,398.416673
-67.21519,500,400.330066
-71.646118,500,402.267657
-75.13561,500,404.177211
-61.228056,500,406.124083
-66.661013,500,408.079562
-75.105368,500,410.022831
-70.4646,500,411.97318
-63.517707,500,413.932551
-73.50357,500,415.921774
-74.786301,500,417.866694
-60.602616,500,419.822311
-65.137439,500,424.815098
-78.700909,500,429.782602
-72.369858,500,434.914327
-63.185922,500,439.80372
-78.654021,500,444.732076
-72.606023,500,449.753836
-67.388718,500,454.545782
-67.530129,500,459.524275
-72.330476,500,464.558267
-75.874873,500,469.528236
-77.280647,500,471.500375
-68.258149,500,473.456059
-76.00823,500,475.477696
-69.492906,500,477.433287
-78.36289,500,479.394841
-61.360446,500,481.344322
-74.292226,500,483.294081
-75.725102,500,485.241623
-66.307075,500,487.200298
-67.928461,500,489.126085
-78.027958,500,491.110265
-71.745748,500,493.039446
-69.710012,500,494.98051
-65.483988,500,496.952266
-79.486371,500,498.896595
-72.132455,500,500.825923
-73.812845,500,502.796131
-69.385583,500,504.770041
-58.67454,500,506.698586
-66.989432,500,508.629019
-75.231259,500,510.604352
-77.153699,500,512.598897
-66.896466,500,514.667955
-70.470375,500,516.618858
-79.941976,500,518.556221
-71.567172,500,520.529424
-68.769405,500,522.483957
-75.647899,500,524.42542
-76.547397,500,526.37001
-65.301147,500,528.32913
-66.663803,500,533.047529
-81.936826,500,538.016169
-74.579688,500,542.995855
-66.474581,500,548.06683
-76.841996,500,552.855745
-70.830557,500,557.86076
-62.440617,500,562.777392
-65.931741,500,567.842373
-71.070648,500,572.872942
-70.54449,500,577.989216
-76.291905,500,579.973895
-63.421816,500,581.925828
-71.586113,500,583.972572
-64.569534,500,585.934031
-74.763136,500,587.882353
-56.539597,500,589.831358
-69.901562,500,591.780959
-70.871107,500,593.734873
-62.782556,500,595.684526
-62.438951,500,597.655376
-74.304204,500,599.604405
-69.470074,500,601.575464
-65.649086,500,603.505949
-63.619299,500,605.469344
-73.959705,500,607.424758
-67.169709,500,609.400685
-72.064216,500,611.35992
-65.231015,500,613.30496
-54.40557,500,615.271867
-65.382972,500,617.222845
-72.358709,500,619.147177
-75.092372,500,621.084231
-61.379257,500,623.012382
-67.553738,500,624.937831
-76.630509,500,626.890768
-66.79253,500,628.85116
-64.181296,500,630.795832
-73.894671,500,632.742201
-73.987151,500,634.704766
-60.960467,500,636.688672
