#{"t_start": 1778694652.4176974, "env_id": "None"}
r,l,t
-120.475151,500,2.611545
-115.930616,500,4.45941
-109.777935,500,6.286358
-113.236284,500,8.094286
-70.517668,500,13.29658
-71.538643,500,18.062856
-74.962905,500,22.864525
-69.743006,500,27.737617
-67.64664,500,32.671723
-55.904964,500,37.330745
-82.243842,500,39.300019
-64.393838,500,41.30093
-75.633882,500,43.304793
-65.278072,500,45.2945
-81.666044,500,47.267327
-55.805837,500,49.205916
-70.412602,500,51.181054
-72.533144,500,53.139882
-61.936284,500,55.111734
-61.076462,500,57.114502
-77.86574,500,59.133053
-72.959611,500,61.142715
-70.044944,500,63.100345
-64.332252,500,65.076922
-80.608876,500,67.056038
-67.656174,500,68.996701
-74.15296,500,70.938798
-63.590034,500,72.891461
-51.779678,500,74.848757
-66.026592,500,76.805271
-63.208765,500,81.579977
-65.04979,500,86.521601
-68.866747,500,91.601365
-73.241195,500,96.528866
-76.73273,500,101.391183
-71.707095,500,106.353803
-65.500092,500,111.335749
-61.824456,500,116.284253
-60.768678,500,121.196474
-77.453786,500,126.340116
-84.524001,500,128.308222
-67.045798,500,130.269245
-77.229921,500,132.271994
-66.994178,500,134.241237
-84.462362,500,136.203748
-58.558482,500,138.178038
-73.17617,500,140.158005
-75.02849,500,142.159445
-64.213208,500,144.128536
-64.685251,500,146.133054
-80.011517,500,148.09153
-74.624172,500,150.056015
-70.070796,500,152.034857
-65.187826,500,154.025056
-82.467629,500,156.010597
-70.614144,500,157.990776
-75.821655,500,159.992603
-66.146911,500,162.081907
-54.726889,500,164.098929
-68.22468,500,166.070915
-65.438794,500,171.299221
-66.419781,500,176.182948
-68.023449,500,181.062269
-74.549861,500,186.303126
-76.793411,500,191.041695
-72.819505,500,196.11124
-66.466026,500,201.097552
-62.590695,500,206.200063
-60.857787,500,210.994624
-75.330012,500,215.80325
-85.482273,500,217.772385
-66.135616,500,219.724542
-77.099797,500,221.695305
-67.91172,500,223.662558
-83.43992,500,225.655535
-58.813031,500,227.636019
-72.158588,500,229.642023
-76.208556,500,231.635393
-64.683208,500,233.658279
-64.808364,500,235.639906
-80.872184,500,237.61372
-75.139477,500,239.587901
-72.242485,500,241.594656
-66.285942,500,243.562105
-83.494301,500,245.558463
-70.583281,500,247.520966
-78.543754,500,249.503204
-67.442051,500,251.518235
-54.962093,500,253.48097
-70.472626,500,255.447223
-65.664169,500,260.71353
-70.283609,500,265.445701
-68.169918,500,270.429834
-72.154362,500,275.543998
-76.455306,500,280.65842
-70.605876,500,285.754658
-64.078957,500,290.59278
-60.91654,500,295.543772
-58.588322,500,300.230909
-75.162332,500,305.361478
-81.730673,500,307.306815
-65.508602,500,309.262638
-75.205804,500,311.249259
-65.05706,500,313.207037
-81.291253,500,315.158697
-57.68477,500,317.137695
-71.302145,500,319.101398
-73.479305,500,321.027516
-63.148419,500,322.956182
-63.247492,500,324.916052
-78.461786,500,326.870849
-72.896943,500,328.911714
-68.540512,500,330.9029
-64.144497,500,332.875625
-80.397122,500,334.839345
-69.350411,500,336.83363
-74.477284,500,338.786436
-64.400557,500,340.718564
-53.647979,500,342.664427
-66.624455,500,344.673069
-63.292907,500,349.586356
-65.234622,500,354.534508
-66.799714,500,359.582766
-72.889009,500,364.424459
-76.624746,500,369.513329
-69.722272,500,374.501834
-62.859587,500,379.280114
-60.583584,500,384.345425
-57.333416,500,389.268039
-81.290695,500,394.373731
-81.115792,500,396.357356
-68.18172,500,398.305629
-74.58777,500,400.259269
-65.477238,500,402.308309
-80.744301,500,404.303927
-56.050657,500,406.346486
-70.42505,500,408.324315
-73.814361,500,410.314263
-62.227452,500,412.322173
-66.591616,500,414.292614
-78.094598,500,416.273997
-72.677315,500,418.221275
-70.207434,500,420.181884
-65.219002,500,422.155862
-81.321833,500,424.139397
-68.851635,500,426.115971
-73.719534,500,428.077419
-62.477738,500,430.069832
-52.374739,500,432.016583
-66.735879,500,434.021688
-64.425873,500,439.008569
-64.658548,500,443.884342
-67.132173,500,448.831012
-71.910285,500,453.686912
-75.204447,500,458.633789
-70.201058,500,463.548546
-63.120846,500,468.482356
-64.739417,500,473.493867
-58.566226,500,478.781357
-83.599136,500,483.853364
-86.493326,500,485.863989
-69.284917,500,487.840049
-76.506516,500,489.802113
-70.105073,500,491.75091
-88.304136,500,493.703307
-58.934647,500,495.647013
-74.797618,500,497.592921
-75.994961,500,499.576713
-63.247696,500,501.553479
-68.712964,500,503.538625
-81.285403,500,505.521387
-72.17201,500,507.482211
-71.778773,500,509.497381
-65.095199,500,511.467039
-86.211537,500,513.425586
-73.740344,500,515.387666
-76.525359,500,517.408226
-66.191807,500,519.366374
-57.302515,500,521.327317
-66.429897,500,523.276319
