#{"t_start": 1778693665.0719073, "env_id": "None"}
r,l,t
-103.524623,500,2.678269
-97.756809,500,4.502665
-95.397317,500,6.32026
-98.36035,500,8.174899
-59.351427,500,13.678722
-59.46938,500,18.552749
-59.323753,500,23.620738
-57.519986,500,28.444797
-59.007075,500,33.268408
-53.603684,500,38.267894
-59.119404,500,40.237809
-55.89765,500,42.26203
-58.467822,500,44.213899
-56.522953,500,46.161899
-59.367206,500,48.1391
-52.42044,500,50.111742
-57.416537,500,52.099067
-58.530343,500,54.049131
-54.564617,500,56.010792
-55.48717,500,57.982482
-59.383537,500,59.946995
-56.915459,500,61.945185
-55.88732,500,63.892782
-55.379091,500,65.847087
-60.125414,500,67.808521
-58.055198,500,69.75789
-58.05501,500,71.797755
-55.643354,500,73.766059
-51.808886,500,75.720168
-55.710284,500,77.680137
-55.900664,500,82.70502
-56.157641,500,87.845546
-55.622414,500,92.705526
-57.146941,500,97.615859
-61.261192,500,102.454816
-57.304986,500,107.229438
-55.334927,500,111.970899
-54.659924,500,116.69085
-55.096355,500,121.771142
-58.559884,500,126.838284
-59.757867,500,128.846956
-55.651776,500,130.811499
-58.492987,500,132.753868
-56.006176,500,134.719755
-59.929331,500,136.697738
-52.128011,500,138.688612
-57.007876,500,140.676731
-58.169641,500,142.625787
-54.100329,500,144.555752
-55.033058,500,146.538311
-59.319249,500,148.485286
-57.400604,500,150.474342
-55.985561,500,152.428085
-54.956983,500,154.404961
-60.31314,500,156.382973
-57.631861,500,158.490381
-58.255428,500,160.427457
-55.205166,500,162.381743
-50.953601,500,164.376558
-55.560606,500,166.351324
-54.935617,500,171.432848
-54.577733,500,176.521376
-54.508085,500,181.609678
-56.278396,500,186.63837
-58.887505,500,191.611213
-55.30387,500,196.64429
-53.275699,500,201.754613
-52.164826,500,206.64959
-51.836385,500,211.651586
-56.330706,500,216.492682
-56.483401,500,218.467793
-52.920004,500,220.452837
-55.897749,500,222.404988
-53.528063,500,224.369706
-57.039196,500,226.325752
-49.691324,500,228.287779
-55.02998,500,230.273802
-56.05343,500,232.187014
-51.971273,500,234.141806
-52.55799,500,236.106715
-57.086794,500,238.072901
-54.310633,500,240.032278
-52.99681,500,241.967979
-52.524645,500,243.946856
-57.596964,500,245.88139
-55.013836,500,247.860077
-55.518178,500,249.792492
-53.060179,500,251.741899
-48.97909,500,253.712241
-52.926525,500,255.668864
-52.860944,500,260.498977
-53.69021,500,265.432703
-53.320857,500,270.402908
-54.273124,500,275.333018
-57.849575,500,280.299634
-53.616786,500,285.165746
-52.075651,500,289.99456
-51.905973,500,294.933134
-51.210203,500,300.015038
-55.397626,500,305.073262
-55.632228,500,307.038244
-52.18529,500,308.983931
-55.011146,500,310.99603
-52.796706,500,312.956089
-56.141874,500,314.925271
-48.81873,500,316.926635
-54.183019,500,318.893763
-55.190643,500,320.872589
-50.95926,500,322.833117
-51.826546,500,324.794754
-56.192844,500,326.743143
-53.472088,500,328.699974
-52.223191,500,330.714493
-51.668795,500,332.667897
-56.715051,500,334.672012
-54.369664,500,336.649557
-54.714081,500,338.607881
-52.195057,500,340.560138
-48.225216,500,342.497462
-52.034399,500,344.463845
-51.695961,500,349.58638
-52.354769,500,354.823831
-52.097989,500,359.86037
-53.07696,500,364.718107
-56.566046,500,370.339609
-52.940518,500,375.606528
-51.146047,500,380.492725
-50.522244,500,385.257557
-50.208801,500,390.096704
-54.54306,500,394.864373
-55.566989,500,396.820699
-51.577583,500,398.77572
-55.273435,500,400.759142
-52.497468,500,402.729528
-56.135164,500,404.762077
-48.182582,500,406.691297
-53.868492,500,408.661998
-54.925312,500,410.640558
-50.639739,500,412.611139
-51.477222,500,414.564612
-55.860775,500,416.586817
-53.525585,500,418.525948
-51.788166,500,420.492225
-51.461835,500,422.441707
-56.110217,500,424.408562
-54.0058,500,426.389008
-54.261232,500,428.341548
-52.197233,500,430.300433
-48.007577,500,432.271389
-51.689903,500,434.238241
-51.568615,500,439.146368
-52.437939,500,444.032316
-51.998039,500,448.968184
-52.702129,500,454.041989
-56.113649,500,458.802598
-52.490117,500,463.744292
-50.769996,500,468.673976
-50.35344,500,473.655551
-50.222935,500,478.719921
-54.401201,500,483.851068
-55.411024,500,485.826393
-51.560801,500,487.862023
-54.885779,500,489.807603
-52.137779,500,491.839987
-56.076965,500,493.80798
-48.264888,500,495.763152
-53.405575,500,497.726223
-54.619773,500,499.688414
-50.681457,500,501.65848
-51.331072,500,503.642976
-55.665913,500,505.650232
-53.587401,500,507.625564
-51.833911,500,509.575454
-51.40195,500,511.573797
-56.10455,500,513.527188
-53.58834,500,515.471493
-54.169231,500,517.425821
-51.942531,500,519.376294
-47.839464,500,521.347114
-51.678487,500,523.287475
