time,x_des,x_dot_des,x,x_dot,y_des,y_dot_des,y,y_dot,z_des,z_dot_des,z,z_dot,roll_des,pitch_des,roll,pitch,yaw,roll_rate,pitch_rate,e_x,e_y,e_z,e_norm,e_roll,e_pitch,e_5d_norm,ee_hf_norm,q_jnt1,qdot_jnt1,q_act1,qdot_act1,q_jnt2,qdot_jnt2,q_act2,qdot_act2,q_jnt3,qdot_jnt3,q_act3,qdot_act3,q_jnt4,qdot_jnt4,q_act4,qdot_act4,tau_bias_jnt1,tau_bias_jnt2,tau_bias_jnt3,tau_bias_jnt4,tau_task_jnt1,tau_task_jnt2,tau_task_jnt3,tau_task_jnt4,tau_jnt_cmd1,tau_jnt_cmd2,tau_jnt_cmd3,tau_jnt_cmd4,tau_act_ideal_1,tau_act_ideal_2,tau_act_ideal_3,tau_act_ideal_4,tau_act_out_1,tau_act_out_2,tau_act_out_3,tau_act_out_4,tau_after_delay_q2,tau_after_delay_q3,tau_after_delay_q4,tau_compliant_q2,tau_compliant_q3,tau_compliant_q4,tau_after_hysteresis_q2,tau_after_hysteresis_q3,tau_after_hysteresis_q4,tau_after_deadzone_q2,tau_after_deadzone_q3,tau_after_deadzone_q4,tau_after_backlash_q2,tau_after_backlash_q3,tau_after_backlash_q4,tau_loss_q2,tau_loss_q3,tau_loss_q4,tau_hys_q2,tau_hys_q3,tau_hys_q4,hys_z_q2,hys_z_q3,hys_z_q4,tau_elastic_err_q2,tau_elastic_err_q3,tau_elastic_err_q4,lambda_dls,rp_weight,control_mode,cond_J,sigma_min_J,sigma1,sigma2,sigma3,sigma4,qdot_task_cmd1,qdot_task_cmd2,qdot_task_cmd3,qdot_task_cmd4,saturation_flag,joint_limit_viol_flag,actuator_limit_viol_flag,ncon
0.0,0.25,0.0,0.2500401181148811,0.0,-0.2,0.0,-0.2000130648531315,0.0,-0.1,0.0,-0.09999112672162719,0.0,-1.5708031067720762,-5.264885037714606e-06,-1.5708031067720762,-5.264885037714606e-06,2.4669004993591583,0.0,0.0,-4.011811488108252e-05,1.3064853131489196e-05,-8.873278372817373e-06,4.3114830372397694e-05,0.0,0.0,4.3114830372397694e-05,2.8692437988618005e-05,0.6746987673579999,0.0,1.26513926,0.0,1.2749698005,0.0,8.49979867,0.0,1.4161152989999999,0.0,4.72038433,0.0,-0.45050822999999995,0.0,-1.5016941,0.0,-3.95534180131989e-05,-6.981297836338742,-1.3974463990969623,0.03894240700469509,0.0007136196233021189,0.0025488906386295753,0.0024970566336780984,-0.0010662459668646053,0.0006740662052889199,-6.978748945700112,-1.3949493424632842,0.03787616103783049,0.000359479507280581,-1.0468123418550168,-0.41848480273898525,0.011362848311349146,0.000359479507280581,-1.045812341855017,-0.41748480273898525,0.010362848311349145,-1.0468123418550168,-0.41848480273898525,0.011362848311349146,-1.0468123418550168,-0.41848480273898525,0.011362848311349146,-1.0468123418550168,-0.41848480273898525,0.011362848311349146,-1.045812341855017,-0.41748480273898525,0.010362848311349145,-1.045812341855017,-0.41748480273898525,0.010362848311349145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.065,jt,15.279952105249803,0.11934077705527062,1.8235213576078297,0.32019615968193854,0.24017765438794778,0.11934077705527062,0.0,0.0,0.0,0.0,0,0,0,0
0.01,0.249999840958464,-4.7616767999999994e-05,0.2500378815636977,-0.0003592669182293361,-0.20000009542492161,-2.857006079999999e-05,-0.2000113694902433,0.00027380342511719544,-0.1000000318083072,-9.523353599999997e-06,-0.09999453296364774,-9.686682030075475e-05,-1.5708031067720762,-5.264885037714606e-06,-1.570803106800614,-2.0713116930082265e-05,2.4669002708380736,-2.2801087059682122e-09,-0.0021873794942973705,-3.804060523371344e-05,1.1274065321698057e-05,-5.498844659460045e-06,4.0055330332104534e-05,2.8538060803384724e-11,1.544823189236766e-05,4.2931076816394824e-05,1.709984951463559e-05,0.6746989959981384,3.312863359199376e-05,1.2651397035795997,6.28846057099127e-05,1.2749832446825962,0.00027270404328677393,8.499533525825438,0.00046275023006272717,1.4161063287128248,9.5048540761483e-05,4.72029760289599,-0.002434565375613257,-0.4505192043351601,-0.001819626720843149,-1.5017288419899606,-0.00597111948825979,-3.955729387153205e-05,-6.981299260315757,-1.3974248817344228,0.03893342848333159,0.0007885169584390885,0.0010756371068666821,0.001115413675370821,-0.00036618886294501,0.0007489596645675564,-6.98022362320889,-1.396309468059052,0.03856723962038658,0.0003994201891138778,-1.0470335434813336,-0.4188928404177156,0.011570171886115973,0.0003994201891138778,-1.0461262690709494,-0.41741248196430136,0.011645918296654133,-1.0470335434813336,-0.4188928404177156,0.011570171886115973,-1.0470335434813336,-0.4188928404177156,0.011570171886115973,-1.0470333222797072,-0.4188924323800368,0.011569964562541207,-1.0460333222797074,-0.4178924323800368,0.010569964562541206,-1.0460333222797074,-0.4178924323800368,0.010569964562541206,9.294679124212614e-05,-0.0004799504157354601,-0.0010759537341129273,-2.212016263167803e-07,-4.080376787303217e-07,2.0732357476682663e-07,-0.0002212016263167803,-0.0004080376787303217,0.00020732357476682662,0.0,0.0,0.0,0.12,0.065,jt,15.280031907441868,0.11934014811092583,1.8235212709737851,0.32019335415644606,0.24017859525436985,0.11934014811092583,0.0,0.0,0.0,0.0,0,0,0,0
0.02,0.249998735310848,-0.00018894028799999998,0.25003373232994874,-0.00045501969106564663,-0.20000075881349122,-0.00011336417279999996,-0.20000827437571372,0.0003357303518514112,-0.10000025293783041,-3.778805759999999e-05,-0.09999588913606519,-0.00016754262810025637,-1.5708031067720762,-5.264885037714606e-06,-1.5708031068449886,-4.239502481206969e-05,2.466899724746092,-5.9783191903774136e-09,-0.002166607300877277,-3.499701910072983e-05,7.515562222504268e-06,-4.363801765217001e-06,3.60599194023405e-05,7.291234283002268e-11,3.7130139774355087e-05,5.175871971921016e-05,8.903315301136382e-06,0.6746995422598033,6.890954103542664e-05,1.26514073292073,0.00012947409568713085,1.2749861803388787,0.0003281113738268529,8.499552428144156,0.0021875038702752125,1.416110481459768,0.000623624379282096,4.720300421408264,0.0015878111036515194,-0.4505337978366838,-0.001214871152972754,-1.5017770111100435,-0.004025279696907223,-3.956782934078573e-05,-6.981271804828191,-1.3973923783502804,0.0389208248662265,0.0010799774511626192,0.0005278185526328392,0.000606935147038541,-0.00011430746009841273,0.0010404096218218333,-6.9807439862755585,-1.3967854432032418,0.03880651740612809,0.0005548504513175837,-1.0471115979413337,-0.4190356329609725,0.011641955221838427,0.0005548504513175837,-1.0465441396238806,-0.4183515901283066,0.011409921231465796,-1.0471115979413337,-0.4190356329609725,0.011641955221838427,-1.0471115979413337,-0.4190356329609725,0.011641955221838427,-1.047111298702513,-0.41903508218901525,0.011641676129810315,-1.0461112987025132,-0.41803508218901525,0.010641676129810314,-1.0461112987025132,-0.41803508218901525,0.010641676129810314,0.0004328409213674258,0.0003165079392913479,-0.0007682451016554823,-2.9923882054337463e-07,-5.507719572493734e-07,2.7909202811150987e-07,-0.00029923882054337463,-0.0005507719572493733,0.00027909202811150985,0.0,0.0,0.0,0.12,0.065,jt,15.279992319024725,0.11934040509767872,1.82352047324183,0.3201881806450153,0.24017833875938485,0.11934040509767872,0.0,0.0,0.0,0.0,0,0,0,0
0.03,0.249995757386752,-0.000421694208,0.2500286313750247,-0.000546963088374913,-0.2000025455679488,-0.00025301652479999996,-0.20000460163826053,0.00038845771273387,-0.10000084852264961,-8.433884159999998e-05,-0.09999781095791255,-0.00020843357423172473,-1.5708031067720762,-5.264885037714606e-06,-1.5708031069120068,-6.623963144014589e-05,2.466898730635898,-7.198225744150316e-09,-0.002527897559254822,-3.287398827267474e-05,2.0560703117289414e-06,-3.0375647370600722e-06,3.3077988596808e-05,1.3993073366691533e-10,6.0974746402209234e-05,6.93691071619339e-05,5.59169461890697e-06,0.6747005365662948,0.00011969453295983647,1.2651426048852938,0.0002248328676565458,1.274989987316584,0.00041404341411822236,8.499577761571786,0.002760260310886407,1.4161174970666202,0.0007572726684592308,4.720321785807413,0.002435280661674505,-0.4505468198530512,-0.0013565807900191018,-1.5018203152453133,-0.004516673370746889,-3.9583795199108096e-05,-6.981234102358426,-1.3973481439865323,0.03890696553919182,0.001623687820035948,7.235966477591376e-05,0.00015742703243039699,0.00013907003591996772,0.0015841040248368399,-6.981161742693651,-1.3971907169541018,0.039046035575111784,0.0008448026764454867,-1.0471742614040476,-0.41915721508623055,0.011713810672533536,0.0008448026764454867,-1.046715105996596,-0.4186366288300158,0.011564513605823721,-1.0471742614040476,-0.41915721508623055,0.011713810672533536,-1.0471742614040476,-0.41915721508623055,0.011713810672533536,-1.0471738995205158,-0.4191565427991121,0.011713459745109012,-1.0461738995205159,-0.4181565427991121,0.01071345974510901,-1.0461738995205159,-0.4181565427991121,0.01071345974510901,0.0005412064760801108,0.00048008603090371607,-0.0008510538607147107,-3.6188353191658653e-07,-6.722871184823136e-07,3.5092742452315334e-07,-0.00036188353191658653,-0.0006722871184823135,0.00035092742452315335,0.0,0.0,0.0,0.12,0.065,jt,15.279926998845774,0.11934085949239139,1.8235196210232512,0.3201819031225365,0.2401777996210135,0.11934085949239139,0.0,0.0,0.0,0.0,0,0,0,0
0.04,0.249990004187136,-0.0007436206079999999,0.25002284453088003,-0.000599691154057497,-0.2000059974877184,-0.00044617236479999983,-0.20000065231832687,0.0003991788746863375,-0.10000199916257281,-0.00014872412159999996,-0.10000008449520864,-0.0002398145685674662,-1.5708031067720762,-5.264885037714606e-06,-1.5708031069887025,-9.207703299374259e-05,2.466897072892635,-7.980765252377232e-09,-0.002620603154439233,-3.2840343744039435e-05,-5.345169391546278e-06,-1.9146673641695644e-06,3.33275406258309e-05,2.166262724756507e-10,8.681214795602799e-05,9.298964456837455e-05,7.7820156973138e-06,0.674702194525522,0.00019642646272774117,1.2651457274101905,0.0003690337847058587,1.2749945179505413,0.0004786522561496845,8.499607947230974,0.0031909705072062674,1.4161257121609723,0.0008641960714973888,4.720348793232573,0.002864135246644447,-0.45055991151678493,-0.0012777536995774448,-1.5018639187008065,-0.00425736603831385,-3.9609008113074645e-05,-6.981191049097761,-1.3972973461621945,0.038891948167076196,0.0024536326064621802,-0.0001311430574887231,-4.501754795174708e-05,0.0002792771351935834,0.0024140235983491055,-6.98132219215525,-1.3973423637101463,0.03917122530226978,0.0012873987849995779,-1.0471983288232876,-0.41920270911304386,0.011751367590680935,0.0012873987849995779,-1.0468185143346018,-0.41876251648089996,0.011558740845792503,-1.0471983288232876,-0.41920270911304386,0.011751367590680935,-1.0471983288232876,-0.41920270911304386,0.011751367590680935,-1.047197942881046,-0.4192019913624836,0.011750979119518017,-1.0461979428810462,-0.4182019913624836,0.010750979119518018,-1.0461979428810462,-0.4182019913624836,0.010750979119518018,0.0006205714535556324,0.0005605251184163905,-0.0008077617262744854,-3.859422415539004e-07,-7.177505602474276e-07,3.8847116291799437e-07,-0.00038594224155390043,-0.0007177505602474276,0.00038847116291799435,0.0,0.0,0.0,0.12,0.065,jt,15.279850808496132,0.11934139527125168,1.8235187150224914,0.3201749172239676,0.24017714851040492,0.11934139527125168,0.0,0.0,0.0,0.0,0,0,0,0
0.05,0.2499805952,-0.00115248,0.2500165299624434,-0.00065236437523203,-0.20001164288,-0.0006914879999999999,-0.19999669255399966,0.00039369086689897397,-0.10000388096,-0.00023049599999999996,-0.10000261758624282,-0.00026218279567819024,-1.5708031067720762,-5.264885037714606e-06,-1.5708031070700148,-0.00011883968024872793,2.466894410930059,-8.226644850762642e-09,-0.002712552958664593,-3.5934762443401436e-05,-1.49503260003514e-05,-1.2633737571793313e-06,3.894118016484357e-05,2.979385627099873e-10,0.00011357479521123537,0.00012006518904325945,1.1887094924620202e-05,0.6747048567147995,0.00031259181803264236,1.2651507407092404,0.0005872594378157891,1.274999594356213,0.000526794726797238,8.499641779762149,0.0035119287483140085,1.4161347755954607,0.0009337959714379003,4.7203789276830594,0.0031092853382726324,-0.45057253430860855,-0.0012519604677175577,-1.5019059855961985,-0.004172753563908014,-3.9648653925264026e-05,-6.981144464897779,-1.3972420948514435,0.03887639308351609,0.003599346304561401,-0.00013034499703993,-7.087497158134854e-05,0.00035053057256335203,0.003559697650636137,-6.98127480989482,-1.3973129698230249,0.039226923656079445,0.0018983867570842518,-1.047191221484223,-0.41919389094690745,0.011768077096823834,0.0018983867570842518,-1.0468692206227548,-0.41879885446667503,0.011561109849895926,-1.047191221484223,-0.41919389094690745,0.011768077096823834,-1.047191221484223,-0.41919389094690745,0.011768077096823834,-1.0471908426493204,-0.41919318201451333,0.011767671922645934,-1.0461908426493205,-0.41819318201451333,0.010767671922645935,-1.0461908426493205,-0.41819318201451333,0.010767671922645935,0.0006783779734342182,0.000605672452161695,-0.0007934379272499909,-3.788349024892845e-07,-7.089323941110237e-07,4.0517417789960985e-07,-0.0003788349024892845,-0.0007089323941110237,0.0004051741778996098,0.0,0.0,0.0,0.12,0.065,jt,15.279766984839629,0.11934198955800085,1.8235177919534171,0.32016751270691524,0.24017641368734596,0.11934198955800085,0.0,0.0,0.0,0.0,0,0,0,0
0.06,0.249966672216064,-0.001646051328,0.25000965006650566,-0.0007114268356031213,-0.2000199966703616,-0.0009876307967999997,-0.19999289018653246,0.00037111359660307983,-0.10000666555678721,-0.0003292102655999999,-0.10000534669944633,-0.00027995782771878235,-1.5708031067720762,-5.264885037714606e-06,-1.5708031071515172,-0.00014644208409930748,2.4668902619259936,-8.0950237375106e-09,-0.0027911000892466434,-4.2977850441661136e-05,-2.710648382914238e-05,-1.3188573408789983e-06,5.082909087177283e-05,3.7944092312613975e-10,0.00014117719906181492,0.0001500486521563397,1.7169422619468505e-05,0.6747090059546529,0.0004829150526857415,1.265158551138891,0.0009070898106016593,1.275005080126459,0.0005630246782402262,8.499678346931749,0.0037534721445127758,1.4161444893242332,0.0009956366673841029,4.720411289758361,0.0033180627219242024,-0.4505849371896389,-0.0012324359738614132,-1.5019473259592675,-0.004108008216480881,-3.970949302311504e-05,-6.981095106682352,-1.3971833732982135,0.038860348816959656,0.005086367756318905,9.632384335410264e-05,9.75290940743572e-05,0.00034527685909717506,0.0050466582632957896,-6.980998782838998,-1.3970858442041392,0.03920562567605683,0.0026913828518156445,-1.0471498174258496,-0.41912575326124174,0.01176168770281705,0.0026913828518156445,-1.0468705534388527,-0.418768716244993,0.01154370180111725,-1.0471498174258496,-0.41912575326124174,0.01176168770281705,-1.0471498174258496,-0.41912575326124174,0.01176168770281705,-1.0471494799950054,-0.4191251124665333,0.011761288918033156,-1.0461494799950055,-0.4181251124665333,0.010761288918033157,-1.0461494799950055,-0.4181251124665333,0.010761288918033157,0.0007210734438472965,0.000643603778459727,-0.0007824128830840932,-3.3743084411590017e-07,-6.407947084453091e-07,3.987847838928253e-07,-0.00033743084411590017,-0.0006407947084453091,0.0003987847838928253,0.0,0.0,0.0,0.12,0.065,jt,15.279677306439336,0.11934262843360045,1.8235168513677067,0.3201597650547316,0.24017561574616847,0.11934262843360045,0.0,0.0,0.0,0.0,0,0,0,0
0.07,0.249947399144448,-0.0022221319680000005,0.25000207888016857,-0.0007872131155247278,-0.2000315605133312,-0.0013332791808,-0.19998940547764074,0.0003332206358623511,-0.10001052017111041,-0.0004444263936,-0.10000824557055585,-0.00029641229234822085,-1.5708031067720762,-5.264885037714606e-06,-1.5708031072296793,-0.00017495169273740174,2.4668839890880507,-7.626719858975823e-09,-0.0028897034573289564,-5.467973572056972e-05,-4.2155035690466525e-05,-2.2746005545609682e-06,6.908034698970948e-05,4.576028445058e-10,0.00016968680769968714,0.00018320946222217526,2.396014037706109e-05,0.6747152790376324,0.0007232412664754469,1.2651703535533205,0.0013582249916760283,1.2750108979413484,0.0005942613445354502,8.499717132689154,0.0039617241509634134,1.4161548384946674,0.0010602770081381103,4.720445786819178,0.003534276841288658,-0.4505972797769675,-0.001235160955739351,-1.5019884687538994,-0.004117268852233696,-3.9800887587033614e-05,-6.981043063518212,-1.3971213928993516,0.03884377436129394,0.0069361337405328145,0.0005534508338268748,0.00045916606109280063,0.0002666146184260034,0.006896332852945781,-6.9804896126843845,-1.3966622268382587,0.03911038897971994,0.003677814310475985,-1.0470734419026577,-0.4189986680514776,0.011733116693915982,0.003677814310475985,-1.046830480928337,-0.41868051237556575,0.011516739698947348,-1.0470734419026577,-0.4189986680514776,0.011733116693915982,-1.0470734419026577,-0.4189986680514776,0.011733116693915982,-1.0470731808473368,-0.41899815434197896,0.01173274648014099,-1.046073180847337,-0.41799815434197896,0.01073274648014099,-1.046073180847337,-0.41799815434197896,0.01073274648014099,0.0007573000810002486,0.0006823580335867731,-0.0007839932188063565,-2.610553209240596e-07,-5.137094986811874e-07,3.702137749917581e-07,-0.00026105532092405957,-0.0005137094986811874,0.0003702137749917581,0.0,0.0,0.0,0.12,0.065,jt,15.279581894039369,0.11934331050258189,1.8235158863299687,0.32015167602164635,0.2401747578899085,0.11934331050258189,0.0,0.0,0.0,0.0,0,0,0,0
0.08,0.249921961828352,-0.0028785377279999997,0.24999360000432605,-0.0008879057457596621,-0.2000468229029888,-0.0017271226367999994,-0.19998639338570495,0.00027971368142343613,-0.10001560763432961,-0.0005757075455999998,-0.10001131857741,-0.000314469855929131,-1.5708031067720762,-5.264885037714606e-06,-1.5708031073013895,-0.00020466469543856114,2.4668747920199774,-6.864157075686604e-09,-0.0030242943613305283,-7.163817597405364e-05,-6.042951728385537e-05,-4.289056919612455e-06,9.381977843348879e-05,5.293134819339684e-10,0.00019939981040106858,0.00022036886171501453,3.2421202020454436e-05,0.67472447636227,0.0010502737756853972,1.2651876494454193,0.001971978266579815,1.2750170291326124,0.0006257008840081818,8.499758011772279,0.0041713246460454954,1.4161659267729587,0.001140307573459137,4.720482756088531,0.003801423931977075,-0.45060977325735285,-0.001258279879027872,-1.5020301164925016,-0.004194434279028132,-3.993663687023549e-05,-6.980987889965492,-1.3970557281932199,0.03882649460127907,0.00916598327395447,0.0012452352723180504,0.0010142022183658931,0.00011650726643349383,0.009126046637084233,-6.979742654693174,-1.396041525974854,0.038943001867712566,0.004866920671557021,-1.046961398203976,-0.4188124577924562,0.011682900560313769,0.004866920671557021,-1.046754444399979,-0.4185415939603652,0.01147969788970904,-1.046961398203976,-0.4188124577924562,0.011682900560313769,-1.046961398203976,-0.4188124577924562,0.011682900560313769,-1.046961249192354,-0.4188121302932165,0.011682580562672379,-1.045961249192354,-0.4178121302932165,0.010682580562672378,-1.045961249192354,-0.4178121302932165,0.010682580562672378,0.0007931952076249123,0.0007294636671486949,-0.0007971173270366608,-1.4901162224238538e-07,-3.27499239659752e-07,3.1999764138954497e-07,-0.00014901162224238538,-0.000327499239659752,0.00031999764138954497,0.0,0.0,0.0,0.12,0.065,jt,15.279479737145966,0.11934404278430695,1.8235148834718993,0.32014317343793847,0.24017383194657307,0.11934404278430695,0.0,0.0,0.0,0.0,0,0,0,0
0.09,0.249889567860736,-0.003613102847999999,0.24998391688813115,-0.001021402822633394,-0.20006625928355842,-0.002167861708799999,-0.19998401480490544,0.00020979854538394593,-0.1000220864278528,-0.0007226205695999996,-0.1000145964683195,-0.0003365773283229152,-1.5708031067720762,-5.264885037714606e-06,-1.5708031073638042,-0.00023603912696246176,2.466861699331013,-5.824125136728761e-09,-0.00321119394958423,-9.434902739516304e-05,-8.224447865298745e-05,-7.489959533299451e-06,0.00012538737070823917,5.917279999323455e-10,0.0002307742419249692,0.0002626380465003495,4.250336228577374e-05,0.6747375693232116,0.0014813754007462674,1.2652122608224123,0.002780900515140865,1.2750235025812855,0.0006618096204500551,8.499801176157595,0.00441204969019273,1.4161779692622065,0.0012458988217524617,4.720522912414288,0.0041536768101391895,-0.45062263167584754,-0.0013034770096899794,-1.5020729822723464,-0.00434517376439729,-4.013734935332118e-05,-6.980928676507999,-1.3969854043445762,0.038808238697482844,0.011789161792135492,0.0021714999041247815,0.0017589299864827243,-0.00010118536587431733,0.01174902444278217,-6.9787571766038745,-1.3952264743580935,0.038707053331608524,0.006265754735335732,-1.046813576490581,-0.41856794230742805,0.011612115999482557,0.006265754735335732,-1.046647272832093,-0.41835805458369435,0.011434391202024075,-1.046813576490581,-0.41856794230742805,0.011612115999482557,-1.046813576490581,-0.41856794230742805,0.011612115999482557,-1.0468135753006722,-0.4185678593236734,0.011611866786401998,-1.0458135753006723,-0.4175678593236734,0.010611866786401997,-1.0458135753006723,-0.4175678593236734,0.010611866786401997,0.0008336975314207294,0.0007901952600209434,-0.0008225244156220787,-1.1899088473832213e-09,-8.298375463162251e-08,2.4921308055833283e-07,-1.1899088473832213e-06,-8.29837546316225e-05,0.0002492130805583328,0.0,0.0,0.0,0.12,0.065,jt,15.279368905493637,0.11934483914700225,1.823513824293846,0.3201341262701047,0.24017281992279835,0.11934483914700225,0.0,0.0,0.0,0.0,0,0,0,0
