2026-04-28 15:52:20,528 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-04-28 15:52:20,543 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-04-28 15:52:20,544 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-04-28 15:52:20,545 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-04-28 15:52:20,546 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-04-28 15:52:20,546 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-04-28 15:52:20,547 INFO  SwAddin.cs: 201 - Setting up command manager
2026-04-28 15:52:20,548 INFO  SwAddin.cs: 204 - Adding command manager
2026-04-28 15:52:20,549 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-04-28 15:52:20,550 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-04-28 15:52:20,551 INFO  SwAddin.cs: 210 - Adding event handlers
2026-04-28 15:52:20,552 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-04-28 15:53:08,187 INFO  SwAddin.cs: 294 - Assembly export called for file top_asm.SLDASM
2026-04-28 15:53:09,931 INFO  SwAddin.cs: 313 - Saving assembly
2026-04-28 15:53:12,411 INFO  SwAddin.cs: 316 - Opening property manager
2026-04-28 15:53:12,419 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from top_asm.SLDASM
2026-04-28 15:53:12,422 INFO  ExportHelperExtension.cs: 1136 - Found 61 in top_asm.SLDASM
2026-04-28 15:53:12,423 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in top_asm.SLDASM
2026-04-28 15:53:12,423 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-28 15:53:12,424 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-04-28 15:53:12,425 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from top_asm.STEP-1
2026-04-28 15:53:12,425 INFO  ExportHelperExtension.cs: 1136 - Found 31 in top_asm.STEP-1
2026-04-28 15:53:12,425 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in top_asm.STEP-1
2026-04-28 15:53:12,426 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from top_asm.SLDASM
2026-04-28 15:53:12,426 INFO  ExportHelperExtension.cs: 1136 - Found 61 in top_asm.SLDASM
2026-04-28 15:53:12,426 INFO  ExportHelperExtension.cs: 1145 - Found 9 features of type [RefAxis] in top_asm.SLDASM
2026-04-28 15:53:12,426 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-28 15:53:12,427 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-04-28 15:53:12,427 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from top_asm.STEP-1
